bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-05-01,STL,LAD,STL,Matthew Liberatore,Emmet Sheehan,151.0,0.3984,0.5415,0.1431,14.3%,0.2379,HIGH,False,Underdog SP has better ERA; Underdog on 4L skid; Strong value play; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; Favorite traveled cross-country; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-05-01,WSH,MIL,WSH,Jake Irvin,Jacob Misiorowski,134.0,0.4274,0.5035,0.0762,7.6%,0.133,MEDIUM,False,Facing elite SP; Good value; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog pitcher ERA over 4.00,,,,,
MONEYLINE,2026-05-01,COL,ATL,COL,Jose Quintana,Grant Holmes,158.0,0.3876,0.4626,0.075,7.5%,0.1224,MEDIUM,False,Good value; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-05-01,SEA,KC,KC,Bryan Woo,Cole Ragans,125.0,0.4444,0.4853,0.0408,4.1%,0.0735,NO PLAY,False,Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-05-01,SD,CWS,CWS,Germán Márquez,Noah Schultz,129.0,0.4367,0.4456,0.0089,0.9%,0.0158,NO PLAY,False,Underdog SP has better ERA; Favorite is travel-fatigued; Underdog is travel-fatigued; Underdog traveled cross-country; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-05-01,NYY,BAL,BAL,Will Warren,TBD,154.0,0.3937,0.3928,-0.0009,-0.1%,0.0,NO PLAY,False,Facing elite SP; Favorite is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-05-01,CHC,ARI,ARI,Colin Rea,Zac Gallen,129.0,0.4367,0.4128,-0.0239,-2.4%,0.0,NO PLAY,False,Underdog SP has better ERA; Favorite is travel-fatigued; Underdog is travel-fatigued; Favorite traveled cross-country; FILTERED: Favorite win% above .550,,,,,
RUN LINE,2026-05-01,STL,LAD,STL,Matthew Liberatore,Emmet Sheehan,151.0,0.5122,,0.1793,17.9%,0.3676,HIGH,True,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued; Home underdog,STL +1.5,-105.0,0.6915,,
RUN LINE,2026-05-01,WSH,MIL,WSH,Jake Irvin,Jacob Misiorowski,134.0,0.4762,,0.1773,17.7%,0.3385,HIGH,False,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued; Home underdog,WSH +1.5,110.0,0.6535,,
RUN LINE,2026-05-01,COL,ATL,COL,Jose Quintana,Grant Holmes,158.0,0.5455,,0.0671,6.7%,0.1477,LOW,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued; Home underdog,COL +1.5,-120.0,0.6126,,
RUN LINE,2026-05-01,SEA,KC,KC,Bryan Woo,Cole Ragans,125.0,0.6364,,-0.0011,-0.1%,0.0,NO PLAY,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued,KC +1.5,-175.0,0.6353,,
RUN LINE,2026-05-01,NYY,BAL,BAL,Will Warren,TBD,154.0,0.5745,,-0.0317,-3.2%,0.0,NO PLAY,False,Favorite is travel-fatigued,BAL +1.5,-135.0,0.5428,,
RUN LINE,2026-05-01,SD,CWS,CWS,Germán Márquez,Noah Schultz,129.0,0.6296,,-0.034,-3.4%,0.0,NO PLAY,False,Favorite is travel-fatigued,CWS +1.5,-170.0,0.5956,,
RUN LINE,2026-05-01,CHC,ARI,ARI,Colin Rea,Zac Gallen,129.0,0.6364,,-0.0736,-7.4%,0.0,NO PLAY,False,Favorite is travel-fatigued,ARI +1.5,-175.0,0.5628,,
FULL GAME TOTAL,2026-05-01,STL,LAD,,Matthew Liberatore,Emmet Sheehan,,,,0.1396,14.0%,,LOW,True,"High-scoring teams, but line is inflated; Strong value; Both teams travel-fatigued",UNDER,,0.6396,8.5,
FULL GAME TOTAL,2026-05-01,COL,ATL,,Jose Quintana,Grant Holmes,,,,0.1316,13.2%,,LOW,False,Hitter-friendly park favors OVER; Strong value; Both teams travel-fatigued,OVER,,0.6316,11.0,
FULL GAME TOTAL,2026-05-01,NYY,BAL,,Will Warren,TBD,,,,0.1173,11.7%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Strong value; Home team travel-fatigued",UNDER,,0.6173,8.5,
FULL GAME TOTAL,2026-05-01,CHC,ARI,,Colin Rea,Zac Gallen,,,,0.0717,7.2%,,NO PLAY,False,"High-scoring teams, but line is inflated; Both teams travel-fatigued",UNDER,,0.5717,7.0,
FULL GAME TOTAL,2026-05-01,DET,TEX,,Jack Flaherty,MacKenzie Gore,,,,0.0655,6.5%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5655,8.0,
FULL GAME TOTAL,2026-05-01,WSH,MIL,,Jake Irvin,Jacob Misiorowski,,,,0.0653,6.5%,,NO PLAY,False,"High-scoring teams, but line is inflated; Both teams travel-fatigued",UNDER,,0.5653,8.0,
FULL GAME TOTAL,2026-05-01,MIA,PHI,,Eury Pérez,Zack Wheeler,,,,0.0651,6.5%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,,0.5651,8.0,
FULL GAME TOTAL,2026-05-01,PIT,CIN,,Mitch Keller,Brady Singer,,,,0.0489,4.9%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5489,8.5,
FULL GAME TOTAL,2026-05-01,MIN,TOR,,Simeon Woods Richardson,Patrick Corbin,,,,0.0401,4.0%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,,0.5401,8.5,
FULL GAME TOTAL,2026-05-01,LAA,NYM,,Walbert Urena,Christian Scott,,,,0.0322,3.2%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,,0.5322,9.0,
FULL GAME TOTAL,2026-05-01,BOS,HOU,,TBD,Mike Burrows,,,,0.0267,2.7%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,,0.5267,9.5,
FULL GAME TOTAL,2026-05-01,SD,CWS,,Germán Márquez,Noah Schultz,,,,0.0244,2.4%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,,0.5244,8.0,
FULL GAME TOTAL,2026-05-01,SEA,KC,,Bryan Woo,Cole Ragans,,,,0.0167,1.7%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,,0.5167,7.0,
FULL GAME TOTAL,2026-05-01,TB,SF,,Shane McClanahan,Robbie Ray,,,,0.0012,0.1%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5012,7.5,
F5 TOTAL,2026-05-01,TB,SF,,Shane McClanahan,Robbie Ray,,,,0.1341,13.4%,,LOW,True,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.6341,4.1,
F5 TOTAL,2026-05-01,NYY,BAL,,Will Warren,TBD,,,,0.1165,11.7%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Strong value; Home team travel-fatigued",UNDER,,0.6165,4.7,
F5 TOTAL,2026-05-01,DET,TEX,,Jack Flaherty,MacKenzie Gore,,,,0.1155,11.6%,,NO PLAY,False,Strong value; Both teams travel-fatigued,UNDER,,0.6155,4.4,
F5 TOTAL,2026-05-01,PIT,CIN,,Mitch Keller,Brady Singer,,,,0.0669,6.7%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5669,4.7,
F5 TOTAL,2026-05-01,MIA,PHI,,Eury Pérez,Zack Wheeler,,,,0.0443,4.4%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,,0.5443,4.4,
F5 TOTAL,2026-05-01,SD,CWS,,Germán Márquez,Noah Schultz,,,,0.0433,4.3%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,,0.5433,4.4,
F5 TOTAL,2026-05-01,WSH,MIL,,Jake Irvin,Jacob Misiorowski,,,,0.0387,3.9%,,NO PLAY,False,"High-scoring teams, but line is inflated; Both teams travel-fatigued",UNDER,,0.5387,4.4,
F5 TOTAL,2026-05-01,COL,ATL,,Jose Quintana,Grant Holmes,,,,0.0303,3.0%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Both teams travel-fatigued",UNDER,,0.5303,6.1,
F5 TOTAL,2026-05-01,CHC,ARI,,Colin Rea,Zac Gallen,,,,0.0171,1.7%,,NO PLAY,False,"High-scoring teams, but line is inflated; Both teams travel-fatigued",UNDER,,0.5171,3.9,
