bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-04-21,NYM,MIN,MIN,Nolan McLean,Simeon Woods Richardson,150.0,0.4,0.5486,0.1486,14.9%,0.2476,HIGH,False,Facing elite SP; Underdog on 4L skid; Favorite on 11L skid; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog pitcher ERA over 4.00,,,,,
MONEYLINE,2026-04-21,SF,LAD,SF,Landen Roupp,Yoshinobu Yamamoto,155.0,0.3922,0.4297,0.0375,3.8%,0.0618,NO PLAY,False,Facing elite SP; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; Underdog traveled cross-country; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-21,ARI,CWS,CWS,Merrill Kelly,Sean Burke,128.0,0.4386,0.3566,-0.082,-8.2%,0.0,NO PLAY,False,Facing elite SP; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
RUN LINE,2026-04-21,NYM,MIN,MIN,Nolan McLean,Simeon Woods Richardson,150.0,0.5918,,0.1068,10.7%,0.2615,MEDIUM,True,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued,MIN +1.5,-145.0,0.6986,,
RUN LINE,2026-04-21,SF,LAD,SF,Landen Roupp,Yoshinobu Yamamoto,155.0,0.5122,,0.0675,6.7%,0.1384,LOW,False,Favorite is travel-fatigued; Home underdog,SF +1.5,-105.0,0.5797,,
RUN LINE,2026-04-21,ARI,CWS,CWS,Merrill Kelly,Sean Burke,128.0,0.6094,,-0.1027,-10.3%,0.0,NO PLAY,False,Favorite is travel-fatigued,CWS +1.5,-156.0,0.5066,,
FULL GAME TOTAL,2026-04-21,CLE,HOU,,Parker Messick,Ryan Weiss,,,,0.1361,13.6%,,LOW,True,Strong value; Both teams travel-fatigued,UNDER,,0.6361,8.0,
FULL GAME TOTAL,2026-04-21,DET,MIL,,Keider Montero,Kyle Harrison,,,,0.1221,12.2%,,LOW,False,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.6221,8.0,
FULL GAME TOTAL,2026-04-21,SF,LAD,,Landen Roupp,Yoshinobu Yamamoto,,,,0.1159,11.6%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.6159,7.0,
FULL GAME TOTAL,2026-04-21,WSH,ATL,,Foster Griffin,Reynaldo López,,,,0.0944,9.4%,,NO PLAY,False,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value; Both teams travel-fatigued",UNDER,,0.5944,8.5,
FULL GAME TOTAL,2026-04-21,ARI,CWS,,Merrill Kelly,Sean Burke,,,,0.0864,8.6%,,NO PLAY,False,Hitter-friendly park favors OVER; Strong value; Both teams travel-fatigued,OVER,,0.5864,9.0,
FULL GAME TOTAL,2026-04-21,COL,SD,,TBD,Randy Vásquez,,,,0.0804,8.0%,,NO PLAY,False,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Strong value; Both teams travel-fatigued",OVER,,0.5804,11.0,
FULL GAME TOTAL,2026-04-21,TEX,PIT,,TBD,TBD,,,,0.0698,7.0%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5698,8.5,
FULL GAME TOTAL,2026-04-21,MIA,STL,,Chris Paddack,Dustin May,,,,0.0635,6.3%,,NO PLAY,False,"Pitcher-friendly park favors UNDER; Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,,0.5635,8.5,
FULL GAME TOTAL,2026-04-21,NYM,MIN,,Nolan McLean,Simeon Woods Richardson,,,,0.0578,5.8%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5578,7.5,
FULL GAME TOTAL,2026-04-21,LAA,TOR,,Jack Kochanowicz,Patrick Corbin,,,,0.0441,4.4%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5441,9.5,
FULL GAME TOTAL,2026-04-21,BOS,NYY,,Connelly Early,Luis Gil,,,,0.0338,3.4%,,NO PLAY,False,Hitter-friendly park favors OVER; Both teams travel-fatigued,OVER,,0.5338,8.5,
FULL GAME TOTAL,2026-04-21,KC,BAL,,Kris Bubic,Shane Baz,,,,0.022,2.2%,,NO PLAY,False,Both teams travel-fatigued,OVER,,0.522,9.0,
FULL GAME TOTAL,2026-04-21,TB,CIN,,Steven Matz,Chase Burns,,,,0.0202,2.0%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5202,7.5,
FULL GAME TOTAL,2026-04-21,CHC,PHI,,Shota Imanaga,Jesús Luzardo,,,,0.0193,1.9%,,NO PLAY,False,Weak pitching matchup; Both teams travel-fatigued,OVER,,0.5193,8.5,
F5 TOTAL,2026-04-21,COL,SD,,TBD,Randy Vásquez,,,,0.1214,12.1%,,LOW,True,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Strong value; Both teams travel-fatigued",OVER,,0.6214,6.1,
F5 TOTAL,2026-04-21,SF,LAD,,Landen Roupp,Yoshinobu Yamamoto,,,,0.1195,11.9%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.6195,3.9,
F5 TOTAL,2026-04-21,WSH,ATL,,Foster Griffin,Reynaldo López,,,,0.1141,11.4%,,NO PLAY,False,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value; Both teams travel-fatigued",UNDER,,0.6141,4.7,
F5 TOTAL,2026-04-21,DET,MIL,,Keider Montero,Kyle Harrison,,,,0.0952,9.5%,,NO PLAY,False,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.5952,4.4,
F5 TOTAL,2026-04-21,TEX,PIT,,TBD,TBD,,,,0.0858,8.6%,,NO PLAY,False,Strong value; Both teams travel-fatigued,UNDER,,0.5858,4.7,
F5 TOTAL,2026-04-21,CLE,HOU,,Parker Messick,Ryan Weiss,,,,0.0822,8.2%,,NO PLAY,False,Strong value; Both teams travel-fatigued,UNDER,,0.5822,4.4,
F5 TOTAL,2026-04-21,MIA,STL,,Chris Paddack,Dustin May,,,,0.0821,8.2%,,NO PLAY,False,"Pitcher-friendly park favors UNDER; Weak pitching, but line already accounts for it; Strong value; Both teams travel-fatigued",UNDER,,0.5821,4.7,
F5 TOTAL,2026-04-21,NYM,MIN,,Nolan McLean,Simeon Woods Richardson,,,,0.0751,7.5%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5751,4.1,
F5 TOTAL,2026-04-21,ARI,CWS,,Merrill Kelly,Sean Burke,,,,0.05,5.0%,,NO PLAY,False,Hitter-friendly park favors OVER; Both teams travel-fatigued,OVER,,0.55,5.0,
F5 TOTAL,2026-04-21,TB,CIN,,Steven Matz,Chase Burns,,,,0.0479,4.8%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5479,4.1,
F5 TOTAL,2026-04-21,BOS,NYY,,Connelly Early,Luis Gil,,,,0.0271,2.7%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Both teams travel-fatigued",UNDER,,0.5271,4.7,
F5 TOTAL,2026-04-21,CHC,PHI,,Shota Imanaga,Jesús Luzardo,,,,0.0207,2.1%,,NO PLAY,False,Weak pitching matchup; Both teams travel-fatigued,OVER,,0.5207,4.7,
