bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-05-07,COL,NYM,COL,Jose Quintana,Christian Scott,130.0,0.4348,0.5876,0.1528,15.3%,0.2703,HIGH,False,Underdog SP has better ERA; Underdog on 6L skid; Favorite on 3L skid; Strong value play; Home underdog; Favorite is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-05-07,CHC,CIN,CIN,Shota Imanaga,Rhett Lowder,165.0,0.3774,0.4781,0.1007,10.1%,0.1618,HIGH,False,Facing elite SP; Underdog on 6L skid; Favorite on 8L skid; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-05-07,SD,STL,STL,Michael King,Matthew Liberatore,140.0,0.4167,0.3995,-0.0171,-1.7%,0.0,NO PLAY,False,Facing elite SP; Favorite is travel-fatigued; Underdog is travel-fatigued; Underdog traveled cross-country; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-05-07,NYY,TEX,TEX,Paul Blackburn,MacKenzie Gore,135.0,0.4255,0.3811,-0.0444,-4.4%,0.0,NO PLAY,False,Facing elite SP; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
RUN LINE,2026-05-07,COL,NYM,COL,Jose Quintana,Christian Scott,130.0,0.5,,0.2376,23.8%,0.4751,HIGH,True,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued; Home underdog,COL +1.5,100.0,0.7376,,
RUN LINE,2026-05-07,CHC,CIN,CIN,Shota Imanaga,Rhett Lowder,165.0,0.5556,,0.0725,7.3%,0.1632,LOW,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued,CIN +1.5,-125.0,0.6281,,
RUN LINE,2026-05-07,SD,STL,STL,Michael King,Matthew Liberatore,140.0,0.6,,-0.0505,-5.0%,0.0,NO PLAY,False,Favorite is travel-fatigued,STL +1.5,-150.0,0.5495,,
RUN LINE,2026-05-07,NYY,TEX,TEX,Paul Blackburn,MacKenzie Gore,135.0,0.6047,,-0.0736,-7.4%,0.0,NO PLAY,False,Favorite is travel-fatigued,TEX +1.5,-153.0,0.5311,,
FULL GAME TOTAL,2026-05-07,CHC,CIN,,Shota Imanaga,Rhett Lowder,,,,0.1544,15.4%,,MEDIUM,True,Strong value; Both teams travel-fatigued,UNDER,,0.6544,9.0,
FULL GAME TOTAL,2026-05-07,COL,NYM,,Jose Quintana,Christian Scott,,,,0.1386,13.9%,,LOW,False,Hitter-friendly park favors OVER; Strong value; Away team travel-fatigued,OVER,,0.6386,11.0,
FULL GAME TOTAL,2026-05-07,BOS,TB,,Jake Bennett,Griffin Jax,,,,0.1037,10.4%,,NO PLAY,False,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Strong value; Both teams travel-fatigued",OVER,,0.6037,8.5,
FULL GAME TOTAL,2026-05-07,SD,STL,,Michael King,Matthew Liberatore,,,,0.0794,7.9%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,,0.5794,8.0,
FULL GAME TOTAL,2026-05-07,WSH,MIN,,Jake Irvin,Simeon Woods Richardson,,,,0.0748,7.5%,,NO PLAY,False,"High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,,0.5748,9.0,
FULL GAME TOTAL,2026-05-07,NYY,TEX,,Paul Blackburn,MacKenzie Gore,,,,0.0536,5.4%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Both teams travel-fatigued",UNDER,,0.5536,8.5,
FULL GAME TOTAL,2026-05-07,KC,CLE,,Seth Lugo,Slade Cecconi,,,,0.0241,2.4%,,NO PLAY,False,Both teams travel-fatigued,OVER,,0.5241,9.5,
FULL GAME TOTAL,2026-05-07,ARI,PIT,,Zac Gallen,Mitch Keller,,,,0.0101,1.0%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Both teams travel-fatigued",UNDER,,0.5101,8.5,
FULL GAME TOTAL,2026-05-07,MIA,BAL,,Max Meyer,Cade Povich,,,,0.001,0.1%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,,0.501,8.5,
F5 TOTAL,2026-05-07,SD,STL,,Michael King,Matthew Liberatore,,,,0.1316,13.2%,,LOW,True,Pitcher-friendly park favors UNDER; Strong value; Both teams travel-fatigued,UNDER,,0.6316,4.4,
F5 TOTAL,2026-05-07,NYY,TEX,,Paul Blackburn,MacKenzie Gore,,,,0.1107,11.1%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Strong value; Both teams travel-fatigued",UNDER,,0.6107,4.7,
F5 TOTAL,2026-05-07,COL,NYM,,Jose Quintana,Christian Scott,,,,0.0995,10.0%,,NO PLAY,False,Hitter-friendly park favors OVER; Strong value; Away team travel-fatigued,OVER,,0.5995,6.1,
F5 TOTAL,2026-05-07,CHC,CIN,,Shota Imanaga,Rhett Lowder,,,,0.0977,9.8%,,NO PLAY,False,Strong value; Both teams travel-fatigued,UNDER,,0.5977,5.0,
F5 TOTAL,2026-05-07,BOS,TB,,Jake Bennett,Griffin Jax,,,,0.0904,9.0%,,NO PLAY,False,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Strong value; Both teams travel-fatigued",OVER,,0.5904,4.7,
F5 TOTAL,2026-05-07,MIA,BAL,,Max Meyer,Cade Povich,,,,0.0442,4.4%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,,0.5442,4.7,
F5 TOTAL,2026-05-07,WSH,MIN,,Jake Irvin,Simeon Woods Richardson,,,,0.0439,4.4%,,NO PLAY,False,"High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,,0.5439,5.0,
F5 TOTAL,2026-05-07,KC,CLE,,Seth Lugo,Slade Cecconi,,,,0.0185,1.8%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5185,5.2,
F5 TOTAL,2026-05-07,ARI,PIT,,Zac Gallen,Mitch Keller,,,,0.0089,0.9%,,NO PLAY,False,Hitter-friendly park favors OVER; Both teams travel-fatigued,OVER,,0.5089,4.7,
1ST INN ML,2026-05-07,NYY,TEX,,Paul Blackburn,MacKenzie Gore,,,,0.0952,9.5%,,HIGH,True,Standard play,NYY,-110.0,0.619,,
1ST INN ML,2026-05-07,SD,STL,,Michael King,Matthew Liberatore,,,,0.0784,7.8%,,HIGH,True,Standard play,SD,-110.0,0.6023,,
1ST INN ML,2026-05-07,KC,CLE,,Seth Lugo,Slade Cecconi,,,,0.0509,5.1%,,MEDIUM,False,Standard play,KC,-110.0,0.5747,,
1ST INN ML,2026-05-07,CHC,CIN,,Shota Imanaga,Rhett Lowder,,,,0.0466,4.7%,,MEDIUM,False,Standard play,CHC,-110.0,0.5705,,
1ST INN ML,2026-05-07,WSH,MIN,,Jake Irvin,Simeon Woods Richardson,,,,0.0443,4.4%,,MEDIUM,False,Standard play,WSH,-110.0,0.5682,,
1ST INN ML,2026-05-07,BOS,TB,,Jake Bennett,Griffin Jax,,,,0.0262,2.6%,,NO PLAY,False,Elite pitching matchup,BOS,-110.0,0.55,,
1ST INN ML,2026-05-07,ARI,PIT,,Zac Gallen,Mitch Keller,,,,0.0184,1.8%,,NO PLAY,False,Standard play,PIT,-110.0,0.5422,,
1ST INN ML,2026-05-07,MIA,BAL,,Max Meyer,Cade Povich,,,,-0.0006,-0.1%,,NO PLAY,False,Standard play,BAL,-110.0,0.5232,,
1ST INN ML,2026-05-07,PHI,OAK,,Andrew Painter,J.T. Ginn,,,,-0.0172,-1.7%,,NO PLAY,False,Standard play,PHI,-110.0,0.5066,,
1ST INN ML,2026-05-07,COL,NYM,,Jose Quintana,Christian Scott,,,,-0.0192,-1.9%,,NO PLAY,False,Standard play,NYM,-110.0,0.5046,,
1ST INN TOTAL,2026-05-07,SD,STL,,Michael King,Matthew Liberatore,,,,0.0603,6.0%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.5841,0.5,
1ST INN TOTAL,2026-05-07,COL,NYM,,Jose Quintana,Christian Scott,,,,0.0368,3.7%,,NO PLAY,False,Hitter-friendly park,OVER 0.5,-110.0,0.5606,0.5,
1ST INN TOTAL,2026-05-07,ARI,PIT,,Zac Gallen,Mitch Keller,,,,0.0359,3.6%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.5597,0.5,
1ST INN TOTAL,2026-05-07,MIA,BAL,,Max Meyer,Cade Povich,,,,0.0242,2.4%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.548,0.5,
1ST INN TOTAL,2026-05-07,WSH,MIN,,Jake Irvin,Simeon Woods Richardson,,,,0.0084,0.8%,,NO PLAY,False,Standard play,OVER 0.5,-110.0,0.5323,0.5,
1ST INN TOTAL,2026-05-07,NYY,TEX,,Paul Blackburn,MacKenzie Gore,,,,0.0002,0.0%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.524,0.5,
1ST INN TOTAL,2026-05-07,BOS,TB,,Jake Bennett,Griffin Jax,,,,0.0002,0.0%,,NO PLAY,False,Hitter-friendly park,OVER 0.5,-110.0,0.524,0.5,
1ST INN TOTAL,2026-05-07,CHC,CIN,,Shota Imanaga,Rhett Lowder,,,,-0.0072,-0.7%,,NO PLAY,False,Standard play,OVER 0.5,-110.0,0.5166,0.5,
1ST INN TOTAL,2026-05-07,KC,CLE,,Seth Lugo,Slade Cecconi,,,,-0.0136,-1.4%,,NO PLAY,False,Standard play,OVER 0.5,-110.0,0.5102,0.5,
1ST INN TOTAL,2026-05-07,PHI,OAK,,Andrew Painter,J.T. Ginn,,,,-0.0208,-2.1%,,NO PLAY,False,Standard play,UNDER 0.5,-110.0,0.503,0.5,
PITCHER K,2026-05-07,WSH,MIN,,,,,,,0.2604,26.0%,,HIGH,True,Facing high-K team; Strong value,OVER 3.5 Ks,-120.0,0.7604,3.5,Simeon Woods Richardson
