bet_type,game_date,home_team,away_team,home_sp_name,away_sp_name,pick,odds,model_prob,edge,edge_pct,confidence,recommended,notes,line
1ST INN ML,2026-06-28,STL,MIA,Kyle Leahy,Tyler Phillips,MIA,-110,0.5754,0.0516,5.2%,MEDIUM,True,Standard play,
1ST INN ML,2026-06-28,DET,HOU,Jack Flaherty,Hunter Brown,HOU,-110,0.5672,0.0434,4.3%,MEDIUM,True,Elite pitching matchup,
1ST INN ML,2026-06-28,TB,ARI,Drew Rasmussen,Merrill Kelly,TB,-110,0.5598,0.036,3.6%,LOW,False,Standard play,
1ST INN ML,2026-06-28,CWS,KC,Anthony Kay,Luinder Avila,CWS,-110,0.5553,0.0315,3.1%,LOW,False,Standard play,
1ST INN ML,2026-06-28,SF,ATL,Robbie Ray,Chris Sale,ATL,-110,0.5542,0.0304,3.0%,LOW,False,Elite pitching matchup,
1ST INN ML,2026-06-28,TOR,TEX,Shane Bieber,Kumar Rocker,TOR,-110,0.5429,0.0191,1.9%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-28,MIL,CHC,Brandon Woodruff,Ryan Rolison,CHC,-110,0.5394,0.0156,1.6%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-06-28,MIN,COL,Connor Prielipp,Ryan Feltner,MIN,-110,0.5393,0.0155,1.6%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-28,BAL,WSH,Kyle Bradish,Zack Littell,BAL,-110,0.5381,0.0143,1.4%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-28,SD,LAD,Michael King,Emmet Sheehan,SD,-110,0.513,-0.0109,-1.1%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-28,PIT,CIN,Mitch Keller,Brady Singer,PIT,-110,0.5119,-0.0119,-1.2%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-28,BOS,NYY,Sonny Gray,Carlos Rodón,BOS,-110,0.5099,-0.0139,-1.4%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-06-28,CLE,SEA,Gavin Williams,Emerson Hancock,SEA,-110,0.5069,-0.0169,-1.7%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-28,LAA,OAK,Sam Aldegheri,Aaron Civale,LAA,-110,0.505,-0.0188,-1.9%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-28,NYM,PHI,Cionel Pérez,Jesús Luzardo,NYM,-110,0.5037,-0.0201,-2.0%,NO PLAY,False,Standard play,
1ST INN TOTAL,2026-06-28,BOS,NYY,Sonny Gray,Carlos Rodón,OVER 0.5,-110,0.5633,0.0395,4.0%,NO PLAY,False,Hitter-friendly park,0.5
1ST INN TOTAL,2026-06-28,TOR,TEX,Shane Bieber,Kumar Rocker,UNDER 0.5,-110,0.5601,0.0363,3.6%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-28,TB,ARI,Drew Rasmussen,Merrill Kelly,OVER 0.5,-110,0.5512,0.0274,2.7%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-28,MIL,CHC,Brandon Woodruff,Ryan Rolison,OVER 0.5,-110,0.5491,0.0253,2.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-28,DET,HOU,Jack Flaherty,Hunter Brown,UNDER 0.5,-110,0.5461,0.0223,2.2%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-06-28,BAL,WSH,Kyle Bradish,Zack Littell,OVER 0.5,-110,0.5285,0.0047,0.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-28,STL,MIA,Kyle Leahy,Tyler Phillips,UNDER 0.5,-110,0.5215,-0.0023,-0.2%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-28,NYM,PHI,Cionel Pérez,Jesús Luzardo,UNDER 0.5,-110,0.5146,-0.0092,-0.9%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-28,SF,ATL,Robbie Ray,Chris Sale,UNDER 0.5,-110,0.5143,-0.0095,-1.0%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-06-28,CWS,KC,Anthony Kay,Luinder Avila,UNDER 0.5,-110,0.513,-0.0108,-1.1%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-28,LAA,OAK,Sam Aldegheri,Aaron Civale,OVER 0.5,-110,0.51,-0.0138,-1.4%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-28,CLE,SEA,Gavin Williams,Emerson Hancock,OVER 0.5,-110,0.5076,-0.0163,-1.6%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-28,SD,LAD,Michael King,Emmet Sheehan,OVER 0.5,-110,0.5052,-0.0186,-1.9%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-28,PIT,CIN,Mitch Keller,Brady Singer,UNDER 0.5,-110,0.5043,-0.0195,-2.0%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-28,MIN,COL,Connor Prielipp,Ryan Feltner,UNDER 0.5,-110,0.5041,-0.0197,-2.0%,NO PLAY,False,Standard play,0.5
