bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-05-02,SD,CWS,CWS,Michael King,Sean Burke,154.0,0.3937,0.5546,0.1609,16.1%,0.2653,HIGH,False,Facing elite SP; Underdog on 4L skid; Favorite on 3L skid; Strong value play; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-05-02,COL,ATL,COL,TBD,Chris Sale,185.0,0.3509,0.4023,0.0515,5.1%,0.0793,MEDIUM,False,Facing elite SP; Good value; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-05-02,NYY,BAL,BAL,Ryan Weathers,Kyle Bradish,145.0,0.4082,0.4526,0.0444,4.4%,0.075,NO PLAY,False,Facing elite SP; Underdog is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-05-02,CHC,ARI,ARI,Shota Imanaga,Ryne Nelson,142.0,0.4132,0.4235,0.0103,1.0%,0.0176,NO PLAY,False,Facing elite SP; Favorite on 3L skid; Underdog is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
RUN LINE,2026-05-02,SD,CWS,CWS,Michael King,Sean Burke,154.0,0.5763,,0.1283,12.8%,0.3028,HIGH,True,Strong ML probability boosts +1.5 cover; Strong value on run line,CWS +1.5,-136.0,0.7046,,
RUN LINE,2026-05-02,NYY,BAL,BAL,Ryan Weathers,Kyle Bradish,145.0,0.5745,,0.0281,2.8%,0.0661,NO PLAY,False,Strong ML probability boosts +1.5 cover,BAL +1.5,-135.0,0.6026,,
RUN LINE,2026-05-02,COL,ATL,COL,TBD,Chris Sale,185.0,0.5745,,-0.0221,-2.2%,0.0,NO PLAY,False,Favorite is travel-fatigued; Home underdog,COL +1.5,-135.0,0.5523,,
RUN LINE,2026-05-02,CHC,ARI,ARI,Shota Imanaga,Ryne Nelson,142.0,0.6078,,-0.0343,-3.4%,0.0,NO PLAY,False,Standard run line play,ARI +1.5,-155.0,0.5735,,
FULL GAME TOTAL,2026-05-02,COL,ATL,,TBD,Chris Sale,,,,0.1492,14.9%,,LOW,True,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Strong value; Both teams travel-fatigued",OVER,,0.6492,10.0,
FULL GAME TOTAL,2026-05-02,NYY,BAL,,Ryan Weathers,Kyle Bradish,,,,0.1371,13.7%,,LOW,False,"Hitter-friendly park, but other factors favor UNDER; Strong value; Away team travel-fatigued",UNDER,,0.6371,8.5,
