bet_type,game_date,home_team,away_team,home_sp_name,away_sp_name,pick,odds,model_prob,edge,edge_pct,confidence,recommended,notes,line
1ST INN ML,2026-09-03,LAD,STL,Tarik Skubal,Quinn Mathews,LAD,-110,0.6085,0.0847,8.5%,HIGH,True,Standard play,
1ST INN ML,2026-09-03,CHC,MIL,Kevin Gausman,Logan Henderson,MIL,-110,0.5658,0.042,4.2%,MEDIUM,True,Standard play,
1ST INN ML,2026-09-03,KC,MIA,Michael Wacha,Sandy Alcantara,MIA,-110,0.5581,0.0343,3.4%,LOW,False,Elite pitching matchup,
1ST INN ML,2026-09-03,PIT,SF,Lake Bachar,Blade Tidwell,PIT,-110,0.5493,0.0255,2.5%,NO PLAY,False,Standard play,
1ST INN ML,2026-09-03,SEA,OAK,Kade Anderson,Jack Perkins,SEA,-110,0.5427,0.0189,1.9%,NO PLAY,False,Standard play,
1ST INN ML,2026-09-03,HOU,CWS,Hunter Brown,Luis Castillo,HOU,-110,0.5419,0.0181,1.8%,NO PLAY,False,Standard play,
1ST INN ML,2026-09-03,BAL,BOS,Brandon Young,Jake Bennett,BOS,-110,0.5343,0.0105,1.0%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-09-03,CLE,TOR,Tanner Bibee,José Soriano,TOR,-110,0.5088,-0.015,-1.5%,NO PLAY,False,Standard play,
1ST INN ML,2026-09-03,TEX,TB,Cal Quantrill,Shane McClanahan,TEX,-110,0.5001,-0.0238,-2.4%,NO PLAY,False,Elite pitching matchup,
1ST INN TOTAL,2026-09-03,BAL,BOS,Brandon Young,Jake Bennett,UNDER 0.5,-110,0.5807,0.0569,5.7%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-09-03,CLE,TOR,Tanner Bibee,José Soriano,OVER 0.5,-110,0.5388,0.015,1.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-03,CHC,MIL,Kevin Gausman,Logan Henderson,UNDER 0.5,-110,0.5374,0.0136,1.4%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-03,KC,MIA,Michael Wacha,Sandy Alcantara,OVER 0.5,-110,0.5368,0.013,1.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-03,HOU,CWS,Hunter Brown,Luis Castillo,OVER 0.5,-110,0.5271,0.0033,0.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-03,LAD,STL,Tarik Skubal,Quinn Mathews,UNDER 0.5,-110,0.5208,-0.003,-0.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-03,SEA,OAK,Kade Anderson,Jack Perkins,OVER 0.5,-110,0.5169,-0.0069,-0.7%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-03,PIT,SF,Lake Bachar,Blade Tidwell,OVER 0.5,-110,0.5154,-0.0084,-0.8%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-03,TEX,TB,Cal Quantrill,Shane McClanahan,OVER 0.5,-110,0.5146,-0.0092,-0.9%,NO PLAY,False,Standard play,0.5
