bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob
MONEYLINE,2026-04-03,DET,STL,STL,Framber Valdez,Michael McGreevy,150.0,0.4,0.5957,0.1957,19.6%,0.3262,HIGH,True,Underdog SP has better ERA; Favorite on 4L skid; Strong value play,,,
MONEYLINE,2026-04-03,LAA,SEA,LAA,Reid Detmers,Bryan Woo,137.0,0.4219,0.5445,0.1225,12.3%,0.212,HIGH,False,Facing elite SP; Strong value play; Home underdog,,,
MONEYLINE,2026-04-03,NYY,MIA,MIA,Will Warren,Eury Pérez,148.0,0.4032,0.4874,0.0842,8.4%,0.1411,MEDIUM,False,Facing elite SP; Strong value play,,,
MONEYLINE,2026-04-03,COL,PHI,COL,Michael Lorenzen,Aaron Nola,170.0,0.3704,0.4384,0.068,6.8%,0.108,MEDIUM,False,Good value; Home underdog,,,
MONEYLINE,2026-04-03,WSH,LAD,WSH,Miles Mikolas,Emmet Sheehan,230.0,0.303,0.3631,0.0601,6.0%,0.0862,MEDIUM,False,Underdog SP has better ERA; Good value; Home underdog,,,
MONEYLINE,2026-04-03,CWS,TOR,CWS,Grant Taylor,Dylan Cease,176.0,0.3623,0.3577,-0.0047,-0.5%,0.0,NO PLAY,False,Facing elite SP; Home underdog,,,
MONEYLINE,2026-04-03,TEX,CIN,CIN,MacKenzie Gore,Brady Singer,146.0,0.4065,0.3581,-0.0484,-4.8%,0.0,NO PLAY,False,Facing elite SP,,,
FULL GAME TOTAL,2026-04-03,BOS,SD,,Sonny Gray,Michael King,,,,0.2352,23.5%,,HIGH,True,"Hitter-friendly park favors OVER; Low-scoring teams, but line is set too low; Elite SPs, but line overreacts; Strong value",OVER,8.5,0.7352
FULL GAME TOTAL,2026-04-03,KC,MIL,,Luinder Avila,Chad Patrick,,,,0.1899,19.0%,,HIGH,False,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value",UNDER,9.0,0.6899
FULL GAME TOTAL,2026-04-03,COL,PHI,,Michael Lorenzen,Aaron Nola,,,,0.1333,13.3%,,LOW,False,Hitter-friendly park favors OVER; Weak pitching matchup; Strong value,OVER,10.0,0.6333
