bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-05-09,TOR,LAA,LAA,Trey Yesavage,Jack Kochanowicz,150.0,0.4,0.6406,0.2406,24.1%,0.401,HIGH,False,Facing elite SP; Strong value play; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-05-09,LAD,ATL,ATL,Blake Snell,Spencer Strider,146.0,0.4065,0.5179,0.1114,11.1%,0.1878,HIGH,False,Strong value play; Underdog is travel-fatigued; Underdog traveled cross-country; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-05-09,CIN,HOU,HOU,Chase Burns,Spencer Arrighetti,136.0,0.4237,0.4801,0.0564,5.6%,0.0979,MEDIUM,False,Underdog SP has better ERA; Favorite on 8L skid; Good value; Favorite is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-05-09,MIA,WSH,WSH,Janson Junk,Zack Littell,135.0,0.4255,0.4564,0.0309,3.1%,0.0537,NO PLAY,False,Facing elite SP; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog pitcher ERA over 4.00,,,,,
MONEYLINE,2026-05-09,PHI,COL,COL,Aaron Nola,Kyle Freeland,156.0,0.3906,0.4042,0.0136,1.4%,0.0223,NO PLAY,False,Underdog SP has better ERA; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
RUN LINE,2026-05-09,TOR,LAA,LAA,Trey Yesavage,Jack Kochanowicz,150.0,0.5833,,0.2072,20.7%,0.4974,HIGH,True,Strong ML probability boosts +1.5 cover; Strong value on run line,LAA +1.5,-140.0,0.7906,,
RUN LINE,2026-05-09,LAD,ATL,ATL,Blake Snell,Spencer Strider,146.0,0.5781,,0.0899,9.0%,0.213,MEDIUM,False,Strong ML probability boosts +1.5 cover,ATL +1.5,-137.0,0.6679,,
RUN LINE,2026-05-09,CIN,HOU,HOU,Chase Burns,Spencer Arrighetti,136.0,0.6047,,0.0254,2.5%,0.0642,NO PLAY,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued,HOU +1.5,-153.0,0.6301,,
RUN LINE,2026-05-09,MIA,WSH,WSH,Janson Junk,Zack Littell,135.0,0.6154,,-0.009,-0.9%,0.0,NO PLAY,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued,WSH +1.5,-160.0,0.6064,,
RUN LINE,2026-05-09,PHI,COL,COL,Aaron Nola,Kyle Freeland,156.0,0.5745,,-0.0203,-2.0%,0.0,NO PLAY,False,Favorite is travel-fatigued,COL +1.5,-135.0,0.5542,,
FULL GAME TOTAL,2026-05-09,LAD,ATL,,Blake Snell,Spencer Strider,,,,0.1822,18.2%,,HIGH,True,"High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Strong value; Away team travel-fatigued",UNDER,,0.6822,8.5,
FULL GAME TOTAL,2026-05-09,MIL,NYY,,Kyle Harrison,Cam Schlittler,,,,0.1325,13.2%,,LOW,False,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value; Away team travel-fatigued",UNDER,,0.6325,7.5,
FULL GAME TOTAL,2026-05-09,SD,STL,,Randy Vásquez,Dustin May,,,,0.1181,11.8%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Strong value; Both teams travel-fatigued,UNDER,,0.6181,8.0,
FULL GAME TOTAL,2026-05-09,CLE,MIN,,Tanner Bibee,Joe Ryan,,,,0.1102,11.0%,,NO PLAY,False,Strong value; Both teams travel-fatigued,UNDER,,0.6102,8.0,
FULL GAME TOTAL,2026-05-09,BOS,TB,,Payton Tolle,Nick Martinez,,,,0.0922,9.2%,,NO PLAY,False,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Strong value; Both teams travel-fatigued",OVER,,0.5922,7.5,
FULL GAME TOTAL,2026-05-09,MIA,WSH,,Janson Junk,Zack Littell,,,,0.0774,7.7%,,NO PLAY,False,"Pitcher-friendly park favors UNDER; Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,,0.5774,8.5,
FULL GAME TOTAL,2026-05-09,ARI,NYM,,Merrill Kelly,Clay Holmes,,,,0.0538,5.4%,,NO PLAY,False,Hitter-friendly park favors OVER; Weak pitching matchup; Both teams travel-fatigued,OVER,,0.5538,9.0,
FULL GAME TOTAL,2026-05-09,TEX,CHC,,Jack Leiter,Edward Cabrera,,,,0.0529,5.3%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5529,8.5,
FULL GAME TOTAL,2026-05-09,KC,DET,,Michael Wacha,Burch Smith,,,,0.0342,3.4%,,NO PLAY,False,"Elite SPs, but line overreacts; Home team travel-fatigued",OVER,,0.5342,9.5,
FULL GAME TOTAL,2026-05-09,CIN,HOU,,Chase Burns,Spencer Arrighetti,,,,0.0177,1.8%,,NO PLAY,False,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Home team travel-fatigued",OVER,,0.5177,8.5,
FULL GAME TOTAL,2026-05-09,TOR,LAA,,Trey Yesavage,Jack Kochanowicz,,,,0.0176,1.8%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,,0.5176,8.5,
FULL GAME TOTAL,2026-05-09,PHI,COL,,Aaron Nola,Kyle Freeland,,,,0.0162,1.6%,,NO PLAY,False,Weak pitching matchup; Both teams travel-fatigued,OVER,,0.5162,8.5,
FULL GAME TOTAL,2026-05-09,SF,PIT,,Landen Roupp,Braxton Ashcraft,,,,0.013,1.3%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup; Away team travel-fatigued,UNDER,,0.513,7.5,
FULL GAME TOTAL,2026-05-09,CWS,SEA,,Anthony Kay,Luis Castillo,,,,0.0129,1.3%,,NO PLAY,False,Weak pitching matchup; Away team travel-fatigued,OVER,,0.5129,9.5,
