bet_type,game_date,home_team,away_team,home_sp_name,away_sp_name,pick,odds,model_prob,edge,edge_pct,confidence,recommended,notes,line
1ST INN ML,2026-07-07,LAD,COL,Justin Wrobleski,Michael Lorenzen,LAD,-110,0.5928,0.069,6.9%,HIGH,True,Standard play,
1ST INN ML,2026-07-07,SF,TOR,Trevor McDonald,Spencer Miles,TOR,-110,0.5924,0.0686,6.9%,HIGH,True,Standard play,
1ST INN ML,2026-07-07,DET,OAK,Tarik Skubal,J.T. Ginn,OAK,-110,0.591,0.0672,6.7%,HIGH,False,Elite pitching matchup,
1ST INN ML,2026-07-07,BAL,CHC,Shane Baz,Matthew Boyd,BAL,-110,0.5816,0.0578,5.8%,MEDIUM,False,Standard play,
1ST INN ML,2026-07-07,WSH,HOU,Andrew Alvarez,Tatsuya Imai,WSH,-110,0.5729,0.0491,4.9%,MEDIUM,False,Standard play,
1ST INN ML,2026-07-07,SD,ARI,Germán Márquez,Zac Gallen,SD,-110,0.5626,0.0387,3.9%,LOW,False,Standard play,
1ST INN ML,2026-07-07,MIN,CLE,Taj Bradley,Joey Cantillo,MIN,-110,0.5609,0.0371,3.7%,LOW,False,Standard play,
1ST INN ML,2026-07-07,PIT,ATL,Paul Skenes,Hurston Waldrep,PIT,-110,0.5539,0.03,3.0%,LOW,False,Standard play,
1ST INN ML,2026-07-07,STL,MIL,Hunter Dobbins,Robert Gasser,STL,-110,0.5454,0.0216,2.2%,NO PLAY,False,Standard play,
1ST INN ML,2026-07-07,TEX,LAA,Jacob deGrom,José Soriano,TEX,-110,0.5342,0.0104,1.0%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-07-07,CWS,BOS,Noah Schultz,Payton Tolle,BOS,-110,0.5292,0.0054,0.5%,NO PLAY,False,Standard play,
1ST INN ML,2026-07-07,MIA,SEA,Max Meyer,TBD,SEA,-110,0.5243,0.0005,0.0%,NO PLAY,False,Standard play,
1ST INN ML,2026-07-07,CIN,PHI,Andrew Abbott,Zack Wheeler,PHI,-110,0.5201,-0.0037,-0.4%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-07-07,STL,MIL,Matt Svanson,Jacob Misiorowski,MIL,-110,0.5154,-0.0085,-0.8%,NO PLAY,False,Standard play,
1ST INN ML,2026-07-07,NYM,KC,TBD,Seth Lugo,KC,-110,0.5062,-0.0176,-1.8%,NO PLAY,False,Standard play,
1ST INN ML,2026-07-07,TB,NYY,Ian Seymour,Will Warren,TB,-110,0.5031,-0.0207,-2.1%,NO PLAY,False,Standard play,
1ST INN TOTAL,2026-07-07,DET,OAK,Tarik Skubal,J.T. Ginn,OVER 0.5,-110,0.5978,0.074,7.4%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,WSH,HOU,Andrew Alvarez,Tatsuya Imai,UNDER 0.5,-110,0.5772,0.0534,5.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,CIN,PHI,Andrew Abbott,Zack Wheeler,UNDER 0.5,-110,0.5672,0.0434,4.3%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-07-07,MIA,SEA,Max Meyer,TBD,UNDER 0.5,-110,0.5498,0.026,2.6%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,CWS,BOS,Noah Schultz,Payton Tolle,UNDER 0.5,-110,0.5471,0.0233,2.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,STL,MIL,Matt Svanson,Jacob Misiorowski,UNDER 0.5,-110,0.5443,0.0205,2.1%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,SD,ARI,Germán Márquez,Zac Gallen,UNDER 0.5,-110,0.5254,0.0016,0.2%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,MIN,CLE,Taj Bradley,Joey Cantillo,UNDER 0.5,-110,0.5189,-0.0049,-0.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,STL,MIL,Hunter Dobbins,Robert Gasser,UNDER 0.5,-110,0.5178,-0.0061,-0.6%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,PIT,ATL,Paul Skenes,Hurston Waldrep,OVER 0.5,-110,0.5177,-0.0061,-0.6%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,TEX,LAA,Jacob deGrom,José Soriano,OVER 0.5,-110,0.5163,-0.0075,-0.7%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,SF,TOR,Trevor McDonald,Spencer Miles,UNDER 0.5,-110,0.5159,-0.0079,-0.8%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,TB,NYY,Ian Seymour,Will Warren,OVER 0.5,-110,0.509,-0.0148,-1.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,NYM,KC,TBD,Seth Lugo,UNDER 0.5,-110,0.5028,-0.021,-2.1%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,BAL,CHC,Shane Baz,Matthew Boyd,UNDER 0.5,-110,0.5024,-0.0214,-2.1%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-07,LAD,COL,Justin Wrobleski,Michael Lorenzen,OVER 0.5,-110,0.5017,-0.0221,-2.2%,NO PLAY,False,Standard play,0.5
