bet_type,game_date,home_team,away_team,home_sp_name,away_sp_name,pick,odds,model_prob,edge,edge_pct,confidence,recommended,notes,line
1ST INN ML,2026-06-27,MIN,COL,Mike Paredes,Michael Lorenzen,MIN,-110,0.5706,0.0468,4.7%,MEDIUM,True,Standard play,
1ST INN ML,2026-06-27,TB,ARI,Cole Sulser,Jose Cabrera,ARI,-110,0.5675,0.0437,4.4%,MEDIUM,True,Elite pitching matchup,
1ST INN ML,2026-06-27,CLE,SEA,Slade Cecconi,Logan Gilbert,SEA,-110,0.5653,0.0415,4.1%,MEDIUM,False,Standard play,
1ST INN ML,2026-06-27,MIL,CHC,Kyle Harrison,David Peterson,MIL,-110,0.5628,0.039,3.9%,LOW,False,Standard play,
1ST INN ML,2026-06-27,NYM,PHI,Christian Scott,Alan Rangel,PHI,-110,0.5604,0.0366,3.7%,LOW,False,Elite pitching matchup,
1ST INN ML,2026-06-27,SF,ATL,Logan Webb,Bryce Elder,ATL,-110,0.5596,0.0358,3.6%,LOW,False,Standard play,
1ST INN ML,2026-06-27,STL,MIA,Andre Pallante,Ryan Gusto,STL,-110,0.5507,0.0269,2.7%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-27,PIT,CIN,Jared Jones,Chase Burns,CIN,-110,0.5365,0.0126,1.3%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-27,LAA,OAK,Reid Detmers,Jack Perkins,LAA,-110,0.5364,0.0126,1.3%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-27,SD,LAD,Randy Vásquez,Yoshinobu Yamamoto,LAD,-110,0.5355,0.0116,1.2%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-06-27,DET,HOU,Framber Valdez,Kai-Wei Teng,DET,-110,0.5225,-0.0013,-0.1%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-27,CWS,KC,Davis Martin,Michael Wacha,KC,-110,0.5176,-0.0062,-0.6%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-06-27,TOR,TEX,Dylan Cease,Cal Quantrill,TEX,-110,0.5078,-0.016,-1.6%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-06-27,BOS,NYY,Jake Bennett,Gerrit Cole,BOS,-110,0.5019,-0.022,-2.2%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-27,BAL,WSH,Brandon Young,Foster Griffin,WSH,-110,0.5009,-0.0229,-2.3%,NO PLAY,False,Elite pitching matchup,
1ST INN TOTAL,2026-06-27,TOR,TEX,Dylan Cease,Cal Quantrill,OVER 0.5,-110,0.5774,0.0536,5.4%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-27,CLE,SEA,Slade Cecconi,Logan Gilbert,UNDER 0.5,-110,0.5761,0.0523,5.2%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-27,PIT,CIN,Jared Jones,Chase Burns,UNDER 0.5,-110,0.5756,0.0517,5.2%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-27,NYM,PHI,Christian Scott,Alan Rangel,OVER 0.5,-110,0.5643,0.0405,4.1%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-27,CWS,KC,Davis Martin,Michael Wacha,OVER 0.5,-110,0.5608,0.0369,3.7%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-27,MIN,COL,Mike Paredes,Michael Lorenzen,OVER 0.5,-110,0.5326,0.0088,0.9%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-27,SD,LAD,Randy Vásquez,Yoshinobu Yamamoto,UNDER 0.5,-110,0.5308,0.007,0.7%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-06-27,LAA,OAK,Reid Detmers,Jack Perkins,OVER 0.5,-110,0.529,0.0052,0.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-27,TB,ARI,Cole Sulser,Jose Cabrera,UNDER 0.5,-110,0.5289,0.0051,0.5%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-06-27,STL,MIA,Andre Pallante,Ryan Gusto,UNDER 0.5,-110,0.5271,0.0033,0.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-27,DET,HOU,Framber Valdez,Kai-Wei Teng,UNDER 0.5,-110,0.5255,0.0017,0.2%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-27,BOS,NYY,Jake Bennett,Gerrit Cole,OVER 0.5,-110,0.5191,-0.0048,-0.5%,NO PLAY,False,Hitter-friendly park,0.5
1ST INN TOTAL,2026-06-27,MIL,CHC,Kyle Harrison,David Peterson,OVER 0.5,-110,0.5089,-0.0149,-1.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-27,BAL,WSH,Brandon Young,Foster Griffin,OVER 0.5,-110,0.5034,-0.0204,-2.0%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-27,SF,ATL,Logan Webb,Bryce Elder,OVER 0.5,-110,0.5005,-0.0233,-2.3%,NO PLAY,False,Standard play,0.5
