bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob
FULL GAME TOTAL,2026-03-28,ATL,KC,,Reynaldo López,Michael Wacha,,,,0.0994,9.9%,,HIGH,True,Low-scoring matchup; Strong value,UNDER,8.5,0.5994
FULL GAME TOTAL,2026-03-28,SEA,CLE,,Bryan Woo,Joey Cantillo,,,,0.0652,6.5%,,MEDIUM,True,Pitcher-friendly park,UNDER,7.0,0.5652
FULL GAME TOTAL,2026-03-28,MIA,COL,,Eury Pérez,Michael Lorenzen,,,,0.0226,2.3%,,NO PLAY,False,Pitcher-friendly park; Low-scoring matchup,OVER,7.5,0.5226
FULL GAME TOTAL,2026-03-28,PHI,TEX,,Aaron Nola,Jacob deGrom,,,,0.005,0.5%,,NO PLAY,False,Standard play,UNDER,7.0,0.505
F5 TOTAL,2026-03-28,CHC,WSH,,Cade Horton,Miles Mikolas,,,,0.4476,44.8%,,HIGH,True,High-scoring matchup; Strong value,UNDER,4.7,0.9476
F5 TOTAL,2026-03-28,BAL,MIN,,Kyle Bradish,Taj Bradley,,,,0.3512,35.1%,,HIGH,True,Low-scoring matchup; Strong value,OVER,4.1,0.8512
F5 TOTAL,2026-03-28,MIA,COL,,Eury Pérez,Michael Lorenzen,,,,0.3118,31.2%,,HIGH,True,Pitcher-friendly park; Low-scoring matchup; Strong value,OVER,4.1,0.8118
F5 TOTAL,2026-03-28,CIN,BOS,,Brady Singer,Sonny Gray,,,,0.3081,30.8%,,HIGH,True,Hitter-friendly park; Low-scoring matchup; Strong value,OVER,4.1,0.8081
F5 TOTAL,2026-03-28,HOU,LAA,,Cristian Javier,Reid Detmers,,,,0.2783,27.8%,,HIGH,True,Low-scoring matchup; Strong value,OVER,4.7,0.7783
F5 TOTAL,2026-03-28,SF,NYY,,Tyler Mahle,Will Warren,,,,0.2445,24.4%,,HIGH,True,Pitcher-friendly park; Low-scoring matchup; Strong value,OVER,4.7,0.7445
F5 TOTAL,2026-03-28,ATL,KC,,Reynaldo López,Michael Wacha,,,,0.1959,19.6%,,HIGH,True,Low-scoring matchup; Strong value,OVER,4.7,0.6959
F5 TOTAL,2026-03-28,STL,TB,,Michael McGreevy,Joe Boyle,,,,0.1812,18.1%,,HIGH,True,High-scoring matchup; Strong value,UNDER,4.1,0.6812
F5 TOTAL,2026-03-28,PHI,TEX,,Aaron Nola,Jacob deGrom,,,,0.1588,15.9%,,HIGH,True,Strong value,OVER,3.9,0.6588
F5 TOTAL,2026-03-28,SD,DET,,Randy Vásquez,Jack Flaherty,,,,0.1342,13.4%,,HIGH,True,Pitcher-friendly park; Strong value,UNDER,4.4,0.6342
F5 TOTAL,2026-03-28,NYM,PIT,,David Peterson,Mitch Keller,,,,0.1242,12.4%,,HIGH,True,High-scoring matchup; Strong value,UNDER,4.1,0.6242
F5 TOTAL,2026-03-28,LAD,ARI,,Tyler Glasnow,Eduardo Rodriguez,,,,0.0977,9.8%,,HIGH,True,Strong value,OVER,5.0,0.5977
F5 TOTAL,2026-03-28,MIL,CWS,,Chad Patrick,Sean Burke,,,,0.0575,5.7%,,MEDIUM,True,High-scoring matchup,OVER,4.4,0.5575
F5 TOTAL,2026-03-28,SEA,CLE,,Bryan Woo,Joey Cantillo,,,,0.0028,0.3%,,NO PLAY,False,Pitcher-friendly park,UNDER,3.9,0.5028
