bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob
MONEYLINE,2026-03-28,NYM,PIT,PIT,David Peterson,Mitch Keller,149.0,0.4016,0.8295,0.4279,42.8%,0.7151,HIGH,True,Strong value play,,,
MONEYLINE,2026-03-28,LAD,ARI,ARI,Tyler Glasnow,Eduardo Rodriguez,203.0,0.33,0.6301,0.3,30.0%,0.4478,HIGH,True,Strong value play,,,
MONEYLINE,2026-03-28,MIL,CWS,CWS,Chad Patrick,Sean Burke,162.0,0.3817,0.6399,0.2583,25.8%,0.4177,HIGH,True,Strong value play,,,
MONEYLINE,2026-03-28,SEA,CLE,CLE,Bryan Woo,Joey Cantillo,156.0,0.3906,0.5625,0.1719,17.2%,0.2821,HIGH,True,Strong value play,,,
MONEYLINE,2026-03-28,MIA,COL,COL,Eury Pérez,Michael Lorenzen,164.0,0.3788,0.5417,0.1629,16.3%,0.2622,HIGH,True,Strong value play,,,
MONEYLINE,2026-03-28,BAL,MIN,MIN,Kyle Bradish,Taj Bradley,139.0,0.4184,0.476,0.0576,5.8%,0.099,MEDIUM,True,Good value,,,
MONEYLINE,2026-03-28,CHC,WSH,WSH,Cade Horton,Miles Mikolas,194.0,0.3401,0.3649,0.0248,2.5%,0.0376,NO PLAY,False,Standard play,,,
FULL GAME TOTAL,2026-03-28,CIN,BOS,,Brady Singer,Sonny Gray,,,,0.3518,35.2%,,HIGH,True,Hitter-friendly park; Low-scoring matchup; Strong value,OVER,7.5,0.8518
FULL GAME TOTAL,2026-03-28,HOU,LAA,,Cristian Javier,Reid Detmers,,,,0.3087,30.9%,,HIGH,True,Low-scoring matchup; Strong value,OVER,8.5,0.8087
FULL GAME TOTAL,2026-03-28,SF,NYY,,Tyler Mahle,Will Warren,,,,0.2949,29.5%,,HIGH,True,Pitcher-friendly park; Low-scoring matchup; Strong value,OVER,8.5,0.7949
FULL GAME TOTAL,2026-03-28,CHC,WSH,,Cade Horton,Miles Mikolas,,,,0.292,29.2%,,HIGH,True,High-scoring matchup; Strong value,UNDER,8.5,0.792
FULL GAME TOTAL,2026-03-28,SD,DET,,Randy Vásquez,Jack Flaherty,,,,0.1913,19.1%,,HIGH,True,Pitcher-friendly park; Strong value,OVER,8.0,0.6913
FULL GAME TOTAL,2026-03-28,STL,TB,,Michael McGreevy,Joe Boyle,,,,0.186,18.6%,,HIGH,True,High-scoring matchup; Strong value,UNDER,7.5,0.686
FULL GAME TOTAL,2026-03-28,NYM,PIT,,David Peterson,Mitch Keller,,,,0.1827,18.3%,,HIGH,True,High-scoring matchup; Strong value,UNDER,7.5,0.6827
FULL GAME TOTAL,2026-03-28,MIL,CWS,,Chad Patrick,Sean Burke,,,,0.1552,15.5%,,HIGH,True,High-scoring matchup; Strong value,UNDER,8.0,0.6552
FULL GAME TOTAL,2026-03-28,LAD,ARI,,Tyler Glasnow,Eduardo Rodriguez,,,,0.1455,14.5%,,HIGH,True,Strong value,UNDER,9.0,0.6455
FULL GAME TOTAL,2026-03-28,BAL,MIN,,Kyle Bradish,Taj Bradley,,,,0.1222,12.2%,,HIGH,True,Low-scoring matchup; Strong value,OVER,7.5,0.6222
