bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-04-28,LAD,MIA,MIA,Shohei Ohtani,Janson Junk,235.0,0.2985,0.4943,0.1957,19.6%,0.279,HIGH,False,Facing elite SP; Favorite on 3L skid; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; Underdog traveled cross-country; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-28,CIN,COL,COL,Chase Burns,TBD,169.0,0.3717,0.5526,0.1808,18.1%,0.2879,HIGH,False,Facing elite SP; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-28,PHI,SF,SF,Jesús Luzardo,Tyler Mahle,140.0,0.4167,0.5562,0.1395,14.0%,0.2392,HIGH,False,Underdog SP has better ERA; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; Underdog traveled cross-country; FILTERED: Underdog pitcher ERA over 4.00,,,,,
MONEYLINE,2026-04-28,PIT,STL,STL,TBD,Kyle Leahy,130.0,0.4348,0.5537,0.1189,11.9%,0.2103,HIGH,False,Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-04-28,NYM,WSH,WSH,Clay Holmes,Zack Littell,157.0,0.3891,0.3722,-0.0169,-1.7%,0.0,NO PLAY,False,Facing elite SP; Favorite on 3L skid; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
RUN LINE,2026-04-28,LAD,MIA,MIA,Shohei Ohtani,Janson Junk,235.0,0.4762,,0.1681,16.8%,0.3208,HIGH,True,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued,MIA +1.5,110.0,0.6443,,
RUN LINE,2026-04-28,CIN,COL,COL,Chase Burns,TBD,169.0,0.5556,,0.147,14.7%,0.3308,HIGH,False,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued,COL +1.5,-125.0,0.7026,,
RUN LINE,2026-04-28,PHI,SF,SF,Jesús Luzardo,Tyler Mahle,140.0,0.5984,,0.1078,10.8%,0.2685,MEDIUM,False,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued,SF +1.5,-149.0,0.7062,,
RUN LINE,2026-04-28,PIT,STL,STL,TBD,Kyle Leahy,130.0,0.6154,,0.0883,8.8%,0.2295,MEDIUM,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued,STL +1.5,-160.0,0.7037,,
RUN LINE,2026-04-28,NYM,WSH,WSH,Clay Holmes,Zack Littell,157.0,0.5798,,-0.0576,-5.8%,0.0,NO PLAY,False,Standard run line play,WSH +1.5,-138.0,0.5222,,
FULL GAME TOTAL,2026-04-28,ATL,DET,,Martín Pérez,Casey Mize,,,,0.1917,19.2%,,HIGH,True,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value; Both teams travel-fatigued",UNDER,,0.6917,8.5,
FULL GAME TOTAL,2026-04-28,SD,CHC,,Walker Buehler,Edward Cabrera,,,,0.1662,16.6%,,MEDIUM,False,"Pitcher-friendly park favors UNDER; High-scoring teams, but line is inflated; Strong value; Both teams travel-fatigued",UNDER,,0.6662,8.5,
FULL GAME TOTAL,2026-04-28,PHI,SF,,Jesús Luzardo,Tyler Mahle,,,,0.1454,14.5%,,LOW,False,"Low-scoring teams, but line is set too low; Weak pitching matchup; Strong value; Both teams travel-fatigued",OVER,,0.6454,8.0,
FULL GAME TOTAL,2026-04-28,LAD,MIA,,Shohei Ohtani,Janson Junk,,,,0.1426,14.3%,,LOW,False,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value; Both teams travel-fatigued",UNDER,,0.6426,7.5,
FULL GAME TOTAL,2026-04-28,TEX,NYY,,Jacob deGrom,Cam Schlittler,,,,0.1277,12.8%,,LOW,False,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.6277,7.5,
FULL GAME TOTAL,2026-04-28,PIT,STL,,TBD,Kyle Leahy,,,,0.0896,9.0%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Strong value; Both teams travel-fatigued",UNDER,,0.5896,8.5,
FULL GAME TOTAL,2026-04-28,MIN,SEA,,Joe Ryan,Logan Gilbert,,,,0.0822,8.2%,,NO PLAY,False,Strong value; Both teams travel-fatigued,UNDER,,0.5822,7.5,
FULL GAME TOTAL,2026-04-28,CWS,LAA,,Davis Martin,José Soriano,,,,0.069,6.9%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.569,7.5,
FULL GAME TOTAL,2026-04-28,BAL,HOU,,Shane Baz,Kai-Wei Teng,,,,0.0574,5.7%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5574,9.0,
FULL GAME TOTAL,2026-04-28,CLE,TB,,Tanner Bibee,Nick Martinez,,,,0.0522,5.2%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5522,7.5,
FULL GAME TOTAL,2026-04-28,CIN,COL,,Chase Burns,TBD,,,,0.0513,5.1%,,NO PLAY,False,Hitter-friendly park favors OVER; Both teams travel-fatigued,OVER,,0.5513,9.0,
FULL GAME TOTAL,2026-04-28,MIL,ARI,,Chad Patrick,TBD,,,,0.0448,4.5%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5448,8.0,
FULL GAME TOTAL,2026-04-28,NYM,WSH,,Clay Holmes,Zack Littell,,,,0.0414,4.1%,,NO PLAY,False,Away team travel-fatigued,UNDER,,0.5414,7.5,
FULL GAME TOTAL,2026-04-28,TOR,BOS,,Trey Yesavage,Payton Tolle,,,,0.0118,1.2%,,NO PLAY,False,"Elite SPs, but line overreacts; Both teams travel-fatigued",OVER,,0.5118,7.5,
F5 TOTAL,2026-04-28,PIT,STL,,TBD,Kyle Leahy,,,,0.1204,12.0%,,LOW,True,"Weak pitching, but line already accounts for it; Strong value; Both teams travel-fatigued",UNDER,,0.6204,4.7,
F5 TOTAL,2026-04-28,SD,CHC,,Walker Buehler,Edward Cabrera,,,,0.0981,9.8%,,NO PLAY,False,"Pitcher-friendly park favors UNDER; High-scoring teams, but line is inflated; Strong value; Both teams travel-fatigued",UNDER,,0.5981,4.7,
