bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob
MONEYLINE,2026-03-31,TOR,COL,COL,Max Scherzer,Ryan Feltner,224.0,0.3086,0.5814,0.2728,27.3%,0.3946,HIGH,True,Strong value play,,,
MONEYLINE,2026-03-31,PHI,WSH,WSH,Andrew Painter,PJ Poulin,159.0,0.3861,0.643,0.2569,25.7%,0.4184,HIGH,True,Underdog SP has better ERA; Favorite on 3L skid; Strong value play,,,
MONEYLINE,2026-03-31,HOU,BOS,BOS,Hunter Brown,Brayan Bello,130.0,0.4348,0.6757,0.2409,24.1%,0.4262,HIGH,False,Facing elite SP; Favorite on 3L skid; Strong value play,,,
MONEYLINE,2026-03-31,STL,NYM,STL,Andre Pallante,Kodai Senga,135.0,0.4255,0.5864,0.1609,16.1%,0.28,HIGH,False,Strong value play; Home underdog,,,
MONEYLINE,2026-03-31,LAD,CLE,CLE,Shohei Ohtani,Tanner Bibee,216.0,0.3165,0.3063,-0.0102,-1.0%,0.0,NO PLAY,False,Standard play,,,
FULL GAME TOTAL,2026-03-31,MIL,TB,,Brandon Woodruff,Shane McClanahan,,,,0.3525,35.3%,,HIGH,True,High-scoring matchup; Strong value,UNDER,7.5,0.8525
FULL GAME TOTAL,2026-03-31,MIA,CWS,,Janson Junk,Erick Fedde,,,,0.2936,29.4%,,HIGH,True,Pitcher-friendly park; Strong value,UNDER,8.5,0.7936
FULL GAME TOTAL,2026-03-31,PHI,WSH,,Andrew Painter,PJ Poulin,,,,0.1968,19.7%,,HIGH,False,High-scoring matchup; Strong SP matchup; Strong value,UNDER,9.0,0.6968
FULL GAME TOTAL,2026-03-31,CHC,LAA,,Jameson Taillon,José Soriano,,,,0.1498,15.0%,,LOW,False,High-scoring matchup; Strong SP matchup; Strong value,UNDER,7.0,0.6498
FULL GAME TOTAL,2026-03-31,STL,NYM,,Andre Pallante,Kodai Senga,,,,0.1359,13.6%,,LOW,False,High-scoring matchup; Strong value,UNDER,8.5,0.6359
FULL GAME TOTAL,2026-03-31,SD,SF,,Germán Márquez,Logan Webb,,,,0.1012,10.1%,,NO PLAY,False,Pitcher-friendly park; Low-scoring matchup; Weak SP matchup; Strong value,OVER,7.5,0.6012
FULL GAME TOTAL,2026-03-31,TOR,COL,,Max Scherzer,Ryan Feltner,,,,0.0921,9.2%,,NO PLAY,False,High-scoring matchup; Strong value,UNDER,8.5,0.5921
FULL GAME TOTAL,2026-03-31,CIN,PIT,,Brandon Williamson,Bubba Chandler,,,,0.0812,8.1%,,NO PLAY,False,Hitter-friendly park; Low-scoring matchup; Strong value,OVER,9.0,0.5812
FULL GAME TOTAL,2026-03-31,LAD,CLE,,Shohei Ohtani,Tanner Bibee,,,,0.0734,7.3%,,NO PLAY,False,Standard play,OVER,8.0,0.5734
FULL GAME TOTAL,2026-03-31,HOU,BOS,,Hunter Brown,Brayan Bello,,,,0.0654,6.5%,,NO PLAY,False,Strong SP matchup,OVER,7.5,0.5654
FULL GAME TOTAL,2026-03-31,BAL,TEX,,Zach Eflin,Jacob deGrom,,,,0.0493,4.9%,,NO PLAY,False,Standard play,OVER,8.5,0.5493
FULL GAME TOTAL,2026-03-31,SEA,NYY,,Logan Gilbert,Max Fried,,,,0.0372,3.7%,,NO PLAY,False,Pitcher-friendly park; Strong SP matchup,UNDER,7.0,0.5372
FULL GAME TOTAL,2026-03-31,ARI,DET,,Brandon Pfaadt,Casey Mize,,,,0.0301,3.0%,,NO PLAY,False,Hitter-friendly park,UNDER,9.0,0.5301
F5 TOTAL,2026-03-31,CIN,PIT,,Brandon Williamson,Bubba Chandler,,,,0.3417,34.2%,,HIGH,True,Hitter-friendly park; Low-scoring matchup; Strong value,OVER,5.0,0.8417
F5 TOTAL,2026-03-31,SD,SF,,Germán Márquez,Logan Webb,,,,0.333,33.3%,,HIGH,True,Pitcher-friendly park; Low-scoring matchup; Weak SP matchup; Strong value,OVER,4.1,0.833
F5 TOTAL,2026-03-31,STL,NYM,,Andre Pallante,Kodai Senga,,,,0.3164,31.6%,,HIGH,False,High-scoring matchup; Strong value,UNDER,4.7,0.8164
