bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-04-24,LAD,CHC,CHC,Emmet Sheehan,Jameson Taillon,141.0,0.4149,0.6353,0.2204,22.0%,0.3767,HIGH,False,Underdog SP has better ERA; Underdog on 9L skid; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-04-24,STL,SEA,STL,Andre Pallante,George Kirby,133.0,0.4292,0.5177,0.0886,8.9%,0.1551,MEDIUM,False,Facing elite SP; Strong value play; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; Favorite traveled cross-country; FILTERED: Underdog pitcher ERA over 4.00,,,,,
MONEYLINE,2026-04-24,NYM,COL,COL,Freddy Peralta,Michael Lorenzen,185.0,0.3509,0.3459,-0.0049,-0.5%,0.0,NO PLAY,False,Favorite is travel-fatigued; Underdog is travel-fatigued; Underdog traveled cross-country; FILTERED: Underdog win% below .450,,,,,
RUN LINE,2026-04-24,LAD,CHC,CHC,Emmet Sheehan,Jameson Taillon,141.0,0.5918,,0.1935,19.3%,0.4741,HIGH,True,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued,CHC +1.5,-145.0,0.7853,,
RUN LINE,2026-04-24,STL,SEA,STL,Andre Pallante,George Kirby,133.0,0.4762,,0.1915,19.2%,0.3657,HIGH,False,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued; Home underdog,STL +1.5,110.0,0.6677,,
RUN LINE,2026-04-24,NYM,COL,COL,Freddy Peralta,Michael Lorenzen,185.0,0.5495,,-0.0536,-5.4%,0.0,NO PLAY,False,Favorite is travel-fatigued,COL +1.5,-122.0,0.4959,,
FULL GAME TOTAL,2026-04-24,LAD,CHC,,Emmet Sheehan,Jameson Taillon,,,,0.1924,19.2%,,HIGH,True,"High-scoring teams, but line is inflated; Strong value; Both teams travel-fatigued",UNDER,,0.6924,9.5,
FULL GAME TOTAL,2026-04-24,ATL,PHI,,Grant Holmes,Andrew Painter,,,,0.1334,13.3%,,LOW,False,Strong value; Both teams travel-fatigued,UNDER,,0.6334,9.0,
FULL GAME TOTAL,2026-04-24,TB,MIN,,Drew Rasmussen,Taj Bradley,,,,0.1029,10.3%,,NO PLAY,False,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.6029,7.5,
FULL GAME TOTAL,2026-04-24,CIN,DET,,Andrew Abbott,Framber Valdez,,,,0.0912,9.1%,,NO PLAY,False,Hitter-friendly park favors OVER; Strong value; Both teams travel-fatigued,OVER,,0.5912,8.5,
