bet_type,game_date,home_team,away_team,home_sp_name,away_sp_name,pick,odds,model_prob,edge,edge_pct,confidence,recommended,notes,line
1ST INN ML,2026-08-31,LAA,NYY,Walbert Ureña,Elmer Rodríguez,LAA,-110,0.6131,0.0893,8.9%,HIGH,True,Standard play,
1ST INN ML,2026-08-31,TB,NYM,Ian Seymour,Robert Stock,TB,-110,0.6044,0.0806,8.1%,HIGH,True,Standard play,
1ST INN ML,2026-08-31,TEX,OAK,Jacob deGrom,Gage Jump,TEX,-110,0.5949,0.0711,7.1%,HIGH,False,Standard play,
1ST INN ML,2026-08-31,CHC,MIL,Clay Holmes,Kyle Harrison,MIL,-110,0.5838,0.06,6.0%,HIGH,False,Elite pitching matchup,
1ST INN ML,2026-08-31,ARI,PHI,Brandon Pfaadt,Aaron Nola,ARI,-110,0.5789,0.0551,5.5%,MEDIUM,False,Standard play,
1ST INN ML,2026-08-31,CIN,SD,Brady Singer,Michael King,SD,-110,0.5748,0.051,5.1%,MEDIUM,False,Standard play,
1ST INN ML,2026-08-31,ATL,SF,Bryce Elder,Anthony Molina,SF,-110,0.5743,0.0504,5.0%,MEDIUM,False,Elite pitching matchup,
1ST INN ML,2026-08-31,HOU,CWS,Peter Lambert,Anthony Kay,HOU,-110,0.5608,0.0369,3.7%,LOW,False,Standard play,
1ST INN ML,2026-08-31,BOS,SEA,Payton Tolle,George Kirby,BOS,-110,0.5461,0.0223,2.2%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-31,MIN,DET,Taj Bradley,Jackson Jobe,MIN,-110,0.5307,0.0069,0.7%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-31,WSH,MIA,Will Dion,Ryan Gusto,WSH,-110,0.5286,0.0048,0.5%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-31,COL,BAL,Tanner Gordon,Cade Povich,COL,-110,0.5273,0.0035,0.4%,NO PLAY,False,Standard play,
1ST INN TOTAL,2026-08-31,CIN,SD,Brady Singer,Michael King,UNDER 0.5,-110,0.5572,0.0334,3.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-31,BOS,SEA,Payton Tolle,George Kirby,OVER 0.5,-110,0.5551,0.0312,3.1%,NO PLAY,False,Hitter-friendly park,0.5
1ST INN TOTAL,2026-08-31,ATL,SF,Bryce Elder,Anthony Molina,UNDER 0.5,-110,0.5452,0.0214,2.1%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-08-31,COL,BAL,Tanner Gordon,Cade Povich,OVER 0.5,-110,0.5413,0.0175,1.8%,NO PLAY,False,Hitter-friendly park,0.5
1ST INN TOTAL,2026-08-31,LAA,NYY,Walbert Ureña,Elmer Rodríguez,UNDER 0.5,-110,0.5268,0.003,0.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-31,CHC,MIL,Clay Holmes,Kyle Harrison,OVER 0.5,-110,0.5207,-0.0032,-0.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-31,TB,NYM,Ian Seymour,Robert Stock,UNDER 0.5,-110,0.5181,-0.0057,-0.6%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-31,ARI,PHI,Brandon Pfaadt,Aaron Nola,OVER 0.5,-110,0.5179,-0.0059,-0.6%,NO PLAY,False,Hitter-friendly park,0.5
1ST INN TOTAL,2026-08-31,TEX,OAK,Jacob deGrom,Gage Jump,OVER 0.5,-110,0.5165,-0.0073,-0.7%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-31,HOU,CWS,Peter Lambert,Anthony Kay,UNDER 0.5,-110,0.5107,-0.0131,-1.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-31,WSH,MIA,Will Dion,Ryan Gusto,UNDER 0.5,-110,0.5051,-0.0187,-1.9%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-31,MIN,DET,Taj Bradley,Jackson Jobe,UNDER 0.5,-110,0.504,-0.0198,-2.0%,NO PLAY,False,Standard play,0.5
