bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,player_name,odds
MONEYLINE,2026-04-13,PHI,CHC,CHC,Cristopher Sánchez,Javier Assad,154.0,0.3937,0.5461,0.1524,15.2%,0.2514,HIGH,True,Underdog SP has better ERA; Strong value play,,,,,
MONEYLINE,2026-04-13,MIN,BOS,MIN,Bailey Ober,Garrett Crochet,140.0,0.4167,0.5683,0.1517,15.2%,0.26,HIGH,False,Facing elite SP; Strong value play; Home underdog,,,,,
MONEYLINE,2026-04-13,NYY,LAA,LAA,Will Warren,Yusei Kikuchi,163.0,0.3802,0.5267,0.1464,14.6%,0.2363,HIGH,False,Facing elite SP; Favorite on 5L skid; Strong value play,,,,,
MONEYLINE,2026-04-13,LAD,NYM,NYM,Justin Wrobleski,David Peterson,142.0,0.4132,0.5589,0.1457,14.6%,0.2482,HIGH,False,Underdog on 5L skid; Strong value play,,,,,
MONEYLINE,2026-04-13,PIT,WSH,WSH,Paul Skenes,Cade Cavalli,185.0,0.3509,0.3618,0.0109,1.1%,0.0168,NO PLAY,False,Underdog SP has better ERA,,,,,
MONEYLINE,2026-04-13,SEA,HOU,HOU,George Kirby,Mike Burrows,145.0,0.4082,0.4054,-0.0027,-0.3%,0.0,NO PLAY,False,Underdog on 7L skid; Favorite on 3L skid,,,,,
FULL GAME TOTAL,2026-04-13,SEA,HOU,,George Kirby,Mike Burrows,,,,0.2048,20.5%,,HIGH,True,Pitcher-friendly park favors UNDER; Strong value,UNDER,7.5,0.7048,,
FULL GAME TOTAL,2026-04-13,PIT,WSH,,Paul Skenes,Cade Cavalli,,,,0.141,14.1%,,LOW,False,"High-scoring teams, but line is inflated; Strong value",UNDER,7.5,0.641,,
FULL GAME TOTAL,2026-04-13,LAD,NYM,,Justin Wrobleski,David Peterson,,,,0.0974,9.7%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Strong value",UNDER,8.5,0.5974,,
FULL GAME TOTAL,2026-04-13,NYY,LAA,,Will Warren,Yusei Kikuchi,,,,0.0573,5.7%,,NO PLAY,False,Hitter-friendly park favors OVER,OVER,9.5,0.5573,,
FULL GAME TOTAL,2026-04-13,ATL,MIA,,Grant Holmes,Eury Pérez,,,,0.0379,3.8%,,NO PLAY,False,Standard play,UNDER,8.5,0.5379,,
FULL GAME TOTAL,2026-04-13,PHI,CHC,,Cristopher Sánchez,Javier Assad,,,,0.0217,2.2%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,8.0,0.5217,,
FULL GAME TOTAL,2026-04-13,STL,CLE,,Matthew Liberatore,Gavin Williams,,,,0.019,1.9%,,NO PLAY,False,Elite SP matchup,UNDER,8.0,0.519,,
FULL GAME TOTAL,2026-04-13,MIN,BOS,,Bailey Ober,Garrett Crochet,,,,0.0058,0.6%,,NO PLAY,False,Standard play,UNDER,7.5,0.5058,,
FULL GAME TOTAL,2026-04-13,BAL,ARI,,TBD,Ryne Nelson,,,,0.0024,0.2%,,NO PLAY,False,Standard play,OVER,8.5,0.5024,,
F5 TOTAL,2026-04-13,SEA,HOU,,George Kirby,Mike Burrows,,,,0.1164,11.6%,,NO PLAY,True,Pitcher-friendly park favors UNDER; Strong value,UNDER,4.1,0.6164,,
F5 TOTAL,2026-04-13,ATL,MIA,,Grant Holmes,Eury Pérez,,,,0.0819,8.2%,,NO PLAY,False,Strong value,UNDER,4.7,0.5819,,
F5 TOTAL,2026-04-13,PHI,CHC,,Cristopher Sánchez,Javier Assad,,,,0.0777,7.8%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,4.4,0.5777,,
F5 TOTAL,2026-04-13,LAD,NYM,,Justin Wrobleski,David Peterson,,,,0.0776,7.8%,,NO PLAY,False,"Weak pitching, but line already accounts for it",UNDER,4.7,0.5776,,
F5 TOTAL,2026-04-13,PIT,WSH,,Paul Skenes,Cade Cavalli,,,,0.0644,6.4%,,NO PLAY,False,"High-scoring teams, but line is inflated",UNDER,4.1,0.5644,,
