bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-04-20,COL,LAD,COL,Jose Quintana,Justin Wrobleski,215.0,0.3175,0.633,0.3156,31.6%,0.4623,HIGH,False,Facing elite SP; Strong value play; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-20,WSH,ATL,WSH,Jake Irvin,Bryce Elder,141.0,0.4149,0.7239,0.3089,30.9%,0.5281,HIGH,False,Facing elite SP; Favorite on 5L skid; Strong value play; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
RUN LINE,2026-04-20,WSH,ATL,WSH,Jake Irvin,Bryce Elder,141.0,0.495,,0.3788,37.9%,0.7502,HIGH,True,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued; Home underdog,WSH +1.5,102.0,0.8739,,
RUN LINE,2026-04-20,COL,LAD,COL,Jose Quintana,Justin Wrobleski,215.0,0.6296,,0.1534,15.3%,0.4142,HIGH,False,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued; Home underdog,COL +1.5,-170.0,0.783,,
FULL GAME TOTAL,2026-04-20,CLE,HOU,,Slade Cecconi,Spencer Arrighetti,,,,0.1354,13.5%,,LOW,True,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.6354,8.0,
FULL GAME TOTAL,2026-04-20,BOS,DET,,Sonny Gray,Jack Flaherty,,,,0.118,11.8%,,NO PLAY,False,Hitter-friendly park favors OVER; Strong value; Both teams travel-fatigued,OVER,,0.618,8.0,
FULL GAME TOTAL,2026-04-20,KC,BAL,,Seth Lugo,Kyle Bradish,,,,0.0893,8.9%,,NO PLAY,False,"Low-scoring teams, but line is set too low; Elite SPs, but line overreacts; Strong value; Both teams travel-fatigued",OVER,,0.5893,9.0,
FULL GAME TOTAL,2026-04-20,LAA,TOR,,Reid Detmers,Dylan Cease,,,,0.0497,5.0%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5497,7.5,
FULL GAME TOTAL,2026-04-20,COL,LAD,,Jose Quintana,Justin Wrobleski,,,,0.0488,4.9%,,NO PLAY,False,Hitter-friendly park favors OVER; Both teams travel-fatigued,OVER,,0.5488,11.5,
FULL GAME TOTAL,2026-04-20,MIA,STL,,Max Meyer,Michael McGreevy,,,,0.0409,4.1%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5409,8.5,
FULL GAME TOTAL,2026-04-20,CHC,PHI,,Colin Rea,Aaron Nola,,,,0.0379,3.8%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.5379,8.0,
FULL GAME TOTAL,2026-04-20,WSH,ATL,,Jake Irvin,Bryce Elder,,,,0.0082,0.8%,,NO PLAY,False,"High-scoring teams, but line is inflated; Elite SP matchup; Both teams travel-fatigued",UNDER,,0.5082,8.0,
FULL GAME TOTAL,2026-04-20,TB,CIN,,TBD,Rhett Lowder,,,,0.005,0.5%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.505,8.0,
F5 TOTAL,2026-04-20,WSH,ATL,,Jake Irvin,Bryce Elder,,,,0.1057,10.6%,,NO PLAY,True,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value; Both teams travel-fatigued",UNDER,,0.6057,4.4,
F5 TOTAL,2026-04-20,MIA,STL,,Max Meyer,Michael McGreevy,,,,0.0915,9.2%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.5915,4.7,
F5 TOTAL,2026-04-20,CLE,HOU,,Slade Cecconi,Spencer Arrighetti,,,,0.0707,7.1%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5707,4.4,
F5 TOTAL,2026-04-20,BOS,DET,,Sonny Gray,Jack Flaherty,,,,0.0649,6.5%,,NO PLAY,False,Hitter-friendly park favors OVER; Both teams travel-fatigued,OVER,,0.5649,4.4,
