bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,odds,player_name
MONEYLINE,2026-04-18,COL,LAD,COL,Ryan Feltner,Emmet Sheehan,240.0,0.2941,0.475,0.1809,18.1%,0.2562,HIGH,True,Favorite on 4L skid; Strong value play; Home underdog; Underdog is travel-fatigued,,,,,
MONEYLINE,2026-04-18,BOS,DET,BOS,Brayan Bello,Tarik Skubal,133.0,0.4292,0.5368,0.1076,10.8%,0.1885,HIGH,False,Facing elite SP; Strong value play; Home underdog; Favorite is travel-fatigued,,,,,
MONEYLINE,2026-04-18,PIT,TB,TB,Paul Skenes,Drew Rasmussen,135.0,0.4255,0.4991,0.0735,7.4%,0.128,MEDIUM,False,Underdog SP has better ERA; Good value; Favorite is travel-fatigued; Underdog is travel-fatigued,,,,,
MONEYLINE,2026-04-18,NYY,KC,KC,Will Warren,Noah Cameron,140.0,0.4167,0.3563,-0.0604,-6.0%,0.0,NO PLAY,False,Facing elite SP; Underdog on 5L skid; Favorite is travel-fatigued; Underdog is travel-fatigued,,,,,
FULL GAME TOTAL,2026-04-18,NYY,KC,,Will Warren,Noah Cameron,,,,0.0894,8.9%,,NO PLAY,True,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Strong value; Both teams travel-fatigued",OVER,8.0,0.5894,,
FULL GAME TOTAL,2026-04-18,PIT,TB,,Paul Skenes,Drew Rasmussen,,,,0.0829,8.3%,,NO PLAY,False,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,7.0,0.5829,,
FULL GAME TOTAL,2026-04-18,SEA,TEX,,George Kirby,Nathan Eovaldi,,,,0.0638,6.4%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,7.0,0.5638,,
FULL GAME TOTAL,2026-04-18,COL,LAD,,Ryan Feltner,Emmet Sheehan,,,,0.0571,5.7%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Weak pitching, but line already accounts for it; Home team travel-fatigued",UNDER,11.0,0.5571,,
FULL GAME TOTAL,2026-04-18,ARI,TOR,,Zac Gallen,Max Scherzer,,,,0.0487,4.9%,,NO PLAY,False,Hitter-friendly park favors OVER; Weak pitching matchup; Away team travel-fatigued,OVER,9.0,0.5487,,
FULL GAME TOTAL,2026-04-18,WSH,SF,,Cade Cavalli,Adrian Houser,,,,0.0429,4.3%,,NO PLAY,False,Both teams travel-fatigued,OVER,9.5,0.5429,,
