bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-04-22,COL,SD,COL,Tomoyuki Sugano,Walker Buehler,135.0,0.4255,0.5882,0.1626,16.3%,0.2831,HIGH,False,Underdog SP has better ERA; Favorite on 3L skid; Strong value play; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-22,ARI,CWS,CWS,Eduardo Rodriguez,Anthony Kay,130.0,0.4348,0.5877,0.1529,15.3%,0.2705,HIGH,False,Facing elite SP; Strong value play; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-22,SF,LAD,SF,Tyler Mahle,Shohei Ohtani,178.0,0.3597,0.5069,0.1472,14.7%,0.2299,HIGH,False,Facing elite SP; Strong value play; Home underdog; Favorite is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-22,NYM,MIN,MIN,Clay Holmes,Connor Prielipp,135.0,0.4255,0.5276,0.1021,10.2%,0.1778,HIGH,False,Facing elite SP; Favorite on 12L skid; Strong value play; FILTERED: Facing pitcher with ERA under 2.00,,,,,
MONEYLINE,2026-04-22,LAA,TOR,TOR,José Soriano,Eric Lauer,130.0,0.4348,0.4962,0.0614,6.1%,0.1087,MEDIUM,False,Facing elite SP; Favorite on 4L skid; Good value; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-22,CLE,HOU,HOU,Tanner Bibee,Peter Lambert,130.0,0.4348,0.4939,0.0592,5.9%,0.1047,MEDIUM,False,Good value; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-22,WSH,ATL,WSH,Zack Littell,Didier Fuentes,129.0,0.4367,0.4556,0.0189,1.9%,0.0335,NO PLAY,False,Facing elite SP; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-04-22,CHC,PHI,PHI,Matthew Boyd,Kyle Backhus,144.0,0.4098,0.3933,-0.0165,-1.6%,0.0,NO PLAY,False,Underdog SP has better ERA; Underdog on 7L skid; Favorite on 7L skid; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
RUN LINE,2026-04-22,COL,SD,COL,Tomoyuki Sugano,Walker Buehler,135.0,0.5238,,0.2143,21.4%,0.4501,HIGH,True,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued; Home underdog,COL +1.5,-110.0,0.7382,,
RUN LINE,2026-04-22,ARI,CWS,CWS,Eduardo Rodriguez,Anthony Kay,130.0,0.6078,,0.1298,13.0%,0.3311,HIGH,False,Strong ML probability boosts +1.5 cover; Strong value on run line,CWS +1.5,-155.0,0.7377,,
RUN LINE,2026-04-22,WSH,ATL,WSH,Zack Littell,Didier Fuentes,129.0,0.4785,,0.1271,12.7%,0.2437,HIGH,False,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued; Home underdog,WSH +1.5,109.0,0.6056,,
RUN LINE,2026-04-22,SF,LAD,SF,Tyler Mahle,Shohei Ohtani,178.0,0.5575,,0.0994,9.9%,0.2246,MEDIUM,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued; Home underdog,SF +1.5,-126.0,0.6569,,
RUN LINE,2026-04-22,NYM,MIN,MIN,Clay Holmes,Connor Prielipp,135.0,0.6154,,0.0623,6.2%,0.1619,LOW,False,Strong ML probability boosts +1.5 cover,MIN +1.5,-160.0,0.6776,,
RUN LINE,2026-04-22,LAA,TOR,TOR,José Soriano,Eric Lauer,130.0,0.6226,,0.0236,2.4%,0.0625,NO PLAY,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued,TOR +1.5,-165.0,0.6462,,
RUN LINE,2026-04-22,CLE,HOU,HOU,Tanner Bibee,Peter Lambert,130.0,0.6226,,0.0213,2.1%,0.0564,NO PLAY,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued,HOU +1.5,-165.0,0.6439,,
RUN LINE,2026-04-22,CHC,PHI,PHI,Matthew Boyd,Kyle Backhus,144.0,0.5984,,-0.0551,-5.5%,0.0,NO PLAY,False,Favorite is travel-fatigued,PHI +1.5,-149.0,0.5433,,
FULL GAME TOTAL,2026-04-22,SF,LAD,,Tyler Mahle,Shohei Ohtani,,,,0.197,19.7%,,HIGH,True,Pitcher-friendly park favors UNDER; Strong value; Away team travel-fatigued,UNDER,,0.697,7.5,
FULL GAME TOTAL,2026-04-22,WSH,ATL,,Zack Littell,Didier Fuentes,,,,0.1501,15.0%,,MEDIUM,False,"High-scoring teams, but line is inflated; Strong value; Both teams travel-fatigued",UNDER,,0.6501,9.0,
FULL GAME TOTAL,2026-04-22,CLE,HOU,,Tanner Bibee,Peter Lambert,,,,0.1341,13.4%,,LOW,False,"Weak pitching, but line already accounts for it; Strong value; Both teams travel-fatigued",UNDER,,0.6341,8.0,
FULL GAME TOTAL,2026-04-22,COL,SD,,Tomoyuki Sugano,Walker Buehler,,,,0.1278,12.8%,,LOW,False,Hitter-friendly park favors OVER; Strong value; Both teams travel-fatigued,OVER,,0.6278,12.0,
FULL GAME TOTAL,2026-04-22,BOS,NYY,,Ranger Suarez,Max Fried,,,,0.0787,7.9%,,NO PLAY,False,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Home team travel-fatigued",OVER,,0.5787,7.5,
FULL GAME TOTAL,2026-04-22,TEX,PIT,,Jack Leiter,Braxton Ashcraft,,,,0.0773,7.7%,,NO PLAY,False,Standard play,UNDER,,0.5773,8.0,
FULL GAME TOTAL,2026-04-22,MIA,STL,,Janson Junk,Kyle Leahy,,,,0.0743,7.4%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,,0.5743,8.0,
FULL GAME TOTAL,2026-04-22,NYM,MIN,,Clay Holmes,Connor Prielipp,,,,0.0597,6.0%,,NO PLAY,False,Elite SP matchup,UNDER,,0.5597,7.5,
FULL GAME TOTAL,2026-04-22,TB,CIN,,Nick Martinez,Brandon Williamson,,,,0.049,4.9%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.549,8.5,
FULL GAME TOTAL,2026-04-22,ARI,CWS,,Eduardo Rodriguez,Anthony Kay,,,,0.0313,3.1%,,NO PLAY,False,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Away team travel-fatigued",OVER,,0.5313,9.0,
FULL GAME TOTAL,2026-04-22,KC,BAL,,Michael Wacha,Chris Bassitt,,,,0.0178,1.8%,,NO PLAY,False,Both teams travel-fatigued,OVER,,0.5178,9.5,
FULL GAME TOTAL,2026-04-22,LAA,TOR,,José Soriano,Eric Lauer,,,,0.014,1.4%,,NO PLAY,False,Both teams travel-fatigued,UNDER,,0.514,8.0,
FULL GAME TOTAL,2026-04-22,DET,MIL,,Casey Mize,Chad Patrick,,,,0.0083,0.8%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5083,8.0,
FULL GAME TOTAL,2026-04-22,CHC,PHI,,Matthew Boyd,Kyle Backhus,,,,0.0002,0.0%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,,0.5002,8.0,
F5 TOTAL,2026-04-22,SF,LAD,,Tyler Mahle,Shohei Ohtani,,,,0.1157,11.6%,,NO PLAY,True,Pitcher-friendly park favors UNDER; Strong value; Away team travel-fatigued,UNDER,,0.6157,4.1,
F5 TOTAL,2026-04-22,WSH,ATL,,Zack Littell,Didier Fuentes,,,,0.1153,11.5%,,NO PLAY,False,"High-scoring teams, but line is inflated; Strong value; Both teams travel-fatigued",UNDER,,0.6153,5.0,
F5 TOTAL,2026-04-22,CLE,HOU,,Tanner Bibee,Peter Lambert,,,,0.0995,10.0%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Strong value; Both teams travel-fatigued",UNDER,,0.5995,4.4,
F5 TOTAL,2026-04-22,DET,MIL,,Casey Mize,Chad Patrick,,,,0.0929,9.3%,,NO PLAY,False,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.5929,4.4,
F5 TOTAL,2026-04-22,NYM,MIN,,Clay Holmes,Connor Prielipp,,,,0.0902,9.0%,,NO PLAY,False,Elite SP matchup; Strong value,UNDER,,0.5902,4.1,
F5 TOTAL,2026-04-22,MIA,STL,,Janson Junk,Kyle Leahy,,,,0.0773,7.7%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,,0.5773,4.4,
F5 TOTAL,2026-04-22,TEX,PIT,,Jack Leiter,Braxton Ashcraft,,,,0.0715,7.2%,,NO PLAY,False,Standard play,UNDER,,0.5715,4.4,
F5 TOTAL,2026-04-22,COL,SD,,Tomoyuki Sugano,Walker Buehler,,,,0.0651,6.5%,,NO PLAY,False,Hitter-friendly park favors OVER; Both teams travel-fatigued,OVER,,0.5651,6.6,
F5 TOTAL,2026-04-22,CHC,PHI,,Matthew Boyd,Kyle Backhus,,,,0.0605,6.0%,,NO PLAY,False,Weak pitching matchup; Both teams travel-fatigued,OVER,,0.5605,4.4,
F5 TOTAL,2026-04-22,ARI,CWS,,Eduardo Rodriguez,Anthony Kay,,,,0.0566,5.7%,,NO PLAY,False,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Away team travel-fatigued",OVER,,0.5566,5.0,
