bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,odds,player_name
F5 TOTAL,2026-04-14,MIL,TOR,,Jacob Misiorowski,Kevin Gausman,,,,0.0294,2.9%,,NO PLAY,False,Elite SP matchup,UNDER,3.9,0.5294,,
F5 TOTAL,2026-04-14,MIN,BOS,,Mick Abel,Sonny Gray,,,,0.0167,1.7%,,NO PLAY,False,Standard play,UNDER,4.4,0.5167,,
F5 TOTAL,2026-04-14,STL,CLE,,Michael McGreevy,Joey Cantillo,,,,0.0102,1.0%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,4.7,0.5102,,
F5 TOTAL,2026-04-14,CWS,TB,,Noah Schultz,Shane McClanahan,,,,0.009,0.9%,,NO PLAY,False,Standard play,OVER,4.1,0.509,,
F5 TOTAL,2026-04-14,BAL,ARI,,Trevor Rogers,Merrill Kelly,,,,0.0084,0.8%,,NO PLAY,False,Elite SP matchup,UNDER,5.0,0.5084,,
F5 TOTAL,2026-04-14,PHI,CHC,,Aaron Nola,Riley Martin,,,,0.0052,0.5%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,5.2,0.5052,,
1ST INN ML,2026-04-14,LAD,NYM,,Yoshinobu Yamamoto,Nolan McLean,,,,0.1665,16.7%,,HIGH,True,Elite pitching matchup; Strong value,NYM,,0.6013,130.0,
1ST INN ML,2026-04-14,OAK,TEX,,Jeffrey Springs,MacKenzie Gore,,,,0.0884,8.8%,,LOW,True,Elite pitching matchup,TEX,,0.6122,-110.0,
1ST INN ML,2026-04-14,BAL,ARI,,Trevor Rogers,Merrill Kelly,,,,0.0819,8.2%,,LOW,False,Elite pitching matchup,ARI,,0.5365,120.0,
1ST INN ML,2026-04-14,PHI,CHC,,Aaron Nola,Riley Martin,,,,0.0743,7.4%,,NO PLAY,False,Elite pitching matchup,CHC,,0.5394,115.0,
1ST INN ML,2026-04-14,MIL,TOR,,Jacob Misiorowski,Kevin Gausman,,,,0.0544,5.4%,,NO PLAY,False,Elite pitching matchup,TOR,,0.5783,-110.0,
1ST INN ML,2026-04-14,STL,CLE,,Michael McGreevy,Joey Cantillo,,,,0.0407,4.1%,,NO PLAY,False,Elite pitching matchup,CLE,,0.5962,-125.0,
1ST INN ML,2026-04-14,ATL,MIA,,Reynaldo López,Max Meyer,,,,0.0296,3.0%,,NO PLAY,False,Elite pitching matchup,MIA,,0.4947,115.0,
1ST INN ML,2026-04-14,SD,SEA,,Michael King,Bryan Woo,,,,0.0135,1.4%,,NO PLAY,False,Elite pitching matchup,SEA,,0.5484,-115.0,
1ST INN ML,2026-04-14,HOU,COL,,Colton Gordon,TBD,,,,0.0034,0.3%,,NO PLAY,False,Standard play,HOU,,0.5272,-110.0,
1ST INN ML,2026-04-14,PIT,WSH,,Mitch Keller,Miles Mikolas,,,,-0.0063,-0.6%,,NO PLAY,False,Standard play,WSH,,0.4019,145.0,
1ST INN ML,2026-04-14,MIN,BOS,,Mick Abel,Sonny Gray,,,,-0.011,-1.1%,,NO PLAY,False,Standard play,BOS,,0.5445,-125.0,
1ST INN ML,2026-04-14,NYY,LAA,,Ryan Weathers,Reid Detmers,,,,-0.0122,-1.2%,,NO PLAY,False,Standard play,LAA,,0.4423,120.0,
1ST INN ML,2026-04-14,CIN,SF,,Brady Singer,Robbie Ray,,,,-0.0143,-1.4%,,NO PLAY,False,Standard play,CIN,,0.4979,-105.0,
1ST INN ML,2026-04-14,DET,KC,,Framber Valdez,Cole Ragans,,,,-0.0165,-1.6%,,NO PLAY,False,Standard play,KC,,0.4835,100.0,
1ST INN ML,2026-04-14,CWS,TB,,Noah Schultz,Shane McClanahan,,,,-0.0232,-2.3%,,NO PLAY,False,Standard play,TB,,0.542,-130.0,
1ST INN TOTAL,2026-04-14,LAD,NYM,,Yoshinobu Yamamoto,Nolan McLean,,,,0.1198,12.0%,,LOW,True,Strong value,OVER 0.5,0.5,0.5849,115.0,
1ST INN TOTAL,2026-04-14,STL,CLE,,Michael McGreevy,Joey Cantillo,,,,0.0633,6.3%,,NO PLAY,False,Standard play,OVER 0.5,0.5,0.5871,-110.0,
1ST INN TOTAL,2026-04-14,DET,KC,,Framber Valdez,Cole Ragans,,,,0.0405,4.1%,,NO PLAY,False,Standard play,OVER 0.5,0.5,0.5057,115.0,
1ST INN TOTAL,2026-04-14,ATL,MIA,,Reynaldo López,Max Meyer,,,,0.0379,3.8%,,NO PLAY,False,Standard play,OVER 0.5,0.5,0.564,-111.0,
1ST INN TOTAL,2026-04-14,PHI,CHC,,Aaron Nola,Riley Martin,,,,0.0215,2.1%,,NO PLAY,False,Elite SPs keep 1st clean,UNDER 0.5,0.5,0.543,-109.0,
1ST INN TOTAL,2026-04-14,BAL,ARI,,Trevor Rogers,Merrill Kelly,,,,0.0185,1.9%,,NO PLAY,False,Standard play,OVER 0.5,0.5,0.564,-120.0,
1ST INN TOTAL,2026-04-14,OAK,TEX,,Jeffrey Springs,MacKenzie Gore,,,,0.0158,1.6%,,NO PLAY,False,Standard play,OVER 0.5,0.5,0.5397,-110.0,
1ST INN TOTAL,2026-04-14,NYY,LAA,,Ryan Weathers,Reid Detmers,,,,0.0053,0.5%,,NO PLAY,False,Standard play,UNDER 0.5,0.5,0.5291,-110.0,
1ST INN TOTAL,2026-04-14,PIT,WSH,,Mitch Keller,Miles Mikolas,,,,-0.0047,-0.5%,,NO PLAY,False,Standard play,UNDER 0.5,0.5,0.5075,-105.0,
1ST INN TOTAL,2026-04-14,CIN,SF,,Brady Singer,Robbie Ray,,,,-0.0168,-1.7%,,NO PLAY,False,Standard play,UNDER 0.5,0.5,0.5387,-125.0,
1ST INN TOTAL,2026-04-14,HOU,COL,,Colton Gordon,TBD,,,,-0.0331,-3.3%,,NO PLAY,False,Standard play,UNDER 0.5,0.5,0.5018,-115.0,
1ST INN TOTAL,2026-04-14,MIN,BOS,,Mick Abel,Sonny Gray,,,,-0.0483,-4.8%,,NO PLAY,False,Standard play,UNDER 0.5,0.5,0.5112,-127.0,
1ST INN TOTAL,2026-04-14,CWS,TB,,Noah Schultz,Shane McClanahan,,,,-0.063,-6.3%,,NO PLAY,False,Standard play,UNDER 0.5,0.5,0.5288,-145.0,
1ST INN TOTAL,2026-04-14,SD,SEA,,Michael King,Bryan Woo,,,,-0.0907,-9.1%,,NO PLAY,False,Elite SPs keep 1st clean,UNDER 0.5,0.5,0.5011,-145.0,
1ST INN TOTAL,2026-04-14,MIL,TOR,,Jacob Misiorowski,Kevin Gausman,,,,-0.1028,-10.3%,,NO PLAY,False,Elite SPs keep 1st clean,UNDER 0.5,0.5,0.5066,-156.0,
PITCHER K,2026-04-14,MIL,TOR,,,,,,,0.3603,36.0%,,HIGH,True,Strong value,UNDER 6.5 Ks,6.5,0.8603,-107.0,Jacob Misiorowski
PITCHER K,2026-04-14,SD,SEA,,,,,,,0.1976,19.8%,,HIGH,True,Strong value,UNDER 5.5 Ks,5.5,0.6976,104.0,Bryan Woo
PITCHER K,2026-04-14,STL,CLE,,,,,,,0.1866,18.7%,,HIGH,False,Strong value,UNDER 5.5 Ks,5.5,0.6866,-149.0,Joey Cantillo
PITCHER K,2026-04-14,OAK,TEX,,,,,,,0.1767,17.7%,,HIGH,False,Facing high-K team; Strong value,OVER 3.7 Ks,3.7,0.6767,-110.0,Jeffrey Springs
PITCHER K,2026-04-14,MIL,TOR,,,,,,,0.1658,16.6%,,HIGH,False,Strong value,UNDER 6.5 Ks,6.5,0.6658,-154.0,Kevin Gausman
PITCHER K,2026-04-14,LAD,NYM,,,,,,,0.1605,16.1%,,HIGH,False,Strong value,UNDER 5.5 Ks,5.5,0.6605,-104.0,Nolan McLean
PITCHER K,2026-04-14,MIN,BOS,,,,,,,0.1508,15.1%,,HIGH,False,Facing high-K team; Strong value,OVER 4.5 Ks,4.5,0.6508,-145.0,Mick Abel
PITCHER K,2026-04-14,BAL,ARI,,,,,,,0.1504,15.0%,,HIGH,False,Facing high-K team; Strong value,OVER 4.7 Ks,4.7,0.6504,-110.0,Merrill Kelly
PITCHER K,2026-04-14,ATL,MIA,,,,,,,0.1496,15.0%,,HIGH,False,Strong value,UNDER 4.5 Ks,4.5,0.6496,-125.0,Max Meyer
PITCHER K,2026-04-14,PIT,WSH,,,,,,,0.1414,14.1%,,HIGH,False,Low K average; Strong value,UNDER 4.5 Ks,4.5,0.6414,-157.0,Mitch Keller
PITCHER K,2026-04-14,NYY,LAA,,,,,,,0.1293,12.9%,,HIGH,False,Facing high-K team; Strong value,OVER 5.5 Ks,5.5,0.6293,-135.0,Ryan Weathers
PITCHER K,2026-04-14,STL,CLE,,,,,,,0.1235,12.4%,,HIGH,False,Low K average; Strong value,UNDER 2.5 Ks,2.5,0.6235,124.0,Michael McGreevy
PITCHER K,2026-04-14,CIN,SF,,,,,,,0.1222,12.2%,,HIGH,False,Strong value,UNDER 4.5 Ks,4.5,0.6222,-115.0,Brady Singer
PITCHER K,2026-04-14,LAD,NYM,,,,,,,0.116,11.6%,,MEDIUM,False,Strong value,UNDER 6.5 Ks,6.5,0.616,-120.0,Yoshinobu Yamamoto
PITCHER K,2026-04-14,HOU,COL,,,,,,,0.1009,10.1%,,MEDIUM,False,Facing high-K team; Strong value,OVER 4.5 Ks,4.5,0.6009,-108.0,Colton Gordon
PITCHER K,2026-04-14,OAK,TEX,,,,,,,0.0934,9.3%,,LOW,False,Facing high-K team,OVER 5.9 Ks,5.9,0.5934,-110.0,MacKenzie Gore
PITCHER K,2026-04-14,DET,KC,,,,,,,0.0888,8.9%,,LOW,False,Standard play,UNDER 6.5 Ks,6.5,0.5888,105.0,Cole Ragans
PITCHER K,2026-04-14,SD,SEA,,,,,,,0.0842,8.4%,,LOW,False,Facing high-K team,OVER 5.5 Ks,5.5,0.5842,-105.0,Michael King
PITCHER K,2026-04-14,DET,KC,,,,,,,0.0771,7.7%,,NO PLAY,False,Standard play,UNDER 4.5 Ks,4.5,0.5771,100.0,Framber Valdez
PITCHER K,2026-04-14,PHI,CHC,,,,,,,0.0718,7.2%,,NO PLAY,False,Facing high-K team,OVER 5.5 Ks,5.5,0.5718,-111.0,Aaron Nola
PITCHER K,2026-04-14,CIN,SF,,,,,,,0.0291,2.9%,,NO PLAY,False,Facing high-K team,OVER 6.5 Ks,6.5,0.5291,-106.0,Robbie Ray
PITCHER K,2026-04-14,BAL,ARI,,,,,,,0.0138,1.4%,,NO PLAY,False,Facing high-K team,OVER 4.5 Ks,4.5,0.5138,-111.0,Trevor Rogers
PITCHER K,2026-04-14,PIT,WSH,,,,,,,0.0128,1.3%,,NO PLAY,False,Low K average,UNDER 3.5 Ks,3.5,0.5128,-116.0,Miles Mikolas
PITCHER K,2026-04-14,MIN,BOS,,,,,,,0.0024,0.2%,,NO PLAY,False,Facing high-K team,OVER 5.5 Ks,5.5,0.5024,-143.0,Sonny Gray
BATTER HITS,2026-04-14,CIN,SF,,,,,,,0.3596,36.0%,,HIGH,True,Strong value,OVER 0.5 hits,0.5,0.8596,-159.0,TJ Friedl
BATTER HITS,2026-04-14,LAD,NYM,,,,,,,0.3529,35.3%,,HIGH,True,Cold streak; Strong value,UNDER 0.5 hits,0.5,0.8529,137.0,Andy Pages
BATTER HITS,2026-04-14,ATL,MIA,,,,,,,0.3524,35.2%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.8524,167.0,Matt Olson
BATTER HITS,2026-04-14,PIT,WSH,,,,,,,0.3339,33.4%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.8339,-245.0,Oneil Cruz
BATTER HITS,2026-04-14,PHI,CHC,,,,,,,0.3161,31.6%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.8161,-208.0,Michael Busch
BATTER HITS,2026-04-14,STL,CLE,,,,,,,0.3073,30.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.8073,-167.0,Brayan Rocchio
BATTER HITS,2026-04-14,PIT,WSH,,,,,,,0.3012,30.1%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.8012,185.0,CJ Abrams
BATTER HITS,2026-04-14,ATL,MIA,,,,,,,0.3001,30.0%,,HIGH,False,Cold streak; Strong value,UNDER 1.5 hits,1.5,0.8001,-256.0,Xavier Edwards
BATTER HITS,2026-04-14,BAL,ARI,,,,,,,0.2972,29.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7972,-227.0,Geraldo Perdomo
BATTER HITS,2026-04-14,MIN,BOS,,,,,,,0.2922,29.2%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7922,160.0,Wilyer Abreu
BATTER HITS,2026-04-14,LAD,NYM,,,,,,,0.2915,29.1%,,HIGH,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.7915,-110.0,Alex Freeland
BATTER HITS,2026-04-14,PIT,WSH,,,,,,,0.287,28.7%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.787,182.0,James Wood
BATTER HITS,2026-04-14,SD,SEA,,,,,,,0.2706,27.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7706,-116.0,Jake Cronenworth
BATTER HITS,2026-04-14,MIN,BOS,,,,,,,0.2641,26.4%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7641,142.0,Ceddanne Rafaela
BATTER HITS,2026-04-14,DET,KC,,,,,,,0.2618,26.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7618,-185.0,Lane Thomas
BATTER HITS,2026-04-14,STL,CLE,,,,,,,0.261,26.1%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.761,163.0,Jordan Walker
BATTER HITS,2026-04-14,SD,SEA,,,,,,,0.2559,25.6%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7559,-147.0,Cal Raleigh
BATTER HITS,2026-04-14,ATL,MIA,,,,,,,0.253,25.3%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.753,140.0,Mauricio Dubon
BATTER HITS,2026-04-14,BAL,ARI,,,,,,,0.2434,24.3%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7434,130.0,Jeremiah Jackson
BATTER HITS,2026-04-14,ATL,MIA,,,,,,,0.242,24.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.742,-204.0,Jakob Marsee
BATTER HITS,2026-04-14,DET,KC,,,,,,,0.2386,23.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7386,-130.0,Kyle Isbel
BATTER HITS,2026-04-14,MIL,TOR,,,,,,,0.2367,23.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7367,-110.0,David Hamilton
BATTER HITS,2026-04-14,CIN,SF,,,,,,,0.2364,23.6%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7364,-222.0,Jung Hoo Lee
BATTER HITS,2026-04-14,MIN,BOS,,,,,,,0.2364,23.6%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7364,150.0,Willson Contreras
BATTER HITS,2026-04-14,BAL,ARI,,,,,,,0.2319,23.2%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7319,150.0,Taylor Ward
BATTER HITS,2026-04-14,SD,SEA,,,,,,,0.2315,23.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7315,-196.0,Josh Naylor
BATTER HITS,2026-04-14,MIN,BOS,,,,,,,0.2311,23.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7311,-227.0,Caleb Durbin
BATTER HITS,2026-04-14,SD,SEA,,,,,,,0.2306,23.1%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7306,122.0,Miguel Andujar
BATTER HITS,2026-04-14,STL,CLE,,,,,,,0.2302,23.0%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7302,-200.0,Ivan Herrera
BATTER HITS,2026-04-14,CWS,TB,,,,,,,0.2301,23.0%,,HIGH,False,Cold streak; Strong value,UNDER 1.5 hits,1.5,0.7301,-244.0,Yandy Diaz
BATTER HITS,2026-04-14,HOU,COL,,,,,,,0.2288,22.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7288,-165.0,Kyle Karros
BATTER HITS,2026-04-14,CIN,SF,,,,,,,0.2258,22.6%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7258,159.0,Elly De La Cruz
BATTER HITS,2026-04-14,CIN,SF,,,,,,,0.221,22.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.721,-169.0,Harrison Bader
BATTER HITS,2026-04-14,BAL,ARI,,,,,,,0.2207,22.1%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7207,155.0,Ildemaro Vargas
BATTER HITS,2026-04-14,PIT,WSH,,,,,,,0.2168,21.7%,,HIGH,False,Cold streak; Strong value,UNDER 1.5 hits,1.5,0.7168,-256.0,Ryan O'Hearn
BATTER HITS,2026-04-14,PHI,CHC,,,,,,,0.2158,21.6%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7158,154.0,Brandon Marsh
BATTER HITS,2026-04-14,NYY,LAA,,,,,,,0.2128,21.3%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7128,155.0,Jo Adell
BATTER HITS,2026-04-14,CIN,SF,,,,,,,0.2125,21.2%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7125,173.0,Casey Schmitt
BATTER HITS,2026-04-14,HOU,COL,,,,,,,0.2125,21.2%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.7125,-250.0,Yordan Alvarez
BATTER HITS,2026-04-14,MIN,BOS,,,,,,,0.2124,21.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7124,-156.0,Marcelo Mayer
BATTER HITS,2026-04-14,HOU,COL,,,,,,,0.2123,21.2%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7123,165.0,Carlos Correa
BATTER HITS,2026-04-14,DET,KC,,,,,,,0.2111,21.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7111,-145.0,Spencer Torkelson
BATTER HITS,2026-04-14,ATL,MIA,,,,,,,0.2095,21.0%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7095,190.0,Otto Lopez
BATTER HITS,2026-04-14,MIN,BOS,,,,,,,0.2061,20.6%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7061,135.0,Ryan Jeffers
BATTER HITS,2026-04-14,LAD,NYM,,,,,,,0.2044,20.4%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7044,-123.0,Mark Vientos
BATTER HITS,2026-04-14,MIL,TOR,,,,,,,0.202,20.2%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.702,-238.0,Ernie Clement
BATTER HITS,2026-04-14,DET,KC,,,,,,,0.2017,20.2%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7017,118.0,Javier Baez
BATTER HITS,2026-04-14,CIN,SF,,,,,,,0.1993,19.9%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.6993,-190.0,Luis Arraez
BATTER HITS,2026-04-14,ATL,MIA,,,,,,,0.199,19.9%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.699,155.0,Ozzie Albies
BATTER HITS,2026-04-14,NYY,LAA,,,,,,,0.1972,19.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6972,-118.0,Bryce Teodosio
BATTER HITS,2026-04-14,CWS,TB,,,,,,,0.1941,19.4%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6941,-127.0,Derek Hill
BATTER HITS,2026-04-14,CIN,SF,,,,,,,0.1938,19.4%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6938,170.0,Matt Chapman
BATTER HITS,2026-04-14,BAL,ARI,,,,,,,0.1931,19.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6931,-150.0,Tim Tawa
BATTER HITS,2026-04-14,ATL,MIA,,,,,,,0.1925,19.2%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6925,190.0,Drake Baldwin
BATTER HITS,2026-04-14,DET,KC,,,,,,,0.1921,19.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6921,-195.0,Vinnie Pasquantino
BATTER HITS,2026-04-14,NYY,LAA,,,,,,,0.1909,19.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6909,-141.0,Randal Grichuk
BATTER HITS,2026-04-14,DET,KC,,,,,,,0.1899,19.0%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.6899,-250.0,Maikel Garcia
BATTER HITS,2026-04-14,CWS,TB,,,,,,,0.1879,18.8%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6879,-149.0,Luisangel Acuna
BATTER HITS,2026-04-14,ATL,MIA,,,,,,,0.187,18.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.687,-151.0,Mike Yastrzemski
BATTER HITS,2026-04-14,PHI,CHC,,,,,,,0.1842,18.4%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6842,-161.0,Dansby Swanson
BATTER HITS,2026-04-14,SD,SEA,,,,,,,0.1833,18.3%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6833,-110.0,Luke Raley
BATTER HITS,2026-04-14,PHI,CHC,,,,,,,0.1825,18.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6825,-213.0,Pete Crow-Armstrong
BATTER HITS,2026-04-14,BAL,ARI,,,,,,,0.1822,18.2%,,HIGH,False,Strong value,OVER 1.5 hits,1.5,0.6822,185.0,Ketel Marte
BATTER HITS,2026-04-14,DET,KC,,,,,,,0.1821,18.2%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6821,144.0,Kevin McGonigle
BATTER HITS,2026-04-14,PIT,WSH,,,,,,,0.1817,18.2%,,HIGH,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.6817,-185.0,Henry Davis
BATTER HITS,2026-04-14,STL,CLE,,,,,,,0.1811,18.1%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6811,139.0,Angel Martinez
