bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,odds,player_name
MONEYLINE,2026-04-14,LAD,NYM,NYM,Yoshinobu Yamamoto,Nolan McLean,170.0,0.3704,0.5202,0.1498,15.0%,0.2379,HIGH,True,Facing elite SP; Underdog on 6L skid; Strong value play,,,,,
MONEYLINE,2026-04-14,HOU,COL,COL,Colton Gordon,TBD,159.0,0.3861,0.4799,0.0938,9.4%,0.1527,MEDIUM,False,Underdog on 4L skid; Favorite on 8L skid; Strong value play,,,,,
MONEYLINE,2026-04-14,PIT,WSH,WSH,Mitch Keller,Miles Mikolas,155.0,0.3922,0.472,0.0798,8.0%,0.1313,MEDIUM,False,Facing elite SP; Good value,,,,,
MONEYLINE,2026-04-14,NYY,LAA,LAA,Ryan Weathers,Reid Detmers,152.0,0.3968,0.4284,0.0315,3.2%,0.0523,NO PLAY,False,Facing elite SP,,,,,
MONEYLINE,2026-04-14,ATL,MIA,MIA,Reynaldo López,Max Meyer,136.0,0.4237,0.3994,-0.0244,-2.4%,0.0,NO PLAY,False,Facing elite SP,,,,,
FULL GAME TOTAL,2026-04-14,PIT,WSH,,Mitch Keller,Miles Mikolas,,,,0.2252,22.5%,,HIGH,True,"High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Strong value",UNDER,9.5,0.7252,,
FULL GAME TOTAL,2026-04-14,ATL,MIA,,Reynaldo López,Max Meyer,,,,0.1974,19.7%,,HIGH,False,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value",UNDER,8.5,0.6974,,
FULL GAME TOTAL,2026-04-14,CIN,SF,,Brady Singer,Robbie Ray,,,,0.1412,14.1%,,LOW,False,"Hitter-friendly park favors OVER; Low-scoring teams, but line is set too low; Strong value",OVER,9.0,0.6412,,
FULL GAME TOTAL,2026-04-14,CWS,TB,,Noah Schultz,Shane McClanahan,,,,0.1324,13.2%,,LOW,False,Strong value,OVER,7.5,0.6324,,
FULL GAME TOTAL,2026-04-14,BAL,ARI,,Trevor Rogers,Merrill Kelly,,,,0.0626,6.3%,,NO PLAY,False,Elite SP matchup,UNDER,9.0,0.5626,,
FULL GAME TOTAL,2026-04-14,LAD,NYM,,Yoshinobu Yamamoto,Nolan McLean,,,,0.0622,6.2%,,NO PLAY,False,Elite SP matchup,UNDER,7.5,0.5622,,
FULL GAME TOTAL,2026-04-14,MIL,TOR,,Jacob Misiorowski,Kevin Gausman,,,,0.0608,6.1%,,NO PLAY,False,Elite SP matchup,UNDER,7.0,0.5608,,
FULL GAME TOTAL,2026-04-14,STL,CLE,,Michael McGreevy,Joey Cantillo,,,,0.0532,5.3%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,8.5,0.5532,,
FULL GAME TOTAL,2026-04-14,NYY,LAA,,Ryan Weathers,Reid Detmers,,,,0.0478,4.8%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER",UNDER,8.5,0.5478,,
FULL GAME TOTAL,2026-04-14,MIN,BOS,,Mick Abel,Sonny Gray,,,,0.0331,3.3%,,NO PLAY,False,Standard play,UNDER,8.0,0.5331,,
FULL GAME TOTAL,2026-04-14,HOU,COL,,Colton Gordon,TBD,,,,0.0306,3.1%,,NO PLAY,False,Standard play,UNDER,8.5,0.5306,,
FULL GAME TOTAL,2026-04-14,PHI,CHC,,Aaron Nola,Riley Martin,,,,0.0085,0.9%,,NO PLAY,False,Elite SP matchup,UNDER,9.5,0.5085,,
FULL GAME TOTAL,2026-04-14,DET,KC,,Framber Valdez,Cole Ragans,,,,0.0041,0.4%,,NO PLAY,False,Weak pitching matchup,OVER,7.5,0.5041,,
FULL GAME TOTAL,2026-04-14,SD,SEA,,Michael King,Bryan Woo,,,,0.004,0.4%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup,UNDER,7.0,0.504,,
F5 TOTAL,2026-04-14,CIN,SF,,Brady Singer,Robbie Ray,,,,0.2041,20.4%,,HIGH,True,"Hitter-friendly park favors OVER; Low-scoring teams, but line is set too low; Strong value",OVER,5.0,0.7041,,
F5 TOTAL,2026-04-14,PIT,WSH,,Mitch Keller,Miles Mikolas,,,,0.1735,17.3%,,MEDIUM,False,"High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Strong value",UNDER,5.2,0.6735,,
F5 TOTAL,2026-04-14,ATL,MIA,,Reynaldo López,Max Meyer,,,,0.1381,13.8%,,LOW,False,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value",UNDER,4.7,0.6381,,
F5 TOTAL,2026-04-14,SD,SEA,,Michael King,Bryan Woo,,,,0.1,10.0%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup; Strong value,UNDER,3.9,0.6,,
F5 TOTAL,2026-04-14,LAD,NYM,,Yoshinobu Yamamoto,Nolan McLean,,,,0.087,8.7%,,NO PLAY,False,Elite SP matchup; Strong value,UNDER,4.1,0.587,,
F5 TOTAL,2026-04-14,DET,KC,,Framber Valdez,Cole Ragans,,,,0.0847,8.5%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Strong value",UNDER,4.1,0.5847,,
F5 TOTAL,2026-04-14,HOU,COL,,Colton Gordon,TBD,,,,0.0847,8.5%,,NO PLAY,False,Strong value,UNDER,4.7,0.5847,,
F5 TOTAL,2026-04-14,NYY,LAA,,Ryan Weathers,Reid Detmers,,,,0.0588,5.9%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER",UNDER,4.7,0.5588,,
