bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,odds,player_name
MONEYLINE,2026-04-17,WSH,SF,WSH,Zack Littell,Logan Webb,134.0,0.4274,0.4913,0.0639,6.4%,0.1116,MEDIUM,True,Underdog SP has better ERA; Good value; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued,,,,,
MONEYLINE,2026-04-17,CHC,NYM,NYM,Edward Cabrera,Kodai Senga,135.0,0.4255,0.4789,0.0534,5.3%,0.0929,MEDIUM,False,Facing elite SP; Underdog on 8L skid; Good value; Favorite is travel-fatigued; Underdog is travel-fatigued; Underdog traveled cross-country,,,,,
MONEYLINE,2026-04-17,NYY,KC,KC,Cam Schlittler,Michael Wacha,153.0,0.3953,0.4485,0.0532,5.3%,0.088,MEDIUM,False,Underdog SP has better ERA; Underdog on 4L skid; Good value; Favorite is travel-fatigued; Underdog is travel-fatigued,,,,,
MONEYLINE,2026-04-17,COL,LAD,COL,Tomoyuki Sugano,Tyler Glasnow,250.0,0.2857,0.2686,-0.0171,-1.7%,0.0,NO PLAY,False,Underdog SP has better ERA; Favorite on 3L skid; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued,,,,,
MONEYLINE,2026-04-17,MIN,CIN,CIN,Joe Ryan,Brandon Williamson,145.0,0.4082,0.3482,-0.06,-6.0%,0.0,NO PLAY,False,Favorite is travel-fatigued; Underdog is travel-fatigued,,,,,
FULL GAME TOTAL,2026-04-17,PIT,TB,,Bubba Chandler,Nick Martinez,,,,0.1108,11.1%,,NO PLAY,True,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value; Both teams travel-fatigued",UNDER,8.5,0.6108,,
FULL GAME TOTAL,2026-04-17,SEA,TEX,,Logan Gilbert,Jacob deGrom,,,,0.0941,9.4%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Strong value; Both teams travel-fatigued,UNDER,6.5,0.5941,,
FULL GAME TOTAL,2026-04-17,MIA,MIL,,Janson Junk,TBD,,,,0.0939,9.4%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Strong value; Both teams travel-fatigued,UNDER,8.0,0.5939,,
FULL GAME TOTAL,2026-04-17,BOS,DET,,Ranger Suarez,Casey Mize,,,,0.0895,8.9%,,NO PLAY,False,Hitter-friendly park favors OVER; Strong value; Both teams travel-fatigued,OVER,8.0,0.5895,,
FULL GAME TOTAL,2026-04-17,NYY,KC,,Cam Schlittler,Michael Wacha,,,,0.0802,8.0%,,NO PLAY,False,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Strong value; Both teams travel-fatigued",OVER,8.0,0.5802,,
FULL GAME TOTAL,2026-04-17,ARI,TOR,,Michael Soroka,Eric Lauer,,,,0.0768,7.7%,,NO PLAY,False,Hitter-friendly park favors OVER; Weak pitching matchup; Both teams travel-fatigued,OVER,8.5,0.5768,,
FULL GAME TOTAL,2026-04-17,LAA,SD,,José Soriano,Matt Waldron,,,,0.0758,7.6%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,8.0,0.5758,,
FULL GAME TOTAL,2026-04-17,WSH,SF,,Zack Littell,Logan Webb,,,,0.0611,6.1%,,NO PLAY,False,Both teams travel-fatigued,OVER,8.0,0.5611,,
FULL GAME TOTAL,2026-04-17,MIN,CIN,,Joe Ryan,Brandon Williamson,,,,0.0457,4.6%,,NO PLAY,False,Both teams travel-fatigued,OVER,8.0,0.5457,,
FULL GAME TOTAL,2026-04-17,HOU,STL,,Peter Lambert,Kyle Leahy,,,,0.0404,4.0%,,NO PLAY,False,Both teams travel-fatigued,UNDER,9.0,0.5404,,
FULL GAME TOTAL,2026-04-17,COL,LAD,,Tomoyuki Sugano,Tyler Glasnow,,,,0.0287,2.9%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Elite SP matchup; Both teams travel-fatigued",UNDER,9.5,0.5287,,
FULL GAME TOTAL,2026-04-17,CLE,BAL,,Tanner Bibee,Chris Bassitt,,,,0.0149,1.5%,,NO PLAY,False,Weak pitching matchup; Both teams travel-fatigued,OVER,8.0,0.5149,,
