bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-05-06,NYY,TEX,TEX,Will Warren,Nathan Eovaldi,165.0,0.3774,0.539,0.1616,16.2%,0.2596,HIGH,False,Facing elite SP; Favorite on 5L skid; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-05-06,HOU,LAD,HOU,Lance McCullers Jr.,Tyler Glasnow,180.0,0.3571,0.4571,0.1,10.0%,0.1555,MEDIUM,False,Facing elite SP; Strong value play; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-05-06,COL,NYM,COL,Michael Lorenzen,Freddy Peralta,140.0,0.4167,0.4931,0.0764,7.6%,0.131,MEDIUM,False,Underdog on 5L skid; Good value; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-05-06,CHC,CIN,CIN,Colin Rea,Brady Singer,145.0,0.4082,0.4032,-0.0049,-0.5%,0.0,NO PLAY,False,Underdog on 5L skid; Favorite on 7L skid; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
RUN LINE,2026-05-06,NYY,TEX,TEX,Will Warren,Nathan Eovaldi,165.0,0.5455,,0.1435,14.4%,0.3158,HIGH,True,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued,TEX +1.5,-120.0,0.689,,
RUN LINE,2026-05-06,COL,NYM,COL,Michael Lorenzen,Freddy Peralta,140.0,0.5122,,0.1309,13.1%,0.2683,HIGH,False,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued; Home underdog,COL +1.5,-105.0,0.6431,,
RUN LINE,2026-05-06,HOU,LAD,HOU,Lance McCullers Jr.,Tyler Glasnow,180.0,0.5671,,0.04,4.0%,0.0924,NO PLAY,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued; Home underdog,HOU +1.5,-131.0,0.6071,,
RUN LINE,2026-05-06,CHC,CIN,CIN,Colin Rea,Brady Singer,145.0,0.5984,,-0.0452,-4.5%,0.0,NO PLAY,False,Favorite is travel-fatigued,CIN +1.5,-149.0,0.5532,,
FULL GAME TOTAL,2026-05-06,SEA,ATL,,Bryan Woo,Martín Pérez,,,,0.1524,15.2%,,MEDIUM,True,Pitcher-friendly park favors UNDER; Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.6524,8.0,
FULL GAME TOTAL,2026-05-06,COL,NYM,,Michael Lorenzen,Freddy Peralta,,,,0.1287,12.9%,,LOW,False,Hitter-friendly park favors OVER; Strong value; Both teams travel-fatigued,OVER,,0.6287,9.5,
FULL GAME TOTAL,2026-05-06,CHC,CIN,,Colin Rea,Brady Singer,,,,0.1237,12.4%,,LOW,False,Strong value; Both teams travel-fatigued,UNDER,,0.6237,8.0,
FULL GAME TOTAL,2026-05-06,STL,MIL,,Andre Pallante,Brandon Sproat,,,,0.093,9.3%,,NO PLAY,False,"High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Strong value; Both teams travel-fatigued",UNDER,,0.593,8.0,
FULL GAME TOTAL,2026-05-06,WSH,MIN,,Miles Mikolas,Bailey Ober,,,,0.0878,8.8%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Strong value",UNDER,,0.5878,9.5,
FULL GAME TOTAL,2026-05-06,HOU,LAD,,Lance McCullers Jr.,Tyler Glasnow,,,,0.0736,7.4%,,NO PLAY,False,"High-scoring teams, but line is inflated; Both teams travel-fatigued",UNDER,,0.5736,8.5,
FULL GAME TOTAL,2026-05-06,NYY,TEX,,Will Warren,Nathan Eovaldi,,,,0.0723,7.2%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; Both teams travel-fatigued",UNDER,,0.5723,8.5,
FULL GAME TOTAL,2026-05-06,ARI,PIT,,Michael Soroka,Paul Skenes,,,,0.0494,4.9%,,NO PLAY,False,Hitter-friendly park favors OVER,OVER,,0.5494,7.5,
FULL GAME TOTAL,2026-05-06,TB,TOR,,Shane McClanahan,Patrick Corbin,,,,0.0356,3.6%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5356,7.5,
FULL GAME TOTAL,2026-05-06,LAA,CWS,,Walbert Ureña,Noah Schultz,,,,0.0238,2.4%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5238,9.0,
FULL GAME TOTAL,2026-05-06,DET,BOS,,Jack Flaherty,Sonny Gray,,,,0.0196,2.0%,,NO PLAY,False,"Weak pitching, but line already accounts for it; Both teams travel-fatigued",UNDER,,0.5196,8.5,
FULL GAME TOTAL,2026-05-06,MIA,BAL,,Eury Pérez,Brandon Young,,,,0.0119,1.2%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Both teams travel-fatigued,UNDER,,0.5119,8.5,
