bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,player_name,odds
MONEYLINE,2026-04-12,KC,CWS,CWS,Noah Cameron,Grant Taylor,155.0,0.3922,0.5831,0.1909,19.1%,0.3141,HIGH,True,Underdog SP has better ERA; Strong value play,,,,,
MONEYLINE,2026-04-12,SD,COL,COL,Nick Pivetta,Kyle Freeland,194.0,0.3401,0.4948,0.1546,15.5%,0.2344,HIGH,False,Underdog SP has better ERA; Favorite on 4L skid; Strong value play,,,,,
MONEYLINE,2026-04-12,TB,NYY,TB,Drew Rasmussen,Cam Schlittler,130.0,0.4348,0.5817,0.1469,14.7%,0.26,HIGH,False,Facing elite SP; Favorite on 4L skid; Strong value play; Home underdog,,,,,
MONEYLINE,2026-04-12,DET,MIA,MIA,Tarik Skubal,Sandy Alcantara,163.0,0.3802,0.4725,0.0922,9.2%,0.1488,MEDIUM,False,Underdog SP has better ERA; Strong value play,,,,,
MONEYLINE,2026-04-12,ATL,CLE,CLE,Chris Sale,Tanner Bibee,163.0,0.3802,0.3899,0.0097,1.0%,0.0156,NO PLAY,False,Underdog SP has better ERA,,,,,
MONEYLINE,2026-04-12,SEA,HOU,HOU,Logan Gilbert,TBD,140.0,0.4167,0.4094,-0.0073,-0.7%,0.0,NO PLAY,False,Underdog SP has better ERA; Underdog on 6L skid,,,,,
MONEYLINE,2026-04-12,MIL,WSH,WSH,Brandon Woodruff,Zack Littell,184.0,0.3521,0.3039,-0.0482,-4.8%,0.0,NO PLAY,False,Underdog SP has better ERA; Favorite on 4L skid,,,,,
FULL GAME TOTAL,2026-04-12,SEA,HOU,,Logan Gilbert,TBD,,,,0.2393,23.9%,,HIGH,True,Pitcher-friendly park favors UNDER; Strong value,UNDER,7.5,0.7393,,
FULL GAME TOTAL,2026-04-12,CIN,LAA,,Andrew Abbott,José Soriano,,,,0.1557,15.6%,,MEDIUM,False,"Hitter-friendly park favors OVER; Low-scoring teams, but line is set too low; Elite SPs, but line overreacts; Strong value",OVER,8.5,0.6557,,
FULL GAME TOTAL,2026-04-12,LAD,TEX,,Roki Sasaki,Jacob deGrom,,,,0.1404,14.0%,,LOW,False,"High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Strong value",UNDER,8.5,0.6404,,
