bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-05-08,CLE,MIN,MIN,Parker Messick,Connor Prielipp,125.0,0.4444,0.5827,0.1382,13.8%,0.2488,HIGH,False,Facing elite SP; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-05-08,SD,STL,STL,Griffin Canning,Michael McGreevy,125.0,0.4444,0.5577,0.1132,11.3%,0.2038,HIGH,False,Facing elite SP; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-05-08,PHI,COL,COL,Jesús Luzardo,Chase Dollander,180.0,0.3571,0.4607,0.1036,10.4%,0.1611,HIGH,False,Underdog SP has better ERA; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; Underdog traveled cross-country; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-05-08,TOR,LAA,LAA,Dylan Cease,Reid Detmers,135.0,0.4255,0.4221,-0.0034,-0.3%,0.0,NO PLAY,False,Facing elite SP; Favorite on 4L skid; Favorite is travel-fatigued; Underdog is travel-fatigued; Underdog traveled cross-country; FILTERED: Underdog win% below .450,,,,,
RUN LINE,2026-05-08,CLE,MIN,MIN,Parker Messick,Connor Prielipp,125.0,0.635,,0.0976,9.8%,0.2675,MEDIUM,True,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued,MIN +1.5,-174.0,0.7327,,
RUN LINE,2026-05-08,SD,STL,STL,Griffin Canning,Michael McGreevy,125.0,0.6269,,0.0808,8.1%,0.2166,MEDIUM,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued,STL +1.5,-168.0,0.7077,,
RUN LINE,2026-05-08,PHI,COL,COL,Jesús Luzardo,Chase Dollander,180.0,0.5556,,0.0551,5.5%,0.1241,NO PLAY,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued,COL +1.5,-125.0,0.6107,,
RUN LINE,2026-05-08,TOR,LAA,LAA,Dylan Cease,Reid Detmers,135.0,0.6154,,-0.0433,-4.3%,0.0,NO PLAY,False,Favorite is travel-fatigued,LAA +1.5,-160.0,0.5721,,
FULL GAME TOTAL,2026-05-08,LAD,ATL,,Emmet Sheehan,Chris Sale,,,,0.1909,19.1%,,HIGH,True,"High-scoring teams, but line is inflated; Strong value; Both teams travel-fatigued",UNDER,,0.6909,8.0,
FULL GAME TOTAL,2026-05-08,MIL,NYY,,Jacob Misiorowski,Max Fried,,,,0.1558,15.6%,,MEDIUM,False,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value; Both teams travel-fatigued",UNDER,,0.6558,7.0,
FULL GAME TOTAL,2026-05-08,TEX,CHC,,Kumar Rocker,Ben Brown,,,,0.104,10.4%,,NO PLAY,False,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.604,8.5,
FULL GAME TOTAL,2026-05-08,BOS,TB,,Connelly Early,Jesse Scholtens,,,,0.101,10.1%,,NO PLAY,False,"Hitter-friendly park favors OVER; Elite SPs, but line overreacts; Strong value; Both teams travel-fatigued",OVER,,0.601,8.5,
FULL GAME TOTAL,2026-05-08,CLE,MIN,,Parker Messick,Connor Prielipp,,,,0.0992,9.9%,,NO PLAY,False,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.5992,7.5,
FULL GAME TOTAL,2026-05-08,MIA,WSH,,Robby Snelling,Foster Griffin,,,,0.0819,8.2%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.5819,8.5,
