bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,odds,player_name
FULL GAME TOTAL,2026-04-15,SD,SEA,,Randy Vásquez,Emerson Hancock,,,,0.031,3.1%,,NO PLAY,False,"Pitcher-friendly park, but other factors favor OVER; Elite SPs, but line overreacts",OVER,8.0,0.531,,
FULL GAME TOTAL,2026-04-15,PHI,CHC,,Jesús Luzardo,Shota Imanaga,,,,0.016,1.6%,,NO PLAY,False,Standard play,UNDER,8.5,0.516,,
F5 TOTAL,2026-04-15,CIN,SF,,Rhett Lowder,Tyler Mahle,,,,0.1962,19.6%,,HIGH,True,"Hitter-friendly park favors OVER; Low-scoring teams, but line is set too low; Strong value",OVER,5.2,0.6962,,
F5 TOTAL,2026-04-15,PIT,WSH,,Mason Montgomery,Jake Irvin,,,,0.1788,17.9%,,MEDIUM,False,"High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Strong value",UNDER,5.2,0.6788,,
F5 TOTAL,2026-04-15,DET,KC,,Jack Flaherty,Seth Lugo,,,,0.1479,14.8%,,LOW,False,Low-scoring teams; Elite SP matchup; Strong value,UNDER,4.7,0.6479,,
F5 TOTAL,2026-04-15,LAD,NYM,,Shohei Ohtani,Clay Holmes,,,,0.1451,14.5%,,LOW,False,Elite SP matchup; Strong value,UNDER,4.4,0.6451,,
F5 TOTAL,2026-04-15,ATL,MIA,,Bryce Elder,Chris Paddack,,,,0.1199,12.0%,,NO PLAY,False,"High-scoring teams, but line is inflated; Strong value",UNDER,5.0,0.6199,,
F5 TOTAL,2026-04-15,HOU,COL,,Spencer Arrighetti,Jose Quintana,,,,0.088,8.8%,,NO PLAY,False,Strong value,UNDER,4.7,0.588,,
F5 TOTAL,2026-04-15,SD,SEA,,Randy Vásquez,Emerson Hancock,,,,0.0823,8.2%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup; Strong value,UNDER,4.4,0.5823,,
F5 TOTAL,2026-04-15,MIL,TOR,,Chad Patrick,Dylan Cease,,,,0.0568,5.7%,,NO PLAY,False,Elite SP matchup,UNDER,4.1,0.5568,,
F5 TOTAL,2026-04-15,MIN,BOS,,Simeon Woods Richardson,Connelly Early,,,,0.0425,4.2%,,NO PLAY,False,Standard play,UNDER,4.4,0.5425,,
F5 TOTAL,2026-04-15,NYY,LAA,,Luis Gil,Jack Kochanowicz,,,,0.0396,4.0%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER",UNDER,5.8,0.5396,,
F5 TOTAL,2026-04-15,PHI,CHC,,Jesús Luzardo,Shota Imanaga,,,,0.0162,1.6%,,NO PLAY,False,Standard play,OVER,4.7,0.5162,,
F5 TOTAL,2026-04-15,BAL,ARI,,Kyle Bradish,Eduardo Rodriguez,,,,0.0075,0.8%,,NO PLAY,False,Elite SP matchup,UNDER,5.0,0.5075,,
F5 TOTAL,2026-04-15,STL,CLE,,Dustin May,Slade Cecconi,,,,0.007,0.7%,,NO PLAY,False,Weak pitching matchup,OVER,4.7,0.507,,
F5 TOTAL,2026-04-15,CWS,TB,,Sean Burke,Jesse Scholtens,,,,0.0023,0.2%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,4.4,0.5023,,
1ST INN ML,2026-04-15,PIT,WSH,,Mason Montgomery,Jake Irvin,,,,0.0861,8.6%,,LOW,True,Standard play,PIT,,0.6099,-110.0,
1ST INN ML,2026-04-15,LAD,NYM,,Shohei Ohtani,Clay Holmes,,,,0.0775,7.7%,,NO PLAY,False,Elite pitching matchup,NYM,,0.6013,-110.0,
1ST INN ML,2026-04-15,CIN,SF,,Rhett Lowder,Tyler Mahle,,,,0.0579,5.8%,,NO PLAY,False,Standard play,CIN,,0.5817,-110.0,
1ST INN ML,2026-04-15,SD,SEA,,Randy Vásquez,Emerson Hancock,,,,0.0543,5.4%,,NO PLAY,False,Elite pitching matchup,SEA,,0.5781,-110.0,
1ST INN ML,2026-04-15,OAK,TEX,,J.T. Ginn,Kumar Rocker,,,,0.0463,4.6%,,NO PLAY,False,Standard play,OAK,,0.5701,-110.0,
1ST INN ML,2026-04-15,ATL,MIA,,Bryce Elder,Chris Paddack,,,,0.0444,4.4%,,NO PLAY,False,Standard play,ATL,,0.5682,-110.0,
1ST INN ML,2026-04-15,DET,KC,,Jack Flaherty,Seth Lugo,,,,0.0385,3.8%,,NO PLAY,False,Elite pitching matchup,KC,,0.5623,-110.0,
1ST INN ML,2026-04-15,BAL,ARI,,Kyle Bradish,Eduardo Rodriguez,,,,0.0226,2.3%,,NO PLAY,False,Elite pitching matchup,ARI,,0.5464,-110.0,
1ST INN ML,2026-04-15,CWS,TB,,Sean Burke,Jesse Scholtens,,,,0.0219,2.2%,,NO PLAY,False,Elite pitching matchup,TB,,0.5458,-110.0,
1ST INN ML,2026-04-15,MIL,TOR,,Chad Patrick,Dylan Cease,,,,0.0009,0.1%,,NO PLAY,False,Elite pitching matchup,TOR,,0.5247,-110.0,
1ST INN ML,2026-04-15,PHI,CHC,,Jesús Luzardo,Shota Imanaga,,,,-0.003,-0.3%,,NO PLAY,False,Standard play,CHC,,0.5208,-110.0,
1ST INN ML,2026-04-15,HOU,COL,,Spencer Arrighetti,Jose Quintana,,,,-0.0074,-0.7%,,NO PLAY,False,Standard play,HOU,,0.5164,-110.0,
1ST INN ML,2026-04-15,NYY,LAA,,Luis Gil,Jack Kochanowicz,,,,-0.0164,-1.6%,,NO PLAY,False,Standard play,LAA,,0.5074,-110.0,
1ST INN ML,2026-04-15,MIN,BOS,,Simeon Woods Richardson,Connelly Early,,,,-0.0211,-2.1%,,NO PLAY,False,Standard play,BOS,,0.5027,-110.0,
1ST INN ML,2026-04-15,STL,CLE,,Dustin May,Slade Cecconi,,,,-0.0233,-2.3%,,NO PLAY,False,Standard play,CLE,,0.5006,-110.0,
1ST INN TOTAL,2026-04-15,LAD,NYM,,Shohei Ohtani,Clay Holmes,,,,0.0611,6.1%,,NO PLAY,False,Standard play,OVER 0.5,0.5,0.5849,-110.0,
1ST INN TOTAL,2026-04-15,BAL,ARI,,Kyle Bradish,Eduardo Rodriguez,,,,0.0527,5.3%,,NO PLAY,False,Elite SPs keep 1st clean,UNDER 0.5,0.5,0.5765,-110.0,
1ST INN TOTAL,2026-04-15,DET,KC,,Jack Flaherty,Seth Lugo,,,,0.0429,4.3%,,NO PLAY,False,Elite SPs keep 1st clean,UNDER 0.5,0.5,0.5667,-110.0,
1ST INN TOTAL,2026-04-15,STL,CLE,,Dustin May,Slade Cecconi,,,,0.0275,2.7%,,NO PLAY,False,Standard play,UNDER 0.5,0.5,0.5513,-110.0,
1ST INN TOTAL,2026-04-15,NYY,LAA,,Luis Gil,Jack Kochanowicz,,,,0.0205,2.1%,,NO PLAY,False,Standard play,UNDER 0.5,0.5,0.5443,-110.0,
1ST INN TOTAL,2026-04-15,OAK,TEX,,J.T. Ginn,Kumar Rocker,,,,0.0122,1.2%,,NO PLAY,False,Standard play,UNDER 0.5,0.5,0.536,-110.0,
1ST INN TOTAL,2026-04-15,ATL,MIA,,Bryce Elder,Chris Paddack,,,,0.012,1.2%,,NO PLAY,False,Standard play,UNDER 0.5,0.5,0.5359,-110.0,
1ST INN TOTAL,2026-04-15,CIN,SF,,Rhett Lowder,Tyler Mahle,,,,0.0079,0.8%,,NO PLAY,False,Hitter-friendly park,OVER 0.5,0.5,0.5317,-110.0,
1ST INN TOTAL,2026-04-15,SD,SEA,,Randy Vásquez,Emerson Hancock,,,,0.0065,0.7%,,NO PLAY,False,Standard play,OVER 0.5,0.5,0.5303,-110.0,
1ST INN TOTAL,2026-04-15,PHI,CHC,,Jesús Luzardo,Shota Imanaga,,,,-0.0066,-0.7%,,NO PLAY,False,Standard play,OVER 0.5,0.5,0.5172,-110.0,
1ST INN TOTAL,2026-04-15,MIL,TOR,,Chad Patrick,Dylan Cease,,,,-0.0079,-0.8%,,NO PLAY,False,Standard play,OVER 0.5,0.5,0.5159,-110.0,
1ST INN TOTAL,2026-04-15,PIT,WSH,,Mason Montgomery,Jake Irvin,,,,-0.0143,-1.4%,,NO PLAY,False,Standard play,OVER 0.5,0.5,0.5095,-110.0,
1ST INN TOTAL,2026-04-15,MIN,BOS,,Simeon Woods Richardson,Connelly Early,,,,-0.0145,-1.5%,,NO PLAY,False,Standard play,UNDER 0.5,0.5,0.5093,-110.0,
1ST INN TOTAL,2026-04-15,HOU,COL,,Spencer Arrighetti,Jose Quintana,,,,-0.0177,-1.8%,,NO PLAY,False,Standard play,UNDER 0.5,0.5,0.5061,-110.0,
1ST INN TOTAL,2026-04-15,CWS,TB,,Sean Burke,Jesse Scholtens,,,,-0.0217,-2.2%,,NO PLAY,False,Standard play,OVER 0.5,0.5,0.5021,-110.0,
PITCHER K,2026-04-15,BAL,ARI,,,,,,,0.3049,30.5%,,HIGH,True,Strong value,UNDER 5.5 Ks,5.5,0.8049,-137.0,Kyle Bradish
PITCHER K,2026-04-15,SD,SEA,,,,,,,0.2504,25.0%,,HIGH,True,Facing high-K team; Strong value,OVER 2.7 Ks,2.7,0.7504,-110.0,Randy Vásquez
PITCHER K,2026-04-15,NYY,LAA,,,,,,,0.2474,24.7%,,HIGH,False,Facing high-K team; Strong value,OVER 4.5 Ks,4.5,0.7474,-119.0,Luis Gil
PITCHER K,2026-04-15,MIL,TOR,,,,,,,0.2356,23.6%,,HIGH,False,Strong value,UNDER 4.5 Ks,4.5,0.7356,-152.0,Chad Patrick
PITCHER K,2026-04-15,PIT,WSH,,,,,,,0.2354,23.5%,,HIGH,False,Facing high-K team; Strong value,OVER 4.5 Ks,4.5,0.7354,124.0,Jake Irvin
PITCHER K,2026-04-15,SD,SEA,,,,,,,0.2351,23.5%,,HIGH,False,Low K average; Strong value,UNDER 3.7 Ks,3.7,0.7351,-110.0,Emerson Hancock
PITCHER K,2026-04-15,CWS,TB,,,,,,,0.2065,20.7%,,HIGH,False,Low K average; Strong value,UNDER 4.5 Ks,4.5,0.7065,-145.0,Sean Burke
PITCHER K,2026-04-15,NYY,LAA,,,,,,,0.1925,19.3%,,HIGH,False,Facing high-K team; Strong value,OVER 3.5 Ks,3.5,0.6925,120.0,Jack Kochanowicz
PITCHER K,2026-04-15,STL,CLE,,,,,,,0.1692,16.9%,,HIGH,False,Low K average; Strong value,UNDER 4.5 Ks,4.5,0.6692,-147.0,Slade Cecconi
PITCHER K,2026-04-15,ATL,MIA,,,,,,,0.1481,14.8%,,HIGH,False,Low K average; Strong value,UNDER 4.5 Ks,4.5,0.6481,-157.0,Bryce Elder
PITCHER K,2026-04-15,OAK,TEX,,,,,,,0.1212,12.1%,,HIGH,False,Facing high-K team; Strong value,OVER 3.5 Ks,3.5,0.6212,-110.0,Kumar Rocker
PITCHER K,2026-04-15,BAL,ARI,,,,,,,0.12,12.0%,,MEDIUM,False,Facing high-K team; Strong value,OVER 4.5 Ks,4.5,0.62,-141.0,Eduardo Rodriguez
PITCHER K,2026-04-15,MIL,TOR,,,,,,,0.1052,10.5%,,MEDIUM,False,Strong value,UNDER 6.5 Ks,6.5,0.6052,105.0,Dylan Cease
PITCHER K,2026-04-15,HOU,COL,,,,,,,0.1039,10.4%,,MEDIUM,False,Facing high-K team; Strong value,OVER 6.5 Ks,6.5,0.6039,103.0,Spencer Arrighetti
PITCHER K,2026-04-15,PHI,CHC,,,,,,,0.0997,10.0%,,LOW,False,Standard play,UNDER 6.5 Ks,6.5,0.5997,-124.0,Jesús Luzardo
PITCHER K,2026-04-15,ATL,MIA,,,,,,,0.099,9.9%,,LOW,False,Low K average,UNDER 3.5 Ks,3.5,0.599,-130.0,Chris Paddack
PITCHER K,2026-04-15,MIN,BOS,,,,,,,0.0941,9.4%,,LOW,False,Facing high-K team,OVER 5.5 Ks,5.5,0.5941,116.0,Connelly Early
PITCHER K,2026-04-15,STL,CLE,,,,,,,0.0849,8.5%,,LOW,False,Low K average,UNDER 3.5 Ks,3.5,0.5849,115.0,Dustin May
PITCHER K,2026-04-15,PHI,CHC,,,,,,,0.0832,8.3%,,LOW,False,Low K average,UNDER 5.5 Ks,5.5,0.5832,-106.0,Shota Imanaga
PITCHER K,2026-04-15,CIN,SF,,,,,,,0.0664,6.6%,,NO PLAY,False,Facing high-K team,OVER 4.5 Ks,4.5,0.5664,-133.0,Tyler Mahle
PITCHER K,2026-04-15,DET,KC,,,,,,,0.0512,5.1%,,NO PLAY,False,Low K average,UNDER 4.5 Ks,4.5,0.5512,-132.0,Seth Lugo
PITCHER K,2026-04-15,OAK,TEX,,,,,,,0.051,5.1%,,NO PLAY,False,Facing high-K team,OVER 4.4 Ks,4.4,0.551,-110.0,J.T. Ginn
PITCHER K,2026-04-15,LAD,NYM,,,,,,,0.0378,3.8%,,NO PLAY,False,Low K average,UNDER 3.6 Ks,3.6,0.5378,-110.0,Clay Holmes
PITCHER K,2026-04-15,HOU,COL,,,,,,,0.0353,3.5%,,NO PLAY,False,Low K average,UNDER 2.5 Ks,2.5,0.5353,107.0,Jose Quintana
PITCHER K,2026-04-15,MIN,BOS,,,,,,,0.031,3.1%,,NO PLAY,False,Facing high-K team,OVER 4.5 Ks,4.5,0.531,121.0,Simeon Woods Richardson
PITCHER K,2026-04-15,DET,KC,,,,,,,0.0279,2.8%,,NO PLAY,False,Facing high-K team,OVER 5.5 Ks,5.5,0.5279,128.0,Jack Flaherty
PITCHER K,2026-04-15,LAD,NYM,,,,,,,0.0264,2.6%,,NO PLAY,False,Low K average,UNDER 3.9 Ks,3.9,0.5264,-110.0,Shohei Ohtani
BATTER HITS,2026-04-15,NYY,LAA,,,,,,,0.4003,40.0%,,HIGH,True,Strong value,UNDER 0.5 hits,0.5,0.9003,180.0,Ben Rice
BATTER HITS,2026-04-15,BAL,ARI,,,,,,,0.3925,39.2%,,HIGH,True,Strong value,OVER 1.5 hits,1.5,0.8925,550.0,Maverick Handley
BATTER HITS,2026-04-15,CIN,SF,,,,,,,0.3596,36.0%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.8596,-200.0,TJ Friedl
BATTER HITS,2026-04-15,BAL,ARI,,,,,,,0.3562,35.6%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.8562,-200.0,Geraldo Perdomo
BATTER HITS,2026-04-15,MIN,BOS,,,,,,,0.3428,34.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.8428,-111.0,Ryan Kreidler
BATTER HITS,2026-04-15,ATL,MIA,,,,,,,0.3393,33.9%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.8393,184.0,Matt Olson
BATTER HITS,2026-04-15,PHI,CHC,,,,,,,0.3326,33.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.8326,-160.0,Michael Busch
BATTER HITS,2026-04-15,NYY,LAA,,,,,,,0.3289,32.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.8289,-145.0,Ryan McMahon
BATTER HITS,2026-04-15,PIT,WSH,,,,,,,0.3275,32.7%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.8275,168.0,CJ Abrams
BATTER HITS,2026-04-15,STL,CLE,,,,,,,0.3161,31.6%,,HIGH,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.8161,-169.0,Kyle Manzardo
BATTER HITS,2026-04-15,CWS,TB,,,,,,,0.2943,29.4%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.7943,-233.0,Chandler Simpson
BATTER HITS,2026-04-15,HOU,COL,,,,,,,0.2939,29.4%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7939,-127.0,Kyle Karros
BATTER HITS,2026-04-15,HOU,COL,,,,,,,0.2873,28.7%,,HIGH,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.7873,-135.0,Brenton Doyle
BATTER HITS,2026-04-15,ATL,MIA,,,,,,,0.2818,28.2%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7818,143.0,Mauricio Dubon
BATTER HITS,2026-04-15,STL,CLE,,,,,,,0.2761,27.6%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7761,125.0,Angel Martinez
BATTER HITS,2026-04-15,DET,KC,,,,,,,0.2691,26.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7691,-172.0,Kerry Carpenter
BATTER HITS,2026-04-15,CWS,TB,,,,,,,0.2688,26.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7688,-165.0,Andrew Benintendi
BATTER HITS,2026-04-15,CWS,TB,,,,,,,0.2651,26.5%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7651,-119.0,Tristan Peters
BATTER HITS,2026-04-15,NYY,LAA,,,,,,,0.2636,26.4%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7636,150.0,Jo Adell
BATTER HITS,2026-04-15,DET,KC,,,,,,,0.263,26.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.763,-147.0,Spencer Torkelson
BATTER HITS,2026-04-15,ATL,MIA,,,,,,,0.2565,25.7%,,HIGH,False,Cold streak; Strong value,UNDER 1.5 hits,1.5,0.7565,-207.0,Xavier Edwards
BATTER HITS,2026-04-15,NYY,LAA,,,,,,,0.2534,25.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7534,-165.0,Austin Wells
BATTER HITS,2026-04-15,MIN,BOS,,,,,,,0.2479,24.8%,,HIGH,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.7479,-183.0,Connor Wong
BATTER HITS,2026-04-15,PHI,CHC,,,,,,,0.2478,24.8%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7478,-149.0,Matt Shaw
BATTER HITS,2026-04-15,STL,CLE,,,,,,,0.2437,24.4%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.7437,155.0,Jordan Walker
BATTER HITS,2026-04-15,DET,KC,,,,,,,0.2404,24.0%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7404,168.0,Colt Keith
BATTER HITS,2026-04-15,ATL,MIA,,,,,,,0.2396,24.0%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7396,-256.0,Jakob Marsee
BATTER HITS,2026-04-15,BAL,ARI,,,,,,,0.2385,23.8%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7385,199.0,Jeremiah Jackson
BATTER HITS,2026-04-15,PIT,WSH,,,,,,,0.2384,23.8%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.7384,-263.0,Oneil Cruz
BATTER HITS,2026-04-15,PHI,CHC,,,,,,,0.2379,23.8%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7379,100.0,Brandon Marsh
BATTER HITS,2026-04-15,NYY,LAA,,,,,,,0.2374,23.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7374,-204.0,Trent Grisham
BATTER HITS,2026-04-15,PHI,CHC,,,,,,,0.2356,23.6%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7356,147.0,J.T. Realmuto
BATTER HITS,2026-04-15,ATL,MIA,,,,,,,0.2328,23.3%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.7328,-238.0,Drake Baldwin
BATTER HITS,2026-04-15,HOU,COL,,,,,,,0.2323,23.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7323,-114.0,Brice Matthews
BATTER HITS,2026-04-15,DET,KC,,,,,,,0.2319,23.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7319,-138.0,Jonathan India
BATTER HITS,2026-04-15,STL,CLE,,,,,,,0.2309,23.1%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7309,-156.0,Brayan Rocchio
BATTER HITS,2026-04-15,MIL,TOR,,,,,,,0.2294,22.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7294,-117.0,David Hamilton
BATTER HITS,2026-04-15,PIT,WSH,,,,,,,0.2288,22.9%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7288,165.0,James Wood
BATTER HITS,2026-04-15,ATL,MIA,,,,,,,0.2272,22.7%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7272,187.0,Otto Lopez
BATTER HITS,2026-04-15,CIN,SF,,,,,,,0.2267,22.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7267,-115.0,Rece Hinds
BATTER HITS,2026-04-15,DET,KC,,,,,,,0.2247,22.5%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7247,-145.0,Kyle Isbel
BATTER HITS,2026-04-15,NYY,LAA,,,,,,,0.2236,22.4%,,HIGH,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.7236,-169.0,Yoan Moncada
BATTER HITS,2026-04-15,PIT,WSH,,,,,,,0.2228,22.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7228,-200.0,Spencer Horwitz
BATTER HITS,2026-04-15,CIN,SF,,,,,,,0.2173,21.7%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7173,170.0,Elly De La Cruz
BATTER HITS,2026-04-15,MIL,TOR,,,,,,,0.2169,21.7%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7169,142.0,Daulton Varsho
BATTER HITS,2026-04-15,HOU,COL,,,,,,,0.2159,21.6%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.7159,190.0,Yordan Alvarez
BATTER HITS,2026-04-15,MIN,BOS,,,,,,,0.2149,21.5%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7149,-200.0,Caleb Durbin
BATTER HITS,2026-04-15,MIL,TOR,,,,,,,0.2146,21.5%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.7146,-244.0,Ernie Clement
BATTER HITS,2026-04-15,HOU,COL,,,,,,,0.2143,21.4%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.7143,-269.0,Carlos Correa
BATTER HITS,2026-04-15,MIN,BOS,,,,,,,0.2124,21.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7124,-169.0,Marcelo Mayer
BATTER HITS,2026-04-15,STL,CLE,,,,,,,0.2092,20.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7092,-138.0,Nolan Gorman
BATTER HITS,2026-04-15,CWS,TB,,,,,,,0.2079,20.8%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7079,-204.0,Chase Meidroth
BATTER HITS,2026-04-15,NYY,LAA,,,,,,,0.207,20.7%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.707,-152.0,Logan O'Hoppe
BATTER HITS,2026-04-15,MIN,BOS,,,,,,,0.2061,20.6%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.7061,140.0,Ryan Jeffers
BATTER HITS,2026-04-15,DET,KC,,,,,,,0.2053,20.5%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.7053,-201.0,Gleyber Torres
BATTER HITS,2026-04-15,CIN,SF,,,,,,,0.2046,20.5%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.7046,-245.0,Willy Adames
BATTER HITS,2026-04-15,ATL,MIA,,,,,,,0.1999,20.0%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6999,177.0,Ozzie Albies
BATTER HITS,2026-04-15,CIN,SF,,,,,,,0.1988,19.9%,,HIGH,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.6988,-222.0,Jung Hoo Lee
BATTER HITS,2026-04-15,PHI,CHC,,,,,,,0.1988,19.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6988,-155.0,Dansby Swanson
BATTER HITS,2026-04-15,CWS,TB,,,,,,,0.1972,19.7%,,HIGH,False,Strong value,UNDER 1.5 hits,1.5,0.6972,-238.0,Yandy Diaz
BATTER HITS,2026-04-15,BAL,ARI,,,,,,,0.1956,19.6%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6956,170.0,Ildemaro Vargas
