bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,odds,player_name
MONEYLINE,2026-04-15,LAD,NYM,NYM,Shohei Ohtani,Clay Holmes,179.0,0.3584,0.5575,0.1991,19.9%,0.3103,HIGH,True,Facing elite SP; Underdog on 7L skid; Strong value play,,,,,
MONEYLINE,2026-04-15,HOU,COL,COL,Spencer Arrighetti,Jose Quintana,160.0,0.3846,0.5817,0.1971,19.7%,0.3202,HIGH,False,Underdog SP has better ERA; Underdog on 5L skid; Strong value play,,,,,
MONEYLINE,2026-04-15,PIT,WSH,WSH,Mason Montgomery,Jake Irvin,150.0,0.4,0.5334,0.1334,13.3%,0.2223,HIGH,False,Strong value play,,,,,
MONEYLINE,2026-04-15,NYY,LAA,LAA,Luis Gil,Jack Kochanowicz,155.0,0.3922,0.522,0.1299,13.0%,0.2136,HIGH,False,Underdog SP has better ERA; Strong value play,,,,,
MONEYLINE,2026-04-15,ATL,MIA,MIA,Bryce Elder,Chris Paddack,144.0,0.4098,0.5246,0.1148,11.5%,0.1945,HIGH,False,Facing elite SP; Strong value play,,,,,
FULL GAME TOTAL,2026-04-15,PIT,WSH,,Mason Montgomery,Jake Irvin,,,,0.2402,24.0%,,HIGH,True,"High-scoring teams, but line is inflated; Weak pitching, but line already accounts for it; Strong value",UNDER,9.5,0.7402,,
FULL GAME TOTAL,2026-04-15,ATL,MIA,,Bryce Elder,Chris Paddack,,,,0.198,19.8%,,HIGH,False,"High-scoring teams, but line is inflated; Strong value",UNDER,9.0,0.698,,
FULL GAME TOTAL,2026-04-15,LAD,NYM,,Shohei Ohtani,Clay Holmes,,,,0.1437,14.4%,,LOW,False,Elite SP matchup; Strong value,UNDER,8.0,0.6437,,
FULL GAME TOTAL,2026-04-15,CIN,SF,,Rhett Lowder,Tyler Mahle,,,,0.1207,12.1%,,LOW,False,"Hitter-friendly park favors OVER; Low-scoring teams, but line is set too low; Strong value",OVER,9.5,0.6207,,
FULL GAME TOTAL,2026-04-15,CWS,TB,,Sean Burke,Jesse Scholtens,,,,0.0814,8.1%,,NO PLAY,False,"Elite SPs, but line overreacts; Strong value",OVER,8.0,0.5814,,
FULL GAME TOTAL,2026-04-15,STL,CLE,,Dustin May,Slade Cecconi,,,,0.0739,7.4%,,NO PLAY,False,Weak pitching matchup,OVER,8.5,0.5739,,
FULL GAME TOTAL,2026-04-15,DET,KC,,Jack Flaherty,Seth Lugo,,,,0.0738,7.4%,,NO PLAY,False,"Low-scoring teams, but line is set too low; Elite SPs, but line overreacts",OVER,8.5,0.5738,,
FULL GAME TOTAL,2026-04-15,BAL,ARI,,Kyle Bradish,Eduardo Rodriguez,,,,0.0657,6.6%,,NO PLAY,False,Elite SP matchup,UNDER,9.0,0.5657,,
FULL GAME TOTAL,2026-04-15,MIN,BOS,,Simeon Woods Richardson,Connelly Early,,,,0.0653,6.5%,,NO PLAY,False,Standard play,UNDER,8.0,0.5653,,
FULL GAME TOTAL,2026-04-15,HOU,COL,,Spencer Arrighetti,Jose Quintana,,,,0.0641,6.4%,,NO PLAY,False,Standard play,UNDER,8.5,0.5641,,
FULL GAME TOTAL,2026-04-15,MIL,TOR,,Chad Patrick,Dylan Cease,,,,0.0488,4.9%,,NO PLAY,False,Elite SP matchup,UNDER,7.5,0.5488,,
FULL GAME TOTAL,2026-04-15,NYY,LAA,,Luis Gil,Jack Kochanowicz,,,,0.0392,3.9%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER",UNDER,10.5,0.5392,,
