bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-04-25,STL,SEA,STL,Matthew Liberatore,Bryan Woo,125.0,0.4444,0.5854,0.141,14.1%,0.2537,HIGH,True,Facing elite SP; Strong value play; Home underdog,,,,,
MONEYLINE,2026-04-25,KC,LAA,LAA,Cole Ragans,Walbert Urena,129.0,0.4367,0.5775,0.1408,14.1%,0.25,HIGH,False,Underdog SP has better ERA; Strong value play; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-25,HOU,NYY,HOU,Mike Burrows,Ryan Weathers,129.0,0.4367,0.5485,0.1118,11.2%,0.1985,HIGH,False,Facing elite SP; Favorite on 7L skid; Strong value play; Home underdog; Favorite is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
RUN LINE,2026-04-25,STL,SEA,STL,Matthew Liberatore,Bryan Woo,125.0,0.4651,,0.2703,27.0%,0.5053,HIGH,True,Strong ML probability boosts +1.5 cover; Strong value on run line; Home underdog,STL +1.5,115.0,0.7354,,
RUN LINE,2026-04-25,HOU,NYY,HOU,Mike Burrows,Ryan Weathers,129.0,0.4878,,0.2107,21.1%,0.4114,HIGH,False,Strong ML probability boosts +1.5 cover; Strong value on run line; Favorite is travel-fatigued; Home underdog,HOU +1.5,105.0,0.6985,,
RUN LINE,2026-04-25,KC,LAA,LAA,Cole Ragans,Walbert Urena,129.0,0.6154,,0.1121,11.2%,0.2915,MEDIUM,False,Strong ML probability boosts +1.5 cover; Strong value on run line,LAA +1.5,-160.0,0.7275,,
FULL GAME TOTAL,2026-04-25,LAD,CHC,,Roki Sasaki,Colin Rea,,,,0.162,16.2%,,MEDIUM,True,"High-scoring teams, but line is inflated; Strong value; Both teams travel-fatigued",UNDER,,0.662,9.5,
FULL GAME TOTAL,2026-04-25,ATL,PHI,,Bryce Elder,Zack Wheeler,,,,0.1565,15.6%,,MEDIUM,False,Elite SP matchup; Strong value; Both teams travel-fatigued,UNDER,,0.6565,8.5,
FULL GAME TOTAL,2026-04-25,CWS,WSH,,Noah Schultz,Jake Irvin,,,,0.0815,8.2%,,NO PLAY,False,Strong value; Both teams travel-fatigued,UNDER,,0.5815,8.5,
FULL GAME TOTAL,2026-04-25,CIN,DET,,Brady Singer,Jack Flaherty,,,,0.0688,6.9%,,NO PLAY,False,Hitter-friendly park favors OVER; Away team travel-fatigued,OVER,,0.5688,9.5,
