bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,player_name,odds
F5 TOTAL,2026-04-10,CHC,PIT,,Shota Imanaga,Carmen Mlodzinski,,,,0.0447,4.5%,,NO PLAY,False,Standard play,UNDER,3.6,0.5447,,
F5 TOTAL,2026-04-10,SD,COL,,Walker Buehler,Tomoyuki Sugano,,,,0.0437,4.4%,,NO PLAY,False,"Pitcher-friendly park favors UNDER; Weak pitching, but line already accounts for it",UNDER,4.4,0.5437,,
F5 TOTAL,2026-04-10,PHI,ARI,,Jesús Luzardo,Michael Soroka,,,,0.0283,2.8%,,NO PLAY,False,"Elite SPs, but line overreacts",OVER,4.7,0.5283,,
PITCHER K,2026-04-10,SD,COL,,,,,,,0.3481,34.8%,,HIGH,True,Facing high-K team; Strong value,OVER 3.1 Ks,3.1,0.8481,Walker Buehler,-110.0
PITCHER K,2026-04-10,NYM,OAK,,,,,,,0.2471,24.7%,,HIGH,True,Strong value,UNDER 4.5 Ks,4.5,0.7471,J.T. Ginn,-110.0
PITCHER K,2026-04-10,MIL,WSH,,,,,,,0.2294,22.9%,,HIGH,False,Facing high-K team; Strong value,OVER 3.4 Ks,3.4,0.7294,Jake Irvin,-110.0
PITCHER K,2026-04-10,ATL,CLE,,,,,,,0.2185,21.9%,,HIGH,False,Low K average; Strong value,UNDER 4.3 Ks,4.3,0.7185,Slade Cecconi,-110.0
PITCHER K,2026-04-10,CIN,LAA,,,,,,,0.2082,20.8%,,HIGH,False,Facing high-K team; High K average; Strong value,OVER 6.8 Ks,6.8,0.7082,Chase Burns,-110.0
PITCHER K,2026-04-10,CIN,LAA,,,,,,,0.2017,20.2%,,HIGH,False,Facing high-K team; Strong value,OVER 2.8 Ks,2.8,0.7017,Jack Kochanowicz,-110.0
PITCHER K,2026-04-10,PHI,ARI,,,,,,,0.2016,20.2%,,HIGH,False,Strong value,UNDER 4.9 Ks,4.9,0.7016,Michael Soroka,-110.0
PITCHER K,2026-04-10,NYM,OAK,,,,,,,0.1922,19.2%,,HIGH,False,Facing high-K team; Strong value,OVER 3.6 Ks,3.6,0.6922,Clay Holmes,-110.0
PITCHER K,2026-04-10,SEA,HOU,,,,,,,0.1803,18.0%,,HIGH,False,Low K average; Strong value,UNDER 3.6 Ks,3.6,0.6803,Emerson Hancock,-110.0
PITCHER K,2026-04-10,DET,MIA,,,,,,,0.1758,17.6%,,HIGH,False,Low K average; Strong value,UNDER 3.3 Ks,3.3,0.6758,Keider Montero,-110.0
PITCHER K,2026-04-10,TOR,MIN,,,,,,,0.1673,16.7%,,HIGH,False,Facing high-K team; Strong value,OVER 3.9 Ks,3.9,0.6673,Patrick Corbin,-110.0
PITCHER K,2026-04-10,DET,MIA,,,,,,,0.149,14.9%,,HIGH,False,Facing high-K team; Strong value,OVER 3.2 Ks,3.2,0.649,Chris Paddack,-110.0
PITCHER K,2026-04-10,STL,BOS,,,,,,,0.1482,14.8%,,HIGH,False,Facing high-K team; Strong value,OVER 4.5 Ks,4.5,0.6482,Dustin May,-110.0
PITCHER K,2026-04-10,PHI,ARI,,,,,,,0.1394,13.9%,,HIGH,False,Strong value,UNDER 6.4 Ks,6.4,0.6394,Jesús Luzardo,-110.0
PITCHER K,2026-04-10,TB,NYY,,,,,,,0.1366,13.7%,,HIGH,False,Low K average; Strong value,UNDER 3.2 Ks,3.2,0.6366,Luis Gil,-110.0
PITCHER K,2026-04-10,KC,CWS,,,,,,,0.1314,13.1%,,HIGH,False,Facing high-K team; Strong value,OVER 5.3 Ks,5.3,0.6314,Kris Bubic,-110.0
PITCHER K,2026-04-10,TOR,MIN,,,,,,,0.1116,11.2%,,MEDIUM,False,Low K average; Strong value,UNDER 4.1 Ks,4.1,0.6116,Simeon Woods Richardson,-110.0
PITCHER K,2026-04-10,CHC,PIT,,,,,,,0.1102,11.0%,,MEDIUM,False,Low K average; Strong value,UNDER 3.0 Ks,3.0,0.6102,Carmen Mlodzinski,-110.0
PITCHER K,2026-04-10,STL,BOS,,,,,,,0.1063,10.6%,,MEDIUM,False,Strong value,UNDER 6.0 Ks,6.0,0.6063,Connelly Early,-110.0
PITCHER K,2026-04-10,MIL,WSH,,,,,,,0.0987,9.9%,,LOW,False,Standard play,UNDER 4.6 Ks,4.6,0.5987,Chad Patrick,-110.0
PITCHER K,2026-04-10,LAD,TEX,,,,,,,0.0762,7.6%,,NO PLAY,False,Standard play,UNDER 5.6 Ks,5.6,0.5762,Tyler Glasnow,-110.0
PITCHER K,2026-04-10,BAL,SF,,,,,,,0.0635,6.3%,,NO PLAY,False,Facing high-K team,OVER 4.3 Ks,4.3,0.5635,Landen Roupp,-110.0
PITCHER K,2026-04-10,CHC,PIT,,,,,,,0.0495,4.9%,,NO PLAY,False,Facing high-K team,OVER 4.2 Ks,4.2,0.5495,Shota Imanaga,-110.0
PITCHER K,2026-04-10,LAD,TEX,,,,,,,0.0467,4.7%,,NO PLAY,False,Low K average,UNDER 3.4 Ks,3.4,0.5467,Kumar Rocker,-110.0
PITCHER K,2026-04-10,KC,CWS,,,,,,,0.0269,2.7%,,NO PLAY,False,Low K average,UNDER 3.6 Ks,3.6,0.5269,Davis Martin,-110.0
PITCHER K,2026-04-10,BAL,SF,,,,,,,0.0143,1.4%,,NO PLAY,False,Standard play,UNDER 5.1 Ks,5.1,0.5143,Shane Baz,-110.0
PITCHER K,2026-04-10,SD,COL,,,,,,,0.0062,0.6%,,NO PLAY,False,Low K average,UNDER 3.1 Ks,3.1,0.5062,Tomoyuki Sugano,-110.0
PITCHER K,2026-04-10,ATL,CLE,,,,,,,0.0011,0.1%,,NO PLAY,False,Facing high-K team,OVER 4.3 Ks,4.3,0.5011,Bryce Elder,-110.0
