bet_type,game_date,home_team,away_team,home_sp_name,away_sp_name,pick,odds,model_prob,edge,edge_pct,confidence,recommended,notes,line
1ST INN ML,2026-08-11,CWS,CIN,Sean Burke,Nick Lodolo,CWS,-110,0.6129,0.089,8.9%,HIGH,True,Standard play,
1ST INN ML,2026-08-11,STL,PHI,Andre Pallante,Cristopher Sánchez,PHI,-110,0.5541,0.0303,3.0%,LOW,True,Elite pitching matchup,
1ST INN ML,2026-08-11,OAK,TB,Mason Barnett,Nick Martinez,TB,-110,0.5469,0.0231,2.3%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-11,MIN,BAL,Bailey Ober,Brandon Young,MIN,-110,0.5431,0.0192,1.9%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-11,NYY,SEA,Ryan Weathers,Bryan Woo,NYY,-110,0.5326,0.0088,0.9%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-11,WSH,CHC,TBD,Shota Imanaga,CHC,-110,0.5322,0.0084,0.8%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-11,DET,CLE,Drew Anderson,Tanner Bibee,CLE,-110,0.5285,0.0047,0.5%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-11,ARI,COL,Mitch Bratt,Tomoyuki Sugano,ARI,-110,0.5174,-0.0064,-0.6%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-11,SF,HOU,TBD,Hunter Brown,HOU,-110,0.5147,-0.0091,-0.9%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-11,ATL,NYM,Martín Pérez,Nolan McLean,NYM,-110,0.5101,-0.0137,-1.4%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-08-11,MIA,PIT,Eury Pérez,Paul Skenes,MIA,-110,0.5079,-0.0159,-1.6%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-11,SD,MIL,Walker Buehler,Kyle Harrison,SD,-110,0.5049,-0.0189,-1.9%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-11,LAA,TEX,Ryan Johnson,Cody Bradford,TEX,-110,0.5037,-0.0201,-2.0%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-11,TOR,BOS,Dylan Cease,Patrick Sandoval,TOR,-110,0.5012,-0.0226,-2.3%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-08-11,LAD,KC,Blake Snell,Michael Wacha,KC,-110,0.5011,-0.0227,-2.3%,NO PLAY,False,Standard play,
1ST INN TOTAL,2026-08-11,SD,MIL,Walker Buehler,Kyle Harrison,UNDER 0.5,-110,0.5859,0.0621,6.2%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,LAD,KC,Blake Snell,Michael Wacha,UNDER 0.5,-110,0.5712,0.0474,4.7%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,TOR,BOS,Dylan Cease,Patrick Sandoval,OVER 0.5,-110,0.5686,0.0448,4.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,OAK,TB,Mason Barnett,Nick Martinez,UNDER 0.5,-110,0.5677,0.0439,4.4%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,ATL,NYM,Martín Pérez,Nolan McLean,OVER 0.5,-110,0.5534,0.0296,3.0%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,SF,HOU,TBD,Hunter Brown,UNDER 0.5,-110,0.553,0.0292,2.9%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,CWS,CIN,Sean Burke,Nick Lodolo,UNDER 0.5,-110,0.5384,0.0146,1.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,WSH,CHC,TBD,Shota Imanaga,UNDER 0.5,-110,0.5281,0.0043,0.4%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,STL,PHI,Andre Pallante,Cristopher Sánchez,OVER 0.5,-110,0.5163,-0.0076,-0.8%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,MIN,BAL,Bailey Ober,Brandon Young,OVER 0.5,-110,0.5102,-0.0137,-1.4%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,MIA,PIT,Eury Pérez,Paul Skenes,UNDER 0.5,-110,0.5081,-0.0157,-1.6%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,LAA,TEX,Ryan Johnson,Cody Bradford,OVER 0.5,-110,0.5045,-0.0193,-1.9%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,DET,CLE,Drew Anderson,Tanner Bibee,UNDER 0.5,-110,0.5039,-0.0199,-2.0%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,NYY,SEA,Ryan Weathers,Bryan Woo,UNDER 0.5,-110,0.501,-0.0228,-2.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-11,ARI,COL,Mitch Bratt,Tomoyuki Sugano,UNDER 0.5,-110,0.5001,-0.0237,-2.4%,NO PLAY,False,Standard play,0.5
