bet_type,game_date,home_team,away_team,home_sp_name,away_sp_name,pick,odds,model_prob,edge,edge_pct,confidence,recommended,notes,line
1ST INN ML,2026-09-06,CLE,DET,Gavin Williams,Jackson Jobe,CLE,-110,0.576,0.0522,5.2%,MEDIUM,True,Standard play,
1ST INN ML,2026-09-06,PIT,LAA,Paul Skenes,Walbert Ureña,LAA,-110,0.5753,0.0515,5.2%,MEDIUM,True,Elite pitching matchup,
1ST INN ML,2026-09-06,BAL,BOS,Kyle Bradish,Payton Tolle,BOS,-110,0.5676,0.0438,4.4%,MEDIUM,False,Standard play,
1ST INN ML,2026-09-06,COL,STL,Tanner Gordon,Kyle Leahy,STL,-110,0.5659,0.0421,4.2%,MEDIUM,False,Standard play,
1ST INN ML,2026-09-06,SEA,OAK,Bryan Woo,Gage Jump,SEA,-110,0.5649,0.0411,4.1%,MEDIUM,False,Standard play,
1ST INN ML,2026-09-06,CIN,MIL,Brady Singer,Kyle Harrison,MIL,-110,0.5637,0.0399,4.0%,LOW,False,Standard play,
1ST INN ML,2026-09-06,CWS,MIN,Bryan Hudson,Bailey Ober,CWS,-110,0.5629,0.0391,3.9%,LOW,False,Standard play,
1ST INN ML,2026-09-06,NYM,SF,Christian Scott,Cesar Perdomo,SF,-110,0.5505,0.0267,2.7%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-09-06,HOU,ARI,Peter Lambert,Eduardo Rodriguez,ARI,-110,0.5432,0.0194,1.9%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-09-06,SD,NYY,Michael King,Gerrit Cole,NYY,-110,0.5371,0.0133,1.3%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-09-06,LAD,WSH,Justin Wrobleski,Andrew Alvarez,LAD,-110,0.5318,0.008,0.8%,NO PLAY,False,Standard play,
1ST INN ML,2026-09-06,KC,TOR,Randy Dobnak,Spencer Arrighetti,KC,-110,0.5305,0.0067,0.7%,NO PLAY,False,Standard play,
1ST INN ML,2026-09-06,TEX,TB,MacKenzie Gore,Ian Seymour,TB,-110,0.5143,-0.0095,-0.9%,NO PLAY,False,Standard play,
1ST INN ML,2026-09-06,PHI,ATL,Aaron Nola,Tyler Mahle,PHI,-110,0.5117,-0.0121,-1.2%,NO PLAY,False,Standard play,
1ST INN ML,2026-09-06,MIA,CHC,Tyler Phillips,Clay Holmes,MIA,-110,0.5095,-0.0143,-1.4%,NO PLAY,False,Elite pitching matchup,
1ST INN TOTAL,2026-09-06,BAL,BOS,Kyle Bradish,Payton Tolle,UNDER 0.5,-110,0.5667,0.0428,4.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-06,COL,STL,Tanner Gordon,Kyle Leahy,OVER 0.5,-110,0.5541,0.0302,3.0%,NO PLAY,False,Hitter-friendly park,0.5
1ST INN TOTAL,2026-09-06,KC,TOR,Randy Dobnak,Spencer Arrighetti,UNDER 0.5,-110,0.5333,0.0095,1.0%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-06,LAD,WSH,Justin Wrobleski,Andrew Alvarez,OVER 0.5,-110,0.532,0.0081,0.8%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-06,PHI,ATL,Aaron Nola,Tyler Mahle,OVER 0.5,-110,0.5207,-0.0031,-0.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-06,MIA,CHC,Tyler Phillips,Clay Holmes,UNDER 0.5,-110,0.5198,-0.004,-0.4%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-09-06,SEA,OAK,Bryan Woo,Gage Jump,UNDER 0.5,-110,0.5192,-0.0046,-0.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-06,NYM,SF,Christian Scott,Cesar Perdomo,UNDER 0.5,-110,0.5177,-0.0061,-0.6%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-09-06,HOU,ARI,Peter Lambert,Eduardo Rodriguez,OVER 0.5,-110,0.5121,-0.0118,-1.2%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-06,SD,NYY,Michael King,Gerrit Cole,UNDER 0.5,-110,0.5105,-0.0133,-1.3%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-09-06,CIN,MIL,Brady Singer,Kyle Harrison,OVER 0.5,-110,0.5072,-0.0166,-1.7%,NO PLAY,False,Hitter-friendly park,0.5
1ST INN TOTAL,2026-09-06,PIT,LAA,Paul Skenes,Walbert Ureña,OVER 0.5,-110,0.5034,-0.0204,-2.0%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-06,CLE,DET,Gavin Williams,Jackson Jobe,UNDER 0.5,-110,0.5016,-0.0223,-2.2%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-06,CWS,MIN,Bryan Hudson,Bailey Ober,OVER 0.5,-110,0.5011,-0.0227,-2.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-09-06,TEX,TB,MacKenzie Gore,Ian Seymour,OVER 0.5,-110,0.5002,-0.0236,-2.4%,NO PLAY,False,Standard play,0.5
