bet_type,game_date,home_team,away_team,home_sp_name,away_sp_name,pick,odds,model_prob,edge,edge_pct,confidence,recommended,notes,line
1ST INN ML,2026-07-10,MIN,LAA,Zebby Matthews,Grayson Rodriguez,MIN,-110,0.6434,0.1196,12.0%,HIGH,True,Strong value,
1ST INN ML,2026-07-10,BAL,KC,Brandon Young,Luinder Avila,BAL,-110,0.6395,0.1157,11.6%,HIGH,True,Strong value,
1ST INN ML,2026-07-10,SD,TOR,JP Sears,Shane Bieber,SD,-110,0.6107,0.0869,8.7%,HIGH,False,Standard play,
1ST INN ML,2026-07-10,CWS,OAK,Sean Burke,Jacob Lopez,CWS,-110,0.609,0.0852,8.5%,HIGH,False,Standard play,
1ST INN ML,2026-07-10,LAD,ARI,Shohei Ohtani,Eduardo Rodriguez,ARI,-110,0.6013,0.0775,7.7%,HIGH,False,Elite pitching matchup,
1ST INN ML,2026-07-10,PIT,MIL,Braxton Ashcraft,Brandon Sproat,PIT,-110,0.5894,0.0656,6.6%,HIGH,False,Standard play,
1ST INN ML,2026-07-10,SF,COL,Robbie Ray,Tanner Gordon,SF,-110,0.5815,0.0577,5.8%,MEDIUM,False,Standard play,
1ST INN ML,2026-07-10,NYM,BOS,Nolan McLean,Sonny Gray,BOS,-110,0.5632,0.0394,3.9%,LOW,False,Elite pitching matchup,
1ST INN ML,2026-07-10,TB,SEA,Nick Martinez,Luis Castillo,TB,-110,0.5373,0.0135,1.4%,NO PLAY,False,Standard play,
1ST INN ML,2026-07-10,WSH,NYY,Carson Palmquist,Ryan Weathers,WSH,-110,0.5365,0.0127,1.3%,NO PLAY,False,Standard play,
1ST INN ML,2026-07-10,MIA,CLE,Sandy Alcantara,Parker Messick,CLE,-110,0.5342,0.0104,1.0%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-07-10,STL,ATL,Kyle Leahy,Chris Sale,ATL,-110,0.5272,0.0034,0.3%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-07-10,DET,PHI,Jack Flaherty,Aaron Nola,DET,-110,0.5179,-0.0059,-0.6%,NO PLAY,False,Standard play,
1ST INN ML,2026-07-10,TEX,HOU,Cal Quantrill,Hunter Brown,HOU,-110,0.5102,-0.0136,-1.4%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-07-10,CIN,CHC,Hunter Greene,Shota Imanaga,CIN,-110,0.5003,-0.0235,-2.4%,NO PLAY,False,Standard play,
1ST INN TOTAL,2026-07-10,LAD,ARI,Shohei Ohtani,Eduardo Rodriguez,OVER 0.5,-110,0.5849,0.0611,6.1%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-10,PIT,MIL,Braxton Ashcraft,Brandon Sproat,OVER 0.5,-110,0.5531,0.0293,2.9%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-10,CWS,OAK,Sean Burke,Jacob Lopez,OVER 0.5,-110,0.5524,0.0286,2.9%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-10,CIN,CHC,Hunter Greene,Shota Imanaga,UNDER 0.5,-110,0.5499,0.0261,2.6%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-10,SD,TOR,JP Sears,Shane Bieber,UNDER 0.5,-110,0.5469,0.0231,2.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-10,STL,ATL,Kyle Leahy,Chris Sale,UNDER 0.5,-110,0.5391,0.0153,1.5%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-07-10,MIA,CLE,Sandy Alcantara,Parker Messick,UNDER 0.5,-110,0.5375,0.0137,1.4%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-07-10,SF,COL,Robbie Ray,Tanner Gordon,OVER 0.5,-110,0.5323,0.0085,0.8%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-10,BAL,KC,Brandon Young,Luinder Avila,OVER 0.5,-110,0.5243,0.0005,0.1%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-10,WSH,NYY,Carson Palmquist,Ryan Weathers,UNDER 0.5,-110,0.5222,-0.0016,-0.2%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-10,NYM,BOS,Nolan McLean,Sonny Gray,OVER 0.5,-110,0.5185,-0.0053,-0.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-10,TEX,HOU,Cal Quantrill,Hunter Brown,UNDER 0.5,-110,0.5134,-0.0104,-1.0%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-07-10,DET,PHI,Jack Flaherty,Aaron Nola,OVER 0.5,-110,0.5054,-0.0184,-1.8%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-10,MIN,LAA,Zebby Matthews,Grayson Rodriguez,UNDER 0.5,-110,0.5013,-0.0225,-2.2%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-07-10,TB,SEA,Nick Martinez,Luis Castillo,UNDER 0.5,-110,0.5007,-0.0231,-2.3%,NO PLAY,False,Standard play,0.5
