bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-04-26,NYM,COL,COL,Kodai Senga,TBD,154.0,0.3937,0.4874,0.0937,9.4%,0.1546,MEDIUM,False,Underdog SP has better ERA; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-26,NYM,COL,COL,Nolan McLean,Jose Quintana,154.0,0.3937,0.4858,0.0921,9.2%,0.1519,MEDIUM,False,Facing elite SP; Strong value play; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
MONEYLINE,2026-04-26,ATL,PHI,PHI,Chris Sale,Aaron Nola,155.0,0.3922,0.4475,0.0554,5.5%,0.0911,MEDIUM,False,Facing elite SP; Good value; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Underdog win% below .450,,,,,
RUN LINE,2026-04-26,NYM,COL,COL,Kodai Senga,TBD,154.0,0.5833,,0.0541,5.4%,0.1298,NO PLAY,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued,COL +1.5,-140.0,0.6374,,
RUN LINE,2026-04-26,NYM,COL,COL,Nolan McLean,Jose Quintana,154.0,0.5833,,0.0525,5.2%,0.126,NO PLAY,False,Strong ML probability boosts +1.5 cover; Favorite is travel-fatigued,COL +1.5,-140.0,0.6358,,
RUN LINE,2026-04-26,ATL,PHI,PHI,Chris Sale,Aaron Nola,155.0,0.5745,,0.0231,2.3%,0.0542,NO PLAY,False,Favorite is travel-fatigued,PHI +1.5,-135.0,0.5975,,
FULL GAME TOTAL,2026-04-26,LAD,CHC,,Justin Wrobleski,Shota Imanaga,,,,0.2172,21.7%,,HIGH,True,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value; Both teams travel-fatigued",UNDER,,0.7172,9.0,
FULL GAME TOTAL,2026-04-26,TB,MIN,,Jesse Scholtens,Simeon Woods Richardson,,,,0.0889,8.9%,,NO PLAY,False,Strong value; Both teams travel-fatigued,UNDER,,0.5889,8.5,
FULL GAME TOTAL,2026-04-26,HOU,NYY,,Spencer Arrighetti,Luis Gil,,,,0.0869,8.7%,,NO PLAY,False,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value; Both teams travel-fatigued",UNDER,,0.5869,9.5,
FULL GAME TOTAL,2026-04-26,SF,MIA,,Landen Roupp,Max Meyer,,,,0.073,7.3%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Elite SP matchup; Both teams travel-fatigued,UNDER,,0.573,7.5,
