bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob
MONEYLINE,2026-04-07,COL,HOU,COL,Kyle Freeland,Mike Burrows,146.0,0.4065,0.6284,0.2219,22.2%,0.3739,HIGH,True,Underdog SP has better ERA; Strong value play; Home underdog,,,
MONEYLINE,2026-04-07,BOS,MIL,MIL,Garrett Crochet,Jacob Misiorowski,133.0,0.4292,0.6356,0.2064,20.6%,0.3617,HIGH,False,Underdog SP has better ERA; Favorite on 3L skid; Strong value play,,,
MONEYLINE,2026-04-07,SF,PHI,SF,Robbie Ray,Cristopher Sánchez,130.0,0.4348,0.6101,0.1753,17.5%,0.3102,HIGH,False,Facing elite SP; Underdog on 4L skid; Strong value play; Home underdog,,,
MONEYLINE,2026-04-07,MIN,DET,MIN,Taj Bradley,Tarik Skubal,144.0,0.4098,0.3958,-0.014,-1.4%,0.0,NO PLAY,False,Facing elite SP; Home underdog,,,
MONEYLINE,2026-04-07,PIT,SD,SD,Paul Skenes,Nick Pivetta,130.0,0.4348,0.388,-0.0468,-4.7%,0.0,NO PLAY,False,Underdog SP has better ERA,,,
MONEYLINE,2026-04-07,NYM,ARI,ARI,Freddy Peralta,Zac Gallen,135.0,0.4255,0.2702,-0.1553,-15.5%,0.0,NO PLAY,False,Underdog SP has better ERA; Favorite on 3L skid,,,
FULL GAME TOTAL,2026-04-07,TOR,LAD,,Kevin Gausman,Yoshinobu Yamamoto,,,,0.1486,14.9%,,LOW,True,"High-scoring teams, but line is inflated; Elite SP matchup; Strong value",UNDER,7.5,0.6486
FULL GAME TOTAL,2026-04-07,BOS,MIL,,Garrett Crochet,Jacob Misiorowski,,,,0.1462,14.6%,,LOW,False,"Hitter-friendly park, but other factors favor UNDER; High-scoring teams, but line is inflated; Elite SP matchup; Strong value",UNDER,7.0,0.6462
FULL GAME TOTAL,2026-04-07,COL,HOU,,Kyle Freeland,Mike Burrows,,,,0.0965,9.6%,,NO PLAY,False,"Hitter-friendly park, but other factors favor UNDER; High-scoring teams, but line is inflated; Strong value",UNDER,11.0,0.5965
FULL GAME TOTAL,2026-04-07,TEX,SEA,,Nathan Eovaldi,George Kirby,,,,0.0897,9.0%,,NO PLAY,False,"Low-scoring teams, but line is set too low; Weak pitching matchup; Strong value",OVER,7.5,0.5897
FULL GAME TOTAL,2026-04-07,WSH,STL,,Cade Cavalli,Matthew Liberatore,,,,0.0576,5.8%,,NO PLAY,False,"High-scoring teams, but line is inflated; Elite SP matchup",UNDER,7.5,0.5576
FULL GAME TOTAL,2026-04-07,NYM,ARI,,Freddy Peralta,Zac Gallen,,,,0.0474,4.7%,,NO PLAY,False,Standard play,UNDER,7.0,0.5474
FULL GAME TOTAL,2026-04-07,CLE,KC,,Gavin Williams,Noah Cameron,,,,0.041,4.1%,,NO PLAY,False,Low-scoring teams; Elite SP matchup,UNDER,6.5,0.541
FULL GAME TOTAL,2026-04-07,SF,PHI,,Robbie Ray,Cristopher Sánchez,,,,0.0376,3.8%,,NO PLAY,False,Pitcher-friendly park favors UNDER; Low-scoring teams; Elite SP matchup,UNDER,7.0,0.5376
FULL GAME TOTAL,2026-04-07,LAA,ATL,,Yusei Kikuchi,Reynaldo López,,,,0.0362,3.6%,,NO PLAY,False,Standard play,UNDER,8.5,0.5362
FULL GAME TOTAL,2026-04-07,PIT,SD,,Paul Skenes,Nick Pivetta,,,,0.0352,3.5%,,NO PLAY,False,"Weak pitching, but line already accounts for it",UNDER,6.5,0.5352
