bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,odds,model_prob,line,player_name
MONEYLINE,2026-04-27,TEX,NYY,TEX,Jack Leiter,Max Fried,142.0,0.4132,0.4024,-0.0108,-1.1%,0.0,NO PLAY,False,Facing elite SP; Home underdog; Favorite is travel-fatigued; Underdog is travel-fatigued; FILTERED: Favorite win% above .550,,,,,
MONEYLINE,2026-04-27,LAD,MIA,MIA,Yoshinobu Yamamoto,Chris Paddack,246.0,0.289,0.2635,-0.0255,-2.5%,0.0,NO PLAY,False,Facing elite SP; Favorite is travel-fatigued; Underdog is travel-fatigued; Underdog traveled cross-country; FILTERED: Favorite win% above .550,,,,,
RUN LINE,2026-04-27,TEX,NYY,TEX,Jack Leiter,Max Fried,142.0,0.5,,0.0524,5.2%,0.1048,NO PLAY,False,Favorite is travel-fatigued; Home underdog,TEX +1.5,100.0,0.5524,,
RUN LINE,2026-04-27,LAD,MIA,MIA,Yoshinobu Yamamoto,Chris Paddack,246.0,0.4587,,-0.0452,-4.5%,0.0,NO PLAY,False,Favorite is travel-fatigued,MIA +1.5,118.0,0.4135,,
FULL GAME TOTAL,2026-04-27,LAD,MIA,,Yoshinobu Yamamoto,Chris Paddack,,,,0.1514,15.1%,,MEDIUM,True,"High-scoring teams, but line is inflated; Strong value; Both teams travel-fatigued",UNDER,,0.6514,8.5,
FULL GAME TOTAL,2026-04-27,SD,CHC,,Randy Vásquez,Matthew Boyd,,,,0.1442,14.4%,,LOW,False,Pitcher-friendly park favors UNDER; Strong value; Both teams travel-fatigued,UNDER,,0.6442,7.5,
FULL GAME TOTAL,2026-04-27,TEX,NYY,,Jack Leiter,Max Fried,,,,0.11,11.0%,,NO PLAY,False,Strong value; Both teams travel-fatigued,UNDER,,0.61,8.0,
FULL GAME TOTAL,2026-04-27,PIT,STL,,Mason Montgomery,Dustin May,,,,0.0896,9.0%,,NO PLAY,False,Strong value; Both teams travel-fatigued,UNDER,,0.5896,8.0,
FULL GAME TOTAL,2026-04-27,TOR,BOS,,Dylan Cease,Ranger Suarez,,,,0.0517,5.2%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5517,7.0,
FULL GAME TOTAL,2026-04-27,CLE,TB,,Parker Messick,Steven Matz,,,,0.0327,3.3%,,NO PLAY,False,Elite SP matchup; Both teams travel-fatigued,UNDER,,0.5327,7.5,
