bet_type,game_date,home_team,away_team,home_sp_name,away_sp_name,pick,odds,model_prob,edge,edge_pct,confidence,recommended,notes,line
1ST INN ML,2026-06-15,CHC,COL,Shota Imanaga,Michael Lorenzen,CHC,-110,0.6319,0.1081,10.8%,HIGH,True,Strong value,
1ST INN ML,2026-06-15,WSH,KC,Andrew Alvarez,Mitch Spence,WSH,-110,0.6178,0.094,9.4%,HIGH,True,Standard play,
1ST INN ML,2026-06-15,OAK,PIT,J.T. Ginn,Jared Jones,OAK,-110,0.612,0.0882,8.8%,HIGH,False,Standard play,
1ST INN ML,2026-06-15,PHI,MIA,Zack Wheeler,Ryan Gusto,PHI,-110,0.5939,0.0701,7.0%,HIGH,False,Standard play,
1ST INN ML,2026-06-15,LAD,TB,Eric Lauer,Nick Martinez,TB,-110,0.5531,0.0293,2.9%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-15,HOU,DET,Kai-Wei Teng,Troy Melton,DET,-110,0.5469,0.0231,2.3%,NO PLAY,False,Elite pitching matchup,
1ST INN ML,2026-06-15,STL,SD,Dustin May,TBD,STL,-110,0.534,0.0102,1.0%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-15,TEX,MIN,MacKenzie Gore,TBD,TEX,-110,0.5295,0.0057,0.6%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-15,ARI,LAA,Ryne Nelson,Walbert Ureña,ARI,-110,0.5183,-0.0055,-0.6%,NO PLAY,False,Standard play,
1ST INN ML,2026-06-15,CIN,NYM,Chase Burns,Tobias Myers,NYM,-110,0.5135,-0.0103,-1.0%,NO PLAY,False,Elite pitching matchup,
1ST INN TOTAL,2026-06-15,CIN,NYM,Chase Burns,Tobias Myers,OVER 0.5,-110,0.5613,0.0375,3.7%,NO PLAY,False,Hitter-friendly park,0.5
1ST INN TOTAL,2026-06-15,OAK,PIT,J.T. Ginn,Jared Jones,UNDER 0.5,-110,0.5478,0.024,2.4%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-15,HOU,DET,Kai-Wei Teng,Troy Melton,UNDER 0.5,-110,0.5355,0.0117,1.2%,NO PLAY,False,Elite SPs keep 1st clean,0.5
1ST INN TOTAL,2026-06-15,LAD,TB,Eric Lauer,Nick Martinez,UNDER 0.5,-110,0.5189,-0.0049,-0.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-15,STL,SD,Dustin May,TBD,UNDER 0.5,-110,0.5115,-0.0123,-1.2%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-15,PHI,MIA,Zack Wheeler,Ryan Gusto,OVER 0.5,-110,0.5108,-0.013,-1.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-15,ARI,LAA,Ryne Nelson,Walbert Ureña,OVER 0.5,-110,0.504,-0.0198,-2.0%,NO PLAY,False,Hitter-friendly park,0.5
1ST INN TOTAL,2026-06-15,WSH,KC,Andrew Alvarez,Mitch Spence,UNDER 0.5,-110,0.5028,-0.021,-2.1%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-15,CHC,COL,Shota Imanaga,Michael Lorenzen,OVER 0.5,-110,0.5026,-0.0212,-2.1%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-06-15,TEX,MIN,MacKenzie Gore,TBD,UNDER 0.5,-110,0.5025,-0.0213,-2.1%,NO PLAY,False,Standard play,0.5
