bet_type,game_date,home_team,away_team,home_sp_name,away_sp_name,pick,odds,model_prob,edge,edge_pct,confidence,recommended,notes,line
1ST INN ML,2026-08-19,CIN,STL,Chase Burns,Matthew Liberatore,CIN,-110,0.5943,0.0705,7.0%,HIGH,True,Standard play,
1ST INN ML,2026-08-19,PIT,DET,Paul Skenes,Jackson Jobe,PIT,-110,0.5877,0.0639,6.4%,HIGH,True,Standard play,
1ST INN ML,2026-08-19,CHC,CWS,Clay Holmes,Sean Newcomb,CWS,-110,0.5838,0.06,6.0%,HIGH,False,Elite pitching matchup,
1ST INN ML,2026-08-19,TB,TOR,Drew Rasmussen,Max Scherzer,TB,-110,0.5712,0.0474,4.7%,MEDIUM,False,Standard play,
1ST INN ML,2026-08-19,BOS,ARI,Payton Tolle,Brandon Pfaadt,ARI,-110,0.5591,0.0353,3.5%,LOW,False,Elite pitching matchup,
1ST INN ML,2026-08-19,BAL,NYY,Chris Bassitt,Will Warren,BAL,-110,0.5544,0.0306,3.1%,LOW,False,Standard play,
1ST INN ML,2026-08-19,MIL,SEA,Dustin May,Logan Gilbert,SEA,-110,0.5492,0.0254,2.5%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-19,KC,OAK,TBD,TBD,KC,-110,0.5487,0.0248,2.5%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-19,PHI,MIA,Aaron Nola,Sandy Alcantara,MIA,-110,0.5423,0.0184,1.8%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-19,TEX,WSH,Kumar Rocker,Cade Cavalli,WSH,-110,0.5379,0.0141,1.4%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-19,HOU,LAA,Ethan Pecko,Walbert Ureña,LAA,-110,0.5334,0.0096,1.0%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-19,MIN,ATL,Taj Bradley,AJ Smith-Shawver,MIN,-110,0.5294,0.0056,0.6%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-19,CLE,SF,Parker Messick,Matt Wilkinson,CLE,-110,0.5231,-0.0007,-0.1%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-19,COL,LAD,Kyle Freeland,Roki Sasaki,LAD,-110,0.5109,-0.0129,-1.3%,NO PLAY,False,Standard play,
1ST INN ML,2026-08-19,NYM,SD,Robert Stock,Michael King,NYM,-110,0.5036,-0.0202,-2.0%,NO PLAY,False,Standard play,
1ST INN TOTAL,2026-08-19,BOS,ARI,Payton Tolle,Brandon Pfaadt,OVER 0.5,-110,0.5738,0.05,5.0%,NO PLAY,False,Hitter-friendly park,0.5
1ST INN TOTAL,2026-08-19,NYM,SD,Robert Stock,Michael King,UNDER 0.5,-110,0.5692,0.0454,4.5%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-19,COL,LAD,Kyle Freeland,Roki Sasaki,OVER 0.5,-110,0.5667,0.0429,4.3%,NO PLAY,False,Hitter-friendly park,0.5
1ST INN TOTAL,2026-08-19,MIL,SEA,Dustin May,Logan Gilbert,UNDER 0.5,-110,0.5572,0.0334,3.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-19,CHC,CWS,Clay Holmes,Sean Newcomb,OVER 0.5,-110,0.5457,0.0219,2.2%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-19,TB,TOR,Drew Rasmussen,Max Scherzer,OVER 0.5,-110,0.537,0.0132,1.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-19,TEX,WSH,Kumar Rocker,Cade Cavalli,UNDER 0.5,-110,0.5368,0.013,1.3%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-19,PHI,MIA,Aaron Nola,Sandy Alcantara,UNDER 0.5,-110,0.5295,0.0057,0.6%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-19,HOU,LAA,Ethan Pecko,Walbert Ureña,UNDER 0.5,-110,0.5226,-0.0012,-0.1%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-19,PIT,DET,Paul Skenes,Jackson Jobe,OVER 0.5,-110,0.5199,-0.0039,-0.4%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-19,CIN,STL,Chase Burns,Matthew Liberatore,OVER 0.5,-110,0.5186,-0.0052,-0.5%,NO PLAY,False,Hitter-friendly park,0.5
1ST INN TOTAL,2026-08-19,KC,OAK,TBD,TBD,UNDER 0.5,-110,0.5132,-0.0106,-1.1%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-19,CLE,SF,Parker Messick,Matt Wilkinson,OVER 0.5,-110,0.5082,-0.0156,-1.6%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-19,MIN,ATL,Taj Bradley,AJ Smith-Shawver,OVER 0.5,-110,0.5074,-0.0164,-1.6%,NO PLAY,False,Standard play,0.5
1ST INN TOTAL,2026-08-19,BAL,NYY,Chris Bassitt,Will Warren,OVER 0.5,-110,0.5044,-0.0194,-1.9%,NO PLAY,False,Standard play,0.5
