bet_type,game_date,home_team,away_team,underdog_team,home_sp_name,away_sp_name,underdog_odds,market_implied_prob,model_win_prob,edge,edge_pct,kelly_fraction,confidence,recommended,notes,pick,line,model_prob,odds,player_name
BATTER HITS,2026-04-19,CLE,BAL,,,,,,,0.142,14.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.642,-110.0,Weston Wilson
BATTER HITS,2026-04-19,HOU,STL,,,,,,,0.142,14.2%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.642,186.0,Alec Burleson
BATTER HITS,2026-04-19,PIT,TB,,,,,,,0.1387,13.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6387,-200.0,Jonathan Aranda
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.1369,13.7%,,HIGH,False,High BA; Strong value,OVER 0.5 hits,0.5,0.6369,-154.0,Bryce Johnson
BATTER HITS,2026-04-19,SEA,TEX,,,,,,,0.1354,13.5%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6354,110.0,Randy Arozarena
BATTER HITS,2026-04-19,PIT,TB,,,,,,,0.1348,13.5%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6348,100.0,Brandon Lowe
BATTER HITS,2026-04-19,HOU,STL,,,,,,,0.1348,13.5%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6348,-182.0,Masyn Winn
BATTER HITS,2026-04-19,CLE,BAL,,,,,,,0.1343,13.4%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6343,-215.0,Jose Ramirez
BATTER HITS,2026-04-19,COL,LAD,,,,,,,0.1327,13.3%,,HIGH,False,Strong value,OVER 1.5 hits,1.5,0.6327,280.0,Willi Castro
BATTER HITS,2026-04-19,ARI,TOR,,,,,,,0.1316,13.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6316,-256.0,Lourdes Gurriel Jr.
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.1302,13.0%,,HIGH,False,Strong value,OVER 1.5 hits,1.5,0.6302,310.0,Travis d'Arnaud
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.1296,13.0%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6296,-133.0,Kyle Schwarber
BATTER HITS,2026-04-19,SEA,TEX,,,,,,,0.1291,12.9%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6291,125.0,Wyatt Langford
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.1286,12.9%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6286,-152.0,Wenceel Perez
BATTER HITS,2026-04-19,SEA,TEX,,,,,,,0.1282,12.8%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6282,125.0,Brendan Donovan
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.1258,12.6%,,HIGH,False,Cold streak; Strong value,UNDER 0.5 hits,0.5,0.6258,127.0,Mauricio Dubon
BATTER HITS,2026-04-19,PIT,TB,,,,,,,0.1254,12.5%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6254,-110.0,Taylor Walls
BATTER HITS,2026-04-19,MIA,MIL,,,,,,,0.1253,12.5%,,HIGH,False,Strong value,UNDER 0.5 hits,0.5,0.6253,125.0,Connor Norby
BATTER HITS,2026-04-19,HOU,STL,,,,,,,0.1247,12.5%,,HIGH,False,Cold streak; Strong value,UNDER 1.5 hits,1.5,0.6247,-257.0,Jose Altuve
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.1235,12.3%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6235,-115.0,Adam Frazier
BATTER HITS,2026-04-19,MIN,CIN,,,,,,,0.1234,12.3%,,HIGH,False,Strong value,OVER 1.5 hits,1.5,0.6234,300.0,Will Benson
BATTER HITS,2026-04-19,SEA,TEX,,,,,,,0.1225,12.2%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6225,-105.0,Cole Young
BATTER HITS,2026-04-19,SEA,TEX,,,,,,,0.1201,12.0%,,HIGH,False,Strong value,OVER 0.5 hits,0.5,0.6201,-189.0,Corey Seager
BATTER HITS,2026-04-19,COL,LAD,,,,,,,0.1192,11.9%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6192,-212.0,TJ Rumfield
BATTER HITS,2026-04-19,CHC,NYM,,,,,,,0.1184,11.8%,,MEDIUM,False,Low BA; Strong value,UNDER 0.5 hits,0.5,0.6184,118.0,Ian Happ
BATTER HITS,2026-04-19,CHC,NYM,,,,,,,0.1166,11.7%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6166,-160.0,Mark Vientos
BATTER HITS,2026-04-19,MIN,CIN,,,,,,,0.1166,11.7%,,MEDIUM,False,Strong value,UNDER 0.5 hits,0.5,0.6166,140.0,Josh Bell
BATTER HITS,2026-04-19,ARI,TOR,,,,,,,0.1164,11.6%,,MEDIUM,False,Strong value,UNDER 1.5 hits,1.5,0.6164,125.0,James McCann
BATTER HITS,2026-04-19,NYY,KC,,,,,,,0.1153,11.5%,,MEDIUM,False,Strong value,UNDER 1.5 hits,1.5,0.6153,120.0,Jac Caglianone
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.1152,11.5%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6152,-148.0,Matt Vierling
BATTER HITS,2026-04-19,MIN,CIN,,,,,,,0.1143,11.4%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6143,-125.0,Kody Clemens
BATTER HITS,2026-04-19,HOU,STL,,,,,,,0.1141,11.4%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6141,-130.0,Victor Scott II
BATTER HITS,2026-04-19,ARI,TOR,,,,,,,0.114,11.4%,,MEDIUM,False,Hot streak; Strong value,OVER 0.5 hits,0.5,0.614,-160.0,Nolan Arenado
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.1131,11.3%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6131,-189.0,Alec Bohm
BATTER HITS,2026-04-19,ARI,TOR,,,,,,,0.1121,11.2%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6121,-199.0,Jesus Sanchez
BATTER HITS,2026-04-19,NYY,KC,,,,,,,0.1118,11.2%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6118,-160.0,Starling Marte
BATTER HITS,2026-04-19,NYY,KC,,,,,,,0.1115,11.1%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6115,-160.0,Amed Rosario
BATTER HITS,2026-04-19,SEA,TEX,,,,,,,0.109,10.9%,,MEDIUM,False,Strong value,UNDER 0.5 hits,0.5,0.609,128.0,Jake Burger
BATTER HITS,2026-04-19,MIN,CIN,,,,,,,0.1082,10.8%,,MEDIUM,False,Strong value,UNDER 0.5 hits,0.5,0.6082,181.0,Byron Buxton
BATTER HITS,2026-04-19,CHC,NYM,,,,,,,0.1075,10.7%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6075,-140.0,Marcus Semien
BATTER HITS,2026-04-19,MIA,MIL,,,,,,,0.1052,10.5%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6052,-150.0,Brandon Lockridge
BATTER HITS,2026-04-19,SEA,TEX,,,,,,,0.105,10.5%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.605,-118.0,Connor Joe
BATTER HITS,2026-04-19,HOU,STL,,,,,,,0.1034,10.3%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6034,-185.0,JJ Wetherholt
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.1009,10.1%,,MEDIUM,False,Strong value,OVER 0.5 hits,0.5,0.6009,-139.0,Rafael Marchan
BATTER HITS,2026-04-19,CLE,BAL,,,,,,,0.0984,9.8%,,LOW,False,Cold streak,UNDER 0.5 hits,0.5,0.5984,124.0,Taylor Ward
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.0974,9.7%,,LOW,False,Standard play,UNDER 0.5 hits,0.5,0.5974,144.0,Zach Neto
BATTER HITS,2026-04-19,SEA,TEX,,,,,,,0.0966,9.7%,,LOW,False,Cold streak,UNDER 0.5 hits,0.5,0.5966,136.0,Brandon Nimmo
BATTER HITS,2026-04-19,COL,LAD,,,,,,,0.0966,9.7%,,LOW,False,Standard play,UNDER 0.5 hits,0.5,0.5966,173.0,Max Muncy
BATTER HITS,2026-04-19,CHC,NYM,,,,,,,0.0962,9.6%,,LOW,False,Standard play,UNDER 1.5 hits,1.5,0.5962,-244.0,Nico Hoerner
BATTER HITS,2026-04-19,CLE,BAL,,,,,,,0.0951,9.5%,,LOW,False,Hot streak,OVER 0.5 hits,0.5,0.5951,-110.0,Brayan Rocchio
BATTER HITS,2026-04-19,HOU,STL,,,,,,,0.0921,9.2%,,LOW,False,Standard play,OVER 1.5 hits,1.5,0.5921,195.0,Carlos Correa
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0919,9.2%,,LOW,False,Standard play,UNDER 0.5 hits,0.5,0.5919,132.0,Kevin McGonigle
BATTER HITS,2026-04-19,ARI,TOR,,,,,,,0.0917,9.2%,,LOW,False,High BA,OVER 0.5 hits,0.5,0.5917,-150.0,Tyler Heineman
BATTER HITS,2026-04-19,MIN,CIN,,,,,,,0.0909,9.1%,,LOW,False,Standard play,UNDER 0.5 hits,0.5,0.5909,158.0,Sal Stewart
BATTER HITS,2026-04-19,WSH,SF,,,,,,,0.0902,9.0%,,LOW,False,Standard play,OVER 0.5 hits,0.5,0.5902,-147.0,Brady House
BATTER HITS,2026-04-19,ARI,TOR,,,,,,,0.088,8.8%,,LOW,False,Hot streak,OVER 0.5 hits,0.5,0.588,-195.0,Lenyn Sosa
BATTER HITS,2026-04-19,MIA,MIL,,,,,,,0.0878,8.8%,,LOW,False,Standard play,UNDER 0.5 hits,0.5,0.5878,105.0,Garrett Mitchell
BATTER HITS,2026-04-19,HOU,STL,,,,,,,0.0877,8.8%,,LOW,False,Standard play,OVER 0.5 hits,0.5,0.5877,-125.0,Pedro Pages
BATTER HITS,2026-04-19,WSH,SF,,,,,,,0.0877,8.8%,,LOW,False,Standard play,OVER 0.5 hits,0.5,0.5877,-134.0,Keibert Ruiz
BATTER HITS,2026-04-19,ARI,TOR,,,,,,,0.0876,8.8%,,LOW,False,Standard play,UNDER 0.5 hits,0.5,0.5876,122.0,Adrian Del Castillo
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.0871,8.7%,,LOW,False,Standard play,OVER 0.5 hits,0.5,0.5871,-150.0,Josh Lowe
BATTER HITS,2026-04-19,ARI,TOR,,,,,,,0.0868,8.7%,,LOW,False,Standard play,UNDER 0.5 hits,0.5,0.5868,161.0,Andres Gimenez
BATTER HITS,2026-04-19,NYY,KC,,,,,,,0.0866,8.7%,,LOW,False,Standard play,UNDER 1.5 hits,1.5,0.5866,-110.0,Carter Jensen
BATTER HITS,2026-04-19,NYY,KC,,,,,,,0.0863,8.6%,,LOW,False,Standard play,OVER 0.5 hits,0.5,0.5863,-171.0,Paul Goldschmidt
BATTER HITS,2026-04-19,ARI,TOR,,,,,,,0.0847,8.5%,,LOW,False,Standard play,OVER 0.5 hits,0.5,0.5847,-135.0,Myles Straw
BATTER HITS,2026-04-19,CHC,NYM,,,,,,,0.0842,8.4%,,LOW,False,Standard play,OVER 0.5 hits,0.5,0.5842,-175.0,Luis Robert Jr.
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0838,8.4%,,LOW,False,Standard play,OVER 0.5 hits,0.5,0.5838,-138.0,Carlos Narvaez
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.083,8.3%,,LOW,False,Hot streak,OVER 0.5 hits,0.5,0.583,-121.0,Mike Yastrzemski
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0811,8.1%,,LOW,False,Standard play,UNDER 0.5 hits,0.5,0.5811,143.0,Willson Contreras
BATTER HITS,2026-04-19,HOU,STL,,,,,,,0.0808,8.1%,,LOW,False,Standard play,OVER 0.5 hits,0.5,0.5808,-175.0,Cam Smith
BATTER HITS,2026-04-19,MIA,MIL,,,,,,,0.0795,8.0%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5795,109.0,Kyle Stowers
BATTER HITS,2026-04-19,MIN,CIN,,,,,,,0.0791,7.9%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5791,-200.0,Luke Keaschall
BATTER HITS,2026-04-19,COL,LAD,,,,,,,0.0789,7.9%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5789,-235.0,Ezequiel Tovar
BATTER HITS,2026-04-19,WSH,SF,,,,,,,0.0789,7.9%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5789,-155.0,Luis Garcia Jr.
BATTER HITS,2026-04-19,MIA,MIL,,,,,,,0.0778,7.8%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5778,-156.0,Luis Matos
BATTER HITS,2026-04-19,CHC,NYM,,,,,,,0.0778,7.8%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5778,-155.0,Pete Crow-Armstrong
BATTER HITS,2026-04-19,PIT,TB,,,,,,,0.0777,7.8%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5777,-165.0,Nick Yorke
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.0774,7.7%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5774,145.0,Ozzie Albies
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.076,7.6%,,NO PLAY,False,Standard play,UNDER 1.5 hits,1.5,0.576,-250.0,Trea Turner
BATTER HITS,2026-04-19,MIN,CIN,,,,,,,0.0752,7.5%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5752,-105.0,Tristan Gray
BATTER HITS,2026-04-19,HOU,STL,,,,,,,0.0741,7.4%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5741,-138.0,Nolan Gorman
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.0735,7.4%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5735,155.0,Austin Riley
BATTER HITS,2026-04-19,MIN,CIN,,,,,,,0.0712,7.1%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5712,-155.0,Spencer Steer
BATTER HITS,2026-04-19,MIN,CIN,,,,,,,0.0709,7.1%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5709,-200.0,Victor Caratini
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.0707,7.1%,,NO PLAY,False,Hot streak,OVER 1.5 hits,1.5,0.5707,300.0,Luis Campusano
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0705,7.1%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5705,-162.0,Riley Greene
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.0702,7.0%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5702,-156.0,Adolis Garcia
BATTER HITS,2026-04-19,MIA,MIL,,,,,,,0.0701,7.0%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5701,-109.0,Jake Bauers
BATTER HITS,2026-04-19,MIN,CIN,,,,,,,0.07,7.0%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.57,-142.0,Brooks Lee
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.0691,6.9%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5691,-155.0,Freddy Fermin
BATTER HITS,2026-04-19,CHC,NYM,,,,,,,0.0669,6.7%,,NO PLAY,False,Hot streak,OVER 0.5 hits,0.5,0.5669,-135.0,Dansby Swanson
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.0666,6.7%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5666,157.0,Xander Bogaerts
BATTER HITS,2026-04-19,CLE,BAL,,,,,,,0.0639,6.4%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5639,-194.0,Steven Kwan
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.0638,6.4%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5638,125.0,Michael Harris II
BATTER HITS,2026-04-19,NYY,KC,,,,,,,0.0603,6.0%,,NO PLAY,False,Standard play,UNDER 1.5 hits,1.5,0.5603,-250.0,Bobby Witt Jr.
BATTER HITS,2026-04-19,MIN,CIN,,,,,,,0.06,6.0%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.56,-160.0,Trevor Larnach
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.0593,5.9%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5593,146.0,Ty France
BATTER HITS,2026-04-19,NYY,KC,,,,,,,0.0566,5.7%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5566,-125.0,Michael Massey
BATTER HITS,2026-04-19,ARI,TOR,,,,,,,0.0564,5.6%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5564,-130.0,Jorge Barrosa
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0564,5.6%,,NO PLAY,False,Cold streak,UNDER 0.5 hits,0.5,0.5564,165.0,Wilyer Abreu
BATTER HITS,2026-04-19,NYY,KC,,,,,,,0.0558,5.6%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5558,-133.0,Jose Caballero
BATTER HITS,2026-04-19,PIT,TB,,,,,,,0.0546,5.5%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5546,165.0,Junior Caminero
BATTER HITS,2026-04-19,CLE,BAL,,,,,,,0.0539,5.4%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5539,100.0,Blaze Alexander
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0535,5.3%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5535,148.0,Roman Anthony
BATTER HITS,2026-04-19,CHC,NYM,,,,,,,0.0533,5.3%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5533,144.0,Seiya Suzuki
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.0507,5.1%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5507,160.0,Bryce Harper
BATTER HITS,2026-04-19,SEA,TEX,,,,,,,0.0497,5.0%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5497,-115.0,J.P. Crawford
BATTER HITS,2026-04-19,COL,LAD,,,,,,,0.0496,5.0%,,NO PLAY,False,Standard play,UNDER 1.5 hits,1.5,0.5496,-145.0,Shohei Ohtani
BATTER HITS,2026-04-19,CLE,BAL,,,,,,,0.0494,4.9%,,NO PLAY,False,Low BA,UNDER 0.5 hits,0.5,0.5494,-106.0,Rhys Hoskins
BATTER HITS,2026-04-19,MIA,MIL,,,,,,,0.047,4.7%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.547,104.0,Owen Caissie
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0455,4.5%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5455,-152.0,Jahmai Jones
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0411,4.1%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5411,-192.0,Andruw Monasterio
BATTER HITS,2026-04-19,NYY,KC,,,,,,,0.041,4.1%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.541,-238.0,Maikel Garcia
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0409,4.1%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5409,-153.0,Javier Baez
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.0404,4.0%,,NO PLAY,False,Standard play,OVER 1.5 hits,1.5,0.5404,186.0,Ronald Acuna Jr.
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0403,4.0%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5403,-161.0,Isiah Kiner-Falefa
BATTER HITS,2026-04-19,COL,LAD,,,,,,,0.0401,4.0%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5401,171.0,Mickey Moniak
BATTER HITS,2026-04-19,COL,LAD,,,,,,,0.0394,3.9%,,NO PLAY,False,Standard play,UNDER 1.5 hits,1.5,0.5394,-167.0,Kyle Tucker
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.0393,3.9%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5393,161.0,Fernando Tatis Jr.
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.0362,3.6%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5362,-156.0,Jorge Soler
BATTER HITS,2026-04-19,MIA,MIL,,,,,,,0.0355,3.5%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5355,142.0,Brice Turang
BATTER HITS,2026-04-19,PIT,TB,,,,,,,0.0342,3.4%,,NO PLAY,False,High BA,OVER 0.5 hits,0.5,0.5342,-147.0,Richie Palacios
BATTER HITS,2026-04-19,CHC,NYM,,,,,,,0.0317,3.2%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5317,-135.0,Matt Shaw
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.0302,3.0%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5302,-160.0,Mike Trout
BATTER HITS,2026-04-19,MIA,MIL,,,,,,,0.027,2.7%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.527,-135.0,Gary Sanchez
BATTER HITS,2026-04-19,WSH,SF,,,,,,,0.0249,2.5%,,NO PLAY,False,High BA,OVER 0.5 hits,0.5,0.5249,100.0,Joey Wiemer
BATTER HITS,2026-04-19,ARI,TOR,,,,,,,0.0243,2.4%,,NO PLAY,False,Standard play,OVER 1.5 hits,1.5,0.5243,178.0,Nathan Lukes
BATTER HITS,2026-04-19,CLE,BAL,,,,,,,0.0242,2.4%,,NO PLAY,False,Cold streak; Low BA,UNDER 0.5 hits,0.5,0.5242,132.0,Gunnar Henderson
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.0233,2.3%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5233,170.0,Jackson Merrill
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0231,2.3%,,NO PLAY,False,High BA,OVER 0.5 hits,0.5,0.5231,-186.0,Ceddanne Rafaela
BATTER HITS,2026-04-19,COL,LAD,,,,,,,0.0228,2.3%,,NO PLAY,False,Cold streak,UNDER 1.5 hits,1.5,0.5228,-167.0,Teoscar Hernandez
BATTER HITS,2026-04-19,WSH,SF,,,,,,,0.0206,2.1%,,NO PLAY,False,High BA,OVER 0.5 hits,0.5,0.5206,-130.0,Jorbit Vivas
BATTER HITS,2026-04-19,CHC,NYM,,,,,,,0.0186,1.9%,,NO PLAY,False,Hot streak,OVER 0.5 hits,0.5,0.5186,-190.0,Francisco Lindor
BATTER HITS,2026-04-19,COL,LAD,,,,,,,0.0173,1.7%,,NO PLAY,False,Standard play,OVER 1.5 hits,1.5,0.5173,195.0,Hyeseong Kim
BATTER HITS,2026-04-19,COL,LAD,,,,,,,0.0162,1.6%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5162,153.0,Hunter Goodman
BATTER HITS,2026-04-19,NYY,KC,,,,,,,0.0162,1.6%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5162,-166.0,Aaron Judge
BATTER HITS,2026-04-19,PIT,TB,,,,,,,0.0161,1.6%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5161,-200.0,Nick Gonzales
BATTER HITS,2026-04-19,HOU,STL,,,,,,,0.0153,1.5%,,NO PLAY,False,Cold streak,UNDER 0.5 hits,0.5,0.5153,155.0,Christian Walker
BATTER HITS,2026-04-19,MIA,MIL,,,,,,,0.0148,1.5%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5148,126.0,Agustín Ramírez
BATTER HITS,2026-04-19,WSH,SF,,,,,,,0.0145,1.4%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5145,-208.0,Heliot Ramos
BATTER HITS,2026-04-19,CLE,BAL,,,,,,,0.0137,1.4%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5137,-118.0,Leody Taveras
BATTER HITS,2026-04-19,CHC,NYM,,,,,,,0.0129,1.3%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5129,-200.0,Alex Bregman
BATTER HITS,2026-04-19,PIT,TB,,,,,,,0.0124,1.2%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5124,-115.0,Joey Bart
BATTER HITS,2026-04-19,PHI,ATL,,,,,,,0.0105,1.1%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5105,-165.0,Bryson Stott
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0083,0.8%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5083,153.0,Dillon Dingler
BATTER HITS,2026-04-19,ARI,TOR,,,,,,,0.008,0.8%,,NO PLAY,False,Low BA,UNDER 0.5 hits,0.5,0.508,150.0,Geraldo Perdomo
BATTER HITS,2026-04-19,CLE,BAL,,,,,,,0.0073,0.7%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5073,-197.0,Angel Martinez
BATTER HITS,2026-04-19,CLE,BAL,,,,,,,0.0049,0.5%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5049,-119.0,Johnathan Rodriguez
BATTER HITS,2026-04-19,LAA,SD,,,,,,,0.0038,0.4%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5038,-204.0,Nolan Schanuel
BATTER HITS,2026-04-19,BOS,DET,,,,,,,0.0021,0.2%,,NO PLAY,False,Standard play,OVER 0.5 hits,0.5,0.5021,-185.0,Gleyber Torres
BATTER HITS,2026-04-19,WSH,SF,,,,,,,0.0018,0.2%,,NO PLAY,False,Standard play,UNDER 0.5 hits,0.5,0.5018,117.0,Jacob Young
